edge_id,intervention_id,mechanism,staging_profile_id,population_cell_id,population_join_status,edge_role,community_label,territory,language_tag,script,coverage_mode,comprehension_low,comprehension_base,comprehension_high,observed_task_score,observed_task_type,prior_study_required,receptive_or_productive,tested_task,script_match,existing_edition_overlap,exclusions,double_count_rule,recommended_portfolio,adaptation_depth,source_ids,source_locator,confidence,inference_flag,rankable,notes
EDGE-AR-004,IL-AR,pluricentric_reuse,CELL-AR-IQ,,pending_exact_composite_join,coverage_candidate,Mesopotamian Arabic scaffold users,Iraq,acm-Arab-IQ,Arab,scaffold_on_existing_msa,unknown,unknown,unknown,,,unknown,receptive,none,exact dialect script,complete MSA base,Kurdish Turkmen Neo-Aramaic and other communities,Credit only residual scaffold gain,FR-2;AX-3,separate_derivative,ACE-A009,No dialect-specific bound registered,low,inference_only,false,No Iraq-wide reach.
EDGE-AR-005,IL-AR,pluricentric_reuse,CELL-AR-GULF,,pending_exact_composite_join,coverage_candidate,Gulf Arabic scaffold users,exact Gulf country cells,afb-Arab,Arab,scaffold_on_existing_msa,unknown,unknown,unknown,,,unknown,receptive,none,exact dialect script,complete MSA base,Non-Arabic migrant and local languages,Credit only residual scaffold gain; country cells and migrant status remain separate,FR-2;AX-3,separate_derivative,ACE-A009,No dialect-specific bound registered,low,inference_only,false,No Gulf demographic ceiling.
EDGE-AR-006,IL-AR,pluricentric_reuse,CELL-AR-MA,,pending_exact_composite_join,coverage_candidate,Moroccan Arabic scaffold users,Morocco,ary-Arab-MA,Arab,scaffold_on_existing_msa,unknown,unknown,unknown,,,unknown,receptive,none,exact dialect script,complete MSA base,Standard Moroccan Amazigh Tachelhit Tarifit and other Amazigh languages,Credit only residual scaffold gain after MSA; no non-Arabic reach,FR-2;AX-3,separate_derivative,ACE-A009,No dialect-specific bound registered,low,inference_only,false,Diglossic distance is explicit uncertainty.
EDGE-AR-007,IL-AR,pluricentric_reuse,CELL-AR-TN,,pending_exact_composite_join,coverage_candidate,Tunisian Arabic scaffold users,Tunisia,aeb-Arab-TN,Arab,scaffold_on_existing_msa,unknown,unknown,unknown,,,unknown,receptive,none,exact dialect script,complete MSA base,Non-Arabic communities,Credit only residual scaffold gain,FR-2;AX-3,separate_derivative,ACE-A009,No dialect-specific bound registered,low,inference_only,false,No regional blanket credit.
EDGE-AR-008,IL-AR,pluricentric_reuse,CELL-AR-SD,,pending_exact_composite_join,coverage_candidate,Sudanese Arabic scaffold users,Sudan,apd-Arab-SD,Arab,scaffold_on_existing_msa,unknown,unknown,unknown,,,unknown,receptive,none,exact dialect script,complete MSA base,Nubian Beja Fur and other non-Arabic languages,Credit only residual scaffold gain,FR-2;AX-3,separate_derivative,ACE-A009,No dialect-specific bound registered,low,inference_only,false,Conflict and offline access modeled separately.
EDGE-PDT-001,IL-PDT,pluricentric_reuse,CELL-PDT-FA,,pending_exact_composite_join,coverage_candidate,Iranian Persian cell,Iran,fa-Arab-IR,Arab,existing_localized_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,complete local Iranian Persian edition,Dari Tajik Kurdish Pashto Balochi and Pamiri languages,Existing fa-IR coverage is baseline and not added to adaptation reach,FR-2,D2,ACE-A009,Current paired edition state,medium,baseline_only,false,Shared source begins from this edition.
EDGE-PDT-002,IL-PDT,pluricentric_reuse,CELL-PDT-PRS,,pending_exact_composite_join,coverage_candidate,Dari-standard cell,Afghanistan and displaced cells,prs-Arab-AF,Arab,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Iranian Persian directional overlap unmeasured,Pashto Hazaragi and other languages,Zero fa-IR reach pending technical-text evidence; named Dari output claims only exact cells,FR-2,D2,ACE-A009;ACE-A021,Current Persian state plus candidate seed,low,architecture_not_comprehension_claim,false,Shared term graph reduces compute.
EDGE-PDT-003,IL-PDT,pluricentric_reuse,CELL-PDT-TG,,pending_exact_composite_join,coverage_candidate,Tajik-standard cell,Tajikistan,tg-Cyrl-TJ,Cyrl,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,distinct script,Iranian Persian directional overlap unmeasured,Pamiri Uzbek Russian and other languages,Zero fa-IR reach; named Tajik output only; transliteration is not additive,FR-2,D2,ACE-A009;ACE-A021,Current Persian state plus candidate seed,low,architecture_not_comprehension_claim,false,Script is a decisive practical-access term.
EDGE-BCMS-001,IL-BCMS,pluricentric_reuse,CELL-BCMS-BS,,pending_exact_composite_join,coverage_candidate,Bosnian-standard cell,Bosnia and Herzegovina,bs-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Croatian Montenegrin Serbian and non-BCMS languages remain distinct cells,Named output claims only Bosnian cell; shared source has compute value only,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,No unnamed neutral publication.
EDGE-BCMS-002,IL-BCMS,pluricentric_reuse,CELL-BCMS-HR,,pending_exact_composite_join,coverage_candidate,Croatian-standard cell,Croatia,hr-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Other BCMS standards remain distinct cells,Named output claims only Croatian cell,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Identity-preserving output.
EDGE-BCMS-003,IL-BCMS,pluricentric_reuse,CELL-BCMS-CNR,,pending_exact_composite_join,coverage_candidate,Montenegrin-standard cell,Montenegro,cnr-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Other BCMS standards remain distinct cells,Named output claims only Montenegrin cell,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Identity-preserving output.
EDGE-BCMS-004,IL-BCMS,pluricentric_reuse,CELL-BCMS-SRL,,pending_exact_composite_join,coverage_candidate,Serbian Latin-reading stratum,Serbia,sr-Latn,Latn,script_variant_of_localized_output,unknown,unknown,unknown,,,none beyond script literacy,receptive,none registered,exact,none established,Other BCMS standards,Partition one Serbian population by script use; do not add Latin and Cyrillic,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Dual-script output.
EDGE-BCMS-005,IL-BCMS,pluricentric_reuse,CELL-BCMS-SRC,,pending_exact_composite_join,coverage_candidate,Serbian Cyrillic-reading stratum,Serbia,sr-Cyrl,Cyrl,script_variant_of_localized_output,unknown,unknown,unknown,,,none beyond script literacy,receptive,none registered,exact,none established,Other BCMS standards,Partition one Serbian population by script use; do not add Latin and Cyrillic,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Dual-script output.
EDGE-HU-001,IL-HU,dual_script_or_register,CELL-HU-HI,,pending_exact_composite_join,coverage_candidate,Standard Hindi-oriented cell,India,hi-Deva-IN,Deva,existing_localized_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,complete local Hindi edition; C-17 reports English subsidiary-language knowledge for 35257144 of the 528347193 Hindi census umbrella,Urdu and Hindi census umbrella sublanguages,Existing Hindi coverage is baseline and not added to Urdu adaptation reach; C-17 language knowledge is not academic comfort,FR-2,D2,ACE-E011;ACE-E019;ACE-A007,C-17 national Hindi row and current Hindi state,medium,baseline_only,false,Do not use the 528347193 umbrella as Standard Hindi reach; disclosed nonoverlap sensitivity is 0.933268986/0.966634493/0.986653797.
EDGE-HU-002,IL-HU,dual_script_or_register,CELL-HU-URPK,,pending_exact_composite_join,coverage_candidate,Pakistani Urdu cell,Pakistan,ur-Arab-PK,Arab Nastaliq,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,distinct script and technical register,Hindi overlap unmeasured,Punjabi Sindhi Saraiki Pashto and other languages,Hindi gives zero Urdu credit; named Urdu output claims exact Pakistan cell,FR-2,D2,ACE-E012;ACE-A007,Official census plus Hindi baseline,low,architecture_not_comprehension_claim,false,Shared term graph saves compute.
EDGE-HU-003,IL-HU,dual_script_or_register,CELL-HU-URIN,,pending_exact_composite_join,coverage_candidate,Indian Urdu cell,India,ur-Arab-IN,Arab Nastaliq,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,distinct script and technical register,C-17 reports English-or-Hindi subsidiary-language knowledge for 23172258 of 50772631 Urdu-category speakers; academic comfort remains unknown,Other Indian mother tongues,Keep Indian Urdu separate from Pakistan Urdu; apply disclosed nonoverlap sensitivity 0.543607303/0.771803651/0.908721461 rather than categorical Hindi coverage,FR-2,D2,ACE-E011;ACE-E019;ACE-A007,C-17 national Urdu row plus Hindi baseline,medium,architecture_not_comprehension_claim,false,Locale-specific terminology may differ; the overlap interval is a sensitivity bound only.
EDGE-PNJ-001,IL-PUNJABI,dual_script_or_register,CELL-PNJ-GURU,,pending_exact_composite_join,coverage_candidate,Eastern Punjabi Gurmukhi cell,India,pa-Guru-IN,Guru,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,C-17 reports English-or-Hindi subsidiary-language knowledge for 17571723 of 33124726 Punjabi-category speakers; academic comfort remains unknown,Western Punjabi Saraiki Hindko,Claims only India Gurmukhi cell; apply nonoverlap sensitivity 0.469528503/0.734764251/0.893905701 and never add a dual-script population,MV-1,D2,ACE-E011;ACE-E012;ACE-E019,C-17 national Punjabi row and official national census tables,medium,architecture_not_comprehension_claim,false,Shared semantics synchronized across outputs; C-17 is an overlap bound only.
EDGE-PNJ-002,IL-PUNJABI,dual_script_or_register,CELL-PNJ-SHAH,,pending_exact_composite_join,coverage_candidate,Western Punjabi Shahmukhi cell,Pakistan,pnb-Arab-PK,Arab Shahmukhi,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,none established,Saraiki Hindko and unresolved Punjabi census sublabels,Claims only resolved Shahmukhi population; no additive dual-script population,MV-1,D2,ACE-E011;ACE-E012,Official national census tables,medium,architecture_not_comprehension_claim,false,Pakistan census Punjabi label remains a ceiling until mapping is resolved.
EDGE-NGU-001,IL-NGUNI,pluricentric_reuse,CELL-NGU-ZU,,pending_exact_composite_join,coverage_candidate,isiZulu-standard cell,South Africa,zu-Latn-ZA,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,isiXhosa siSwati isiNdebele and non-Nguni languages,Named output only; no combined Nguni population,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Shared core reduces compute.
EDGE-NGU-002,IL-NGUNI,pluricentric_reuse,CELL-NGU-XH,,pending_exact_composite_join,coverage_candidate,isiXhosa-standard cell,South Africa,xh-Latn-ZA,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Other Nguni standards,Named output only; no cross-language credit,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,False friends and orthography matter.
EDGE-NGU-003,IL-NGUNI,pluricentric_reuse,CELL-NGU-SS,,pending_exact_composite_join,coverage_candidate,siSwati-standard cell,South Africa and Eswatini cells separate,ss-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Other Nguni standards,Country cells and named output only,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,No South Africa to Eswatini inference.
EDGE-NGU-004,IL-NGUNI,pluricentric_reuse,CELL-NGU-NR,,pending_exact_composite_join,coverage_candidate,Southern Ndebele standard cell,South Africa,nr-Latn-ZA,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Zimbabwean Ndebele and other Nguni standards,Keep nr and nd distinct; named output only,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,No Ndebele label collapse.
EDGE-SOT-001,IL-SOTHO,pluricentric_reuse,CELL-SOT-NSO,,pending_exact_composite_join,coverage_candidate,Northern Sotho standard cell,South Africa,nso-Latn-ZA,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Tswana Southern Sotho Venda Tsonga and Nguni languages,Named output only; no combined Sotho-Tswana population,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Shared source reduces compute.
EDGE-SOT-002,IL-SOTHO,pluricentric_reuse,CELL-SOT-TN,,pending_exact_composite_join,coverage_candidate,Tswana standard cell,South Africa and Botswana cells separate,tn-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Other Sotho-Tswana standards,Country cells remain separate; named output only,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Botswana requires its own population cell.
EDGE-SOT-003,IL-SOTHO,pluricentric_reuse,CELL-SOT-ST,,pending_exact_composite_join,coverage_candidate,Southern Sotho standard cell,South Africa and Lesotho cells separate,st-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Other Sotho-Tswana standards,Country cells remain separate; named output only,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Lesotho requires its own population cell.
EDGE-MAN-001,IL-MANDING,pluricentric_reuse,CELL-MAN-BM,,pending_exact_composite_join,coverage_candidate,Bambara Latin-standard cell,Mali,bm-Latn-ML,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none registered,exact,none established,Other Manding and Mande languages,Named output only; no continuum-wide population,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Shared semantic core reduces compute.
EDGE-MAN-002,IL-MANDING,pluricentric_reuse,CELL-MAN-MAN,,pending_exact_composite_join,coverage_candidate,Maninka exact-national-standard cell,Guinea and neighboring cells separate,man-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond exact-standard literacy,receptive,none registered,exact,none established,Other Manding and Mande languages,Named output and country cell only,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Exact national standard must be fixed.
EDGE-MAN-003,IL-MANDING,pluricentric_reuse,CELL-MAN-DYU,,pending_exact_composite_join,coverage_candidate,Jula Latin-standard cell,Cote d'Ivoire and cross-border cells separate,dyu-Latn-CI,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond exact-standard literacy,receptive,none registered,exact,none established,Other Manding and Mande languages,Named output and territory cell only,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Historical 12.504 million floor is not a package-wide population.
EDGE-MAN-004,IL-MANDING,pluricentric_reuse,CELL-MAN-BM-NKO,,pending_exact_composite_join,coverage_candidate,Bambara N'Ko-literate stratum,Mali,bm-Nkoo-ML,Nkoo,script_derivative,unknown,unknown,unknown,,,none beyond N'Ko literacy,receptive,none registered,exact,Same Bambara language cell as Latin output,Other Manding languages,Partition by observed script use; never add Latin and N'Ko users,FR-2,D2,ACE-A021,Candidate seed only,low,inference_only,false,Script derivative.
EDGE-MAN-005,IL-MANDING,pluricentric_reuse,CELL-MAN-MAN-NKO,,pending_exact_composite_join,coverage_candidate,Maninka N'Ko-literate stratum,exact territory pending,man-Nkoo,Nkoo,script_derivative,unknown,unknown,unknown,,,none beyond N'Ko literacy,receptive,none registered,exact,Same Maninka language cell as Latin output,Other Manding languages,Partition by observed script use; never add Latin and N'Ko users,FR-2,D2,ACE-A021,Candidate seed only,low,inference_only,false,Script derivative.
EDGE-SQ-001,IL-SQUECHUA,pluricentric_reuse,CELL-SQ-QUY,,pending_exact_composite_join,coverage_candidate,Ayacucho Quechua cell,Peru,quy-Latn-PE,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-variety literacy,receptive,none registered,exact,Spanish overlap unmeasured,Cusco South Bolivian Northern and Central Quechua,Named variety only; no aggregate Quechua population,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Shared Southern semantic core reduces compute.
EDGE-SQ-002,IL-SQUECHUA,pluricentric_reuse,CELL-SQ-QUZ,,pending_exact_composite_join,coverage_candidate,Cusco Quechua cell,Peru,quz-Latn-PE,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-variety literacy,receptive,none registered,exact,Spanish overlap unmeasured,Ayacucho South Bolivian Northern and Central Quechua,Named variety only; no aggregate Quechua population,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Localized terminology and examples.
EDGE-SQ-003,IL-SQUECHUA,pluricentric_reuse,CELL-SQ-QUH,,pending_exact_composite_join,coverage_candidate,South Bolivian Quechua cell,Bolivia,quh-Latn-BO,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-variety literacy,receptive,none registered,exact,Spanish overlap unmeasured,Peruvian Southern Northern and Central Quechua,Named variety and country cell only; no aggregate Quechua population,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Cross-border population remains separate.
