edition_target_id,label,language_tag,reference_rank,population_point_for_model_persons,top10_probability,top100_probability,prior_family_rank_min,prior_family_rank_max,prior_family_rank_span,prior_families_top10_count,factor_removal_rank_min,factor_removal_rank_max,factor_removal_rank_span,factor_removal_scenarios_top10_count,robust_top10_all_prior_families,robust_top10_all_factor_removals,robust_top100_all_scenarios,row_sha256
edition-target:regional:nah-noroeste-central-Latn-MX,Náhuatl del noroeste central,nah-noroeste-central-Latn-MX,112,71040.000000,0.000000,0.000000,109,110,1,0,108,114,6,0,false,false,false,4A7BF173C9DD60459FF3C9FC90AC4D6886A3E372D7840371926FE8577B468602
edition-target:lang:agr-PE,Awajún,agr-PE,113,56584.000000,0.000000,0.000000,114,114,0,0,112,114,2,0,false,false,false,0CBF3A152C5B563A425436A04E53A5F7C1CD1DF89BFBCB5CAC4698733642E906
edition-target:lang:knj-GT,Akateko,knj-GT,114,55290.000000,0.000000,0.000000,115,115,0,0,113,115,2,0,false,false,false,1FFA44B9AA36A4AE82C40EBA30B9F5A2C0E139F3160704EF37147D626D0311EF
edition-target:regional:tseltal-east-Latn-MX,Tseltal del oriente in Mexico,tseltal-east-Latn-MX,115,70313.000000,0.000000,0.000000,111,112,1,0,110,115,5,0,false,false,false,ECC609DE274CAF8BD4E89F7721B8AF533ECC3FEEEB09ABDD4B3346D9C8F3B099
edition-target:lang:tkd-Latn-TL,Tokodede,tkd-Latn-TL,116,46784.000000,0.000000,0.000000,117,117,0,0,116,118,2,0,false,false,false,4C335AE83C2127CD5C339A7C807273526737B46264725FCFE933C567948388D4
edition-target:regional:tsotsil-centre-Latn-MX,Tsotsil del centro in Mexico,tsotsil-centre-Latn-MX,117,57107.000000,0.000000,0.000000,116,116,0,0,116,117,1,0,false,false,false,1A4482F3236561E84D0373FF6244E8C91B5D9DB2130C08B7FB3E2CA08ADFE6A9
edition-target:lang:iku-CA,Inuktitut,iku-CA,118,41675.000000,0.000000,0.000000,119,120,1,0,118,120,2,0,false,false,false,A55F855D681D08FAB4411EEA51FA5B32133347031C96A57BC42D0C59A78DC7A6
edition-target:lang:tca-BR,Tikúna,tca-BR,119,51978.000000,0.000000,0.000000,118,118,0,0,117,122,5,0,false,false,false,2D5AE4CC01B2D3A0C76C05C300681D3B161E3BAF5CA8D9B1356FB3704E61F055
edition-target:lang:iu-Cans-CA,Inuktitut,iu-Cans-CA,120,41675.000000,0.000000,0.000000,120,121,1,0,119,121,2,0,false,false,false,DDD8593852F2A1D853BF99C099BE156A37C63C1C5A1EE560463B9992E8CE4DE2
edition-target:lang:sm-Latn-AS,Samoan,sm-Latn-AS,121,38835.000000,0.000000,0.000000,122,122,0,0,120,123,3,0,false,false,false,119F0BF8A4F86014DB3589CA021B996BC3FF2CF98249BB1BE1DD9AD9D53F6AF1
edition-target:lang:mh-Latn-MH,Marshallese,mh-Latn-MH,122,35336.000000,0.000000,0.000000,123,123,0,0,120,122,2,0,false,false,false,455A416A93A828F65C82758B346EBD20933F46B325A77036D65B782C6D8423A5
edition-target:regional:eu-Latn-FR-64,Basque in Northern Basque Country,eu-Latn-FR-64,123,51484.000000,0.000000,0.000000,119,121,2,0,119,125,6,0,false,false,false,3DBE27BDA669251BFB302279A4D9565467B3BB5CF5371444BE3C836929B79AA0
edition-target:regional:pdt-Latn-CA,Plautdietsch in Canada,pdt-Latn-CA,124,33200.000000,0.000000,0.000000,124,125,1,0,123,125,2,0,false,false,false,582E2F67E67FF36447B13F5AC6865BFD2AE26B7A1FB9B15CE82A292BCB4A7767
edition-target:regional:tsotsil-northwest-Latn-MX,Tsotsil del noroeste in Mexico,tsotsil-northwest-Latn-MX,125,41289.000000,0.000000,0.000000,124,125,1,0,124,128,4,0,false,false,false,DD173D4FB3B8189DCC44A1C65AAADD3BCB4DFDB94CD5C0AD44B98099B3171C78
edition-target:lang:shp-PE,Shipibo-Konibo,shp-PE,126,34152.000000,0.000000,0.000000,126,126,0,0,123,127,4,0,false,false,false,364E51FFAE2D0E331D6070C03D115C64BDF80014E85354E4438F5952E7ADCE1B
edition-target:lang:jac-GT,Popti’,jac-GT,127,32568.000000,0.000000,0.000000,127,128,1,0,126,128,2,0,false,false,false,940AAA5A5769F176832F218D930B4824BDFDAB2B8284925FFDF146625BBD64A3
edition-target:lang:chk-Latn-FM,Chuukese,chk-Latn-FM,128,27677.000000,0.000000,0.000000,129,129,0,0,127,129,2,0,false,false,false,C3516CF7EBD5A80B836DB0BDFDEEE745565160E70BB0318E425C739A0432F42A
edition-target:lang:kgk-BR,Guarani Kaiowá,kgk-BR,129,38658.000000,0.000000,0.000000,127,128,1,0,126,129,3,0,false,false,false,A24D66B3439CFDE9DA00324B4EE39F93657F283221CC22225AA78D5BA4EE94BF
edition-target:lang:nzs-NZ,New Zealand Sign Language,nzs-NZ,130,24678.000000,0.000000,0.000000,130,131,1,0,130,131,1,0,false,false,false,1BE9CBB9C6FFF294DB54C9124B5AAA2D63DA1631B9AC68723419EFE45CEC9E0D
edition-target:lang:gub-BR,Guajajara,gub-BR,131,29212.000000,0.000000,0.000000,130,131,1,0,130,132,2,0,false,false,false,605E242D9CCC43392AD1C28EBECEC0E3287CBDAAF600754B91A2717352931F0C
edition-target:regional:nah-istmo-Latn-MX,Náhuatl del Istmo,nah-istmo-Latn-MX,132,26636.000000,0.000000,0.000000,134,134,0,0,134,135,1,0,false,false,false,CCC745D7375D043D8E1C70279AA59DC5D986A2B8AE3828CF3A48C606A5F4ABD0
edition-target:lang:kgp-BR,Kaingang,kgp-BR,133,27482.000000,0.000000,0.000000,132,133,1,0,132,134,2,0,false,false,false,DA6FDD42FEDC78AC6C1919AEB38B1681971432569868F27DAA74BA0BBFC5B077
edition-target:regional:chol-southeast-Latn-MX,Chol del sureste in Mexico,chol-southeast-Latn-MX,134,27199.000000,0.000000,0.000000,132,133,1,0,132,133,1,0,false,false,false,B3FDA77824FEF1F6207934E478DED9AE8C74A11748A46399CDF4F2662B3E7965
edition-target:lang:ccr-GT,Chalchiteko,ccr-GT,135,21550.000000,0.000000,0.000000,135,135,0,0,131,135,4,0,false,false,false,0F3A5311062DAE7779A4C51F5C6577B7E398B864E7B030CBC1C080D2F8AA4F07
edition-target:lang:haw-Latn-US,ʻŌlelo Hawaiʻi,haw-Latn-US,136,25490.000000,0.000000,0.000000,136,136,0,0,136,140,4,0,false,false,false,F505852FC5B6CEDC34BF3BE3057B39FC99DB6EEC61B59C37A2CF524D49405A1B
edition-target:lang:pon-Latn-FM,Pohnpeian,pon-Latn-FM,137,17787.000000,0.000000,0.000000,137,137,0,0,136,139,3,0,false,false,false,CA4CE5832FFD96DC5137FA03AE76297274700AEB2A16B849C66645A397AEAC56
edition-target:lang:dhv-Latn-NC,Drehu,dhv-Latn-NC,138,15900.000000,0.000000,0.000000,139,140,1,0,136,140,4,0,false,false,false,AA1B59C97DFCDB903A8E692C68F533ECC44EFD9660C17CDF6E67CC9AABAD5EE1
edition-target:lang:gui-BO,Bolivian Guaraní,gui-BO,139,17592.000000,0.000000,0.000000,138,138,0,0,137,140,3,0,false,false,false,7E5C1DE9339C455BA9A6701B72F777A1CE5DF15055B6EE13B6293564FECC84A0
edition-target:lang:caa-GT,Ch’orti’,caa-GT,140,16663.000000,0.000000,0.000000,140,142,2,0,138,142,4,0,false,false,false,A19DD6C179D4F6BBBA45CD4F89816607792DF0085F5CCD7633026185218E6042
edition-target:regional:nah-sierra-oeste-puebla-Latn-MX,Náhuatl de la Sierra oeste de Puebla,nah-sierra-oeste-puebla-Latn-MX,141,19482.000000,0.000000,0.000000,139,141,2,0,138,142,4,0,false,false,false,2393C4C57C3A657E759BB519590990C4CF43EFCC45162B4B9B410AD306AA7DE8
edition-target:lang:ojs-CA,Oji-Cree,ojs-CA,142,15305.000000,0.000000,0.000000,143,143,0,0,141,143,2,0,false,false,false,B2E37ACEFAC0E593A87D14630039177C90D7AD3116462D09AF7558603AFC0CE0
edition-target:regional:nah-mexicano-oriente-central-Latn-MX,Mexicano del oriente central,nah-mexicano-oriente-central-Latn-MX,143,18909.000000,0.000000,0.000000,141,142,1,0,141,144,3,0,false,false,false,3F72ABED6D3B89C9B2104B3946C4C8D8EE5BF06399C082342187DCFD7879A856
edition-target:lang:pau-Latn-PW,Palauan,pau-Latn-PW,144,12399.000000,0.000000,0.000000,144,144,0,0,143,144,1,0,false,false,false,0232D823328A01894AD1201AA535362D6D94207D2B658CFE193BB9DCC82FC41C
edition-target:lang:crk-CA,Nehiyawewin,crk-CA,145,12005.000000,0.000000,0.000000,145,145,0,0,145,146,1,0,false,false,false,CB80189B57BCF32E12BAD494259000F96FF497AC519E2887548B2E3668392E18
edition-target:lang:na-Latn-NR,Nauruan,na-Latn-NR,146,11014.000000,0.000000,0.000000,146,146,0,0,145,148,3,0,false,false,false,6F4786CE538A6B510F049308AFEA6C9F6A7BEFFCE7D1A823358ED12CF65DF347
edition-target:lang:aoa-Latn-ST,Angolar,aoa-Latn-ST,147,11377.000000,0.000000,0.000000,147,147,0,0,146,147,1,0,false,false,false,C919A8F11211AF2B291FE78C441D21D30F13FDB0E477F337E4A3386261E15FD9
edition-target:lang:prl-PE,Peruvian Sign Language,prl-PE,148,10447.000000,0.000000,0.000000,148,149,1,0,147,150,3,0,false,false,false,D27B0DC3EFCAC3C03A32B25CAEB6A476790CEAFDB8B68EDBAD72F124D7555677
edition-target:lang:moe-CA,Innu-Aimun,moe-CA,149,10740.000000,0.000000,0.000000,150,150,0,0,149,150,1,0,false,false,false,231F83A75292666504758C97CA7B60F7C2B16A0A5F862E0413C42672430BE2D9
edition-target:lang:poc-GT,Poqomam,poc-GT,150,10787.000000,0.000000,0.000000,148,149,1,0,148,149,1,0,false,false,false,DC2D13D3C22F460C457D36282A2AB3A2500B49EC0FF7B950420A63F33C98F3DA
edition-target:lang:agu-GT,Awakateko,agu-GT,151,10145.000000,0.000000,0.000000,151,151,0,0,151,151,0,0,false,false,false,4B66475C82C8BC4C5321FB2B0337C371C595AF821798C5F7AD587E0D6196AB5E
edition-target:lang:ch-Latn-MP,CHamoru,ch-Latn-MP,152,9579.000000,0.000000,0.000000,152,152,0,0,152,152,0,0,false,false,false,B752500D351C88A6958D1C7CCC5FCA5830778BB7233C996FA5DB9DD05CE74C92
edition-target:lang:nen-Latn-NC,Nengone,nen-Latn-NC,153,9400.000000,0.000000,0.000000,153,153,0,0,153,153,0,0,false,false,false,7FE5C1C092CBE48E08973F3B69DF86CB9EBFB13D0D91F50FA5707FCBB4AE1EA7
edition-target:lang:mic-CA,Mi’kmaq,mic-CA,154,9240.000000,0.000000,0.000000,154,154,0,0,154,154,0,0,false,false,false,1714351ADC09030ECF69CC2BC0BDF75B0504F91AEE388DC0DF86AC0850D8F3D3
edition-target:lang:acu-EC,Achuar Chicham,acu-EC,155,9162.000000,0.000000,0.000000,155,155,0,0,155,155,0,0,false,false,false,2681A1EAF9E1459F12DDC7789C55DFB6711AB5D11175B231AFC09098341F3703
edition-target:lang:chr-US,Cherokee,chr-US,156,10440.000000,0.000000,0.000000,156,156,0,0,156,161,5,0,false,false,false,89BE04F002AE901598A7957005B0FBFC0BD54CC35C19F8AFCB230054C5D727BA
edition-target:lang:tcs-Latn-AU,Yumplatok,tcs-Latn-AU,157,7596.000000,0.000000,0.000000,157,157,0,0,156,159,3,0,false,false,false,1CCF25F91878FD151D68ADCA43A22BA187B5EA7F9AB763A08AB9C2BEE362F61C
edition-target:lang:rop-Latn-AU,Australian Kriol,rop-Latn-AU,158,7403.000000,0.000000,0.000000,158,159,1,0,157,161,4,0,false,false,false,A32C96F077DE365C80C79320598F647FEC95D9D9541211262E2838D4DB34CE3B
edition-target:regional:inb-Latn-CO,Inga in Colombia,inb-Latn-CO,159,7779.000000,0.000000,0.000000,159,160,1,0,157,165,8,0,false,false,false,7C75A2C57D8F733C9400D07AD0DF7DBC9D2E0FC3D7A62DF57A2E307690B16DC0
edition-target:lang:rap-Latn-CL,Rapa Nui,rap-Latn-CL,160,7006.000000,0.000000,0.000000,161,162,1,0,158,162,4,0,false,false,false,0E000137161F62762B72F4C4F1EC3D790C15D1F65E68DAF86D7605BE243ACF9F
edition-target:lang:bla-CA,Blackfoot,bla-CA,161,6680.000000,0.000000,0.000000,163,164,1,0,159,164,5,0,false,false,false,3AE3F75AD6B4D87D36E5C60893F60D57157C3B6C40881AAB48B524AD5927881A
edition-target:regional:gun-Latn-BR,Guarani Mbyá in Brazil,gun-Latn-BR,162,8538.000000,0.000000,0.000000,158,160,2,0,158,164,6,0,false,false,false,38991F65A60A522FEB9FFF4D8EA26ED13D2FFCC8F2574BAEDAED26519E8A0E77
edition-target:regional:nah-oaxaca-Latn-MX,Náhuatl de Oaxaca,nah-oaxaca-Latn-MX,163,8130.000000,0.000000,0.000000,161,162,1,0,160,165,5,0,false,false,false,35C7AF82B7C45BFE05534BBA7C9B8314BF58C926EF6F65A531BAD3F188DEEC45
edition-target:lang:quv-GT,Sakapulteko,quv-GT,164,6528.000000,0.000000,0.000000,165,166,1,0,162,166,4,0,false,false,false,0583562B39FCADAED48F7273900ECE4675545056E697595D12B5EA23B7F9BE90
edition-target:lang:pri-Latn-NC,Paicî,pri-Latn-NC,165,6530.000000,0.000000,0.000000,164,165,1,0,161,165,4,0,false,false,false,2DCDE01A8898490FFC8383D43CA997131B51163A7BB75A6C6730E9941723A43B
edition-target:lang:zun-US,Zuni,zun-US,166,8109.000000,0.000000,0.000000,163,166,3,0,163,168,5,0,false,false,false,38E667C64CCCE3D18F06BA73580ACB32534B13A7FEF1601B15EE3995E2F62A6B
edition-target:regional:nah-istmo-bajo-Latn-MX,Náhuatl del Istmo bajo,nah-istmo-bajo-Latn-MX,167,6800.000000,0.000000,0.000000,167,168,1,0,167,169,2,0,false,false,false,265E510B0E8D3AD0EB25914E5F31E63A154BCD4446AD31CBFF08BBDEB111EC5D
edition-target:lang:ane-Latn-NC,Xârâcùù,ane-Latn-NC,168,5600.000000,0.000000,0.000000,168,170,2,0,166,171,5,0,false,false,false,B29F72F18EF947432C9A0FB2D5BB4444A4B765181026AFD1B8046BDCE5557D05
edition-target:lang:cho-US,Choctaw,cho-US,169,7260.000000,0.000000,0.000000,167,169,2,0,167,173,6,0,false,false,false,C8B8290FF9B79837FE70870C6E296946CE74D0B5D891ED398307FC27ED5860C7
edition-target:lang:hop-US,Hopi,hop-US,170,7105.000000,0.000000,0.000000,169,170,1,0,168,175,7,0,false,false,false,26C2AA22476247EFB27E97EFB23DACD42344A7A1DBB1E42A469EC6EB7C09B74B
edition-target:lang:cwd-CA,Nihithawiwin,cwd-CA,171,5110.000000,0.000000,0.000000,172,172,0,0,167,172,5,0,false,false,false,8373279C9BCDB44802508644615345C95EBDBD78093DC80D1B4D43BE96B20C74
edition-target:regional:gnh-Latn-BR,Guarani Nhandeva in Brazil,gnh-Latn-BR,172,6284.000000,0.000000,0.000000,171,171,0,0,170,174,4,0,false,false,false,C339C80240281B82C696A24CB5E89CDF2DBD1595B4490F6D5187FA90D047E01E
edition-target:lang:crl-CA,Iyiyiw-Ayimiwin,crl-CA,173,4875.000000,0.000000,0.000000,173,173,0,0,170,173,3,0,false,false,false,2535869D25EE7A936EF7FC146BB753C9844FEC406DAFE39313241A9478322601
edition-target:lang:csw-CA,Nehinawewin,csw-CA,174,4670.000000,0.000000,0.000000,174,174,0,0,171,174,3,0,false,false,false,904C41447560552195CAB1DC8093726A785290FA8123FE7ABD6678D1162CF5D0
edition-target:lang:kos-Latn-FM,Kosraean,kos-Latn-FM,175,4566.000000,0.000000,0.000000,175,175,0,0,172,175,3,0,false,false,false,74A911FA90C34ACFD6B053B81874DEF62A1195E04600D83FD440DE1104D58694
edition-target:lang:yap-Latn-FM,Yapese,yap-Latn-FM,176,4190.000000,0.000000,0.000000,176,177,1,0,176,177,1,0,false,false,false,13FCDBD7AF70EF19D9E92424606ECE2AB10DBCFB9C460761A890A71F2259F9A3
edition-target:lang:qum-GT,Sipakapense,qum-GT,177,4155.000000,0.000000,0.000000,177,178,1,0,177,178,1,0,false,false,false,1F681A21AE4E5B27CCD25ED5CA0BDE4507A183CE378F8F877D590BFDFD46F62F
edition-target:lang:evn-RU,Evenki,evn-RU,178,5394.000000,0.000000,0.000000,176,178,2,0,176,181,5,0,false,false,false,3700DFD44C34F72F66E24F15B22A7C8F1400638E10947DFD77EB05646912C64F
edition-target:lang:mrl-Latn-FM,Mortlockese,mrl-Latn-FM,179,3709.000000,0.000000,0.000000,179,181,2,0,178,181,3,0,false,false,false,2486EA6D1A2F8E611AC7BE7200E88A91E4603737565804CAC14B062A24640455
edition-target:lang:ojw-CA,Saulteau,ojw-CA,180,3630.000000,0.000000,0.000000,180,182,2,0,179,182,3,0,false,false,false,A501BBD1560CE1562335860D36D1CF2A1D86A12333BF8695FBDDE5D3C99B91D0
edition-target:lang:eve-RU,Even,eve-RU,181,4645.000000,0.000000,0.000000,180,182,2,0,180,184,4,0,false,false,false,BBEFF8457D73371B15D8836FBA329887D48A0B06BBD2303FB44178B8BF9A552D
edition-target:regional:rmf-Latn-FI,Finnish Kalo,rmf-Latn-FI,182,3500.000000,0.000000,0.000000,183,183,0,0,180,183,3,0,false,false,false,9FE9CBC3AC5F564829508442CD9F7F8C01785462AF9927C005E3D3B393BCBE05
edition-target:lang:dlg-RU,Dolgan,dlg-RU,183,4701.000000,0.000000,0.000000,179,181,2,0,179,183,4,0,false,false,false,948C4246D730DE84567920116BA3EF0D7033BA20574A919B28FD6847AED8CA2A
edition-target:lang:woe-Latn-FM,Woleaian,woe-Latn-FM,184,2952.000000,0.000000,0.000000,184,185,1,0,182,185,3,0,false,false,false,B3A223E0FBD704B2C16C3D001599ECC4CF19D41F59518FDC89C7353B39A95B99
edition-target:regional:nhd-Latn-BR,Avá Guarani in Brazil,nhd-Latn-BR,185,3503.000000,0.000000,0.000000,184,185,1,0,184,185,1,0,false,false,false,52875F1A3DF7BF86762127692D8ABFF6319165FCAD3D855FFD252651143DC8C6
edition-target:lang:ciw-CA,Anishinaabemowin,ciw-CA,186,2040.000000,0.000000,0.000000,186,186,0,0,186,186,0,0,false,false,false,A4DC599FED5302E3781D0F4B260DD8B51FA35A2E7FA3CCB335389E8D89167883
edition-target:lang:mop-GT,Mopan,mop-GT,187,2011.000000,0.000000,0.000000,187,187,0,0,187,187,0,0,false,false,false,DC1B9B9B73CE49604B804C93A3D4D1C8BAC310A991697964E491441A07D87B4F
edition-target:lang:alq-CA,Anicinabemowin,alq-CA,188,1955.000000,0.000000,0.000000,188,188,0,0,188,188,0,0,false,false,false,E919957B0DBDE8107B00FA2BC2621D0F69CB630315A3EB010C3170E430A5D868
edition-target:lang:pre-Latn-ST,Principense,pre-Latn-ST,189,1753.000000,0.000000,0.000000,189,190,1,0,189,190,1,0,false,false,false,D0FB482FEAFDFB2EAEFD7A62235983E52F48CE36F7890BA1C43221CA32EB1A85
edition-target:lang:ckt-RU,Chukchi,ckt-RU,190,2308.000000,0.000000,0.000000,189,190,1,0,189,190,1,0,false,false,false,B54529082A4D251BE4B1E53FB2E08E253266236EA6B6626F73302F4AFEC18CB8
edition-target:lang:cod-PE,Kukama Kukamiria,cod-PE,191,1185.000000,0.000000,0.000000,191,191,0,0,191,191,0,0,false,false,false,92367065BD1A52C055947E10992AF1FA8141B25D60D6327BBBC4B2BD23F1CBC0
edition-target:lang:nsk-CA,Naskapi,nsk-CA,192,1035.000000,0.000000,0.000000,192,192,0,0,192,192,0,0,false,false,false,5CAA4E3823DBED8E6B6AA0E9716C2EA9A5C1193586D538D8C5A7474C8AE7C194
edition-target:lang:crj-CA,Inu Ayimun,crj-CA,193,895.000000,0.000000,0.000000,193,193,0,0,193,193,0,0,false,false,false,E99F80E62B831971323981B6540C78F5C23F1F60AF35958E84BAC1357C880623
edition-target:lang:pqm-CA,Wolastoqewi,pqm-CA,194,820.000000,0.000000,0.000000,194,194,0,0,194,194,0,0,false,false,false,804C5C9A1BC7C1B982BDF980491A007DD868D4DE5AE322C86E0DF2120B7FBD00
edition-target:lang:ikt-CA,Inuinnaqtun,ikt-CA,195,790.000000,0.000000,0.000000,195,195,0,0,195,195,0,0,false,false,false,D780F8F5D02ED77B8AD77CD2A0B21E0FC4067BD36F045346F334438E6755A2B4
edition-target:regional:jqr-Latn-PE,Jaqaru in Peru,jqr-Latn-PE,196,448.000000,0.000000,0.000000,196,196,0,0,196,196,0,0,false,false,false,CC6F53760C16F766E1B3094FA7CEF702F42339B542A74C5A3F7B4905E0536065
edition-target:lang:crm-CA,Ilimowin,crm-CA,197,415.000000,0.000000,0.000000,197,197,0,0,197,197,0,0,false,false,false,3A80E6AB2413BD692D2B00B20ECE15F836BF81ADFAB8419FB99AFBCCE50340EF
edition-target:lang:itz-GT,Itza’,itz-GT,198,406.000000,0.000000,0.000000,198,198,0,0,198,198,0,0,false,false,false,1729F3B1650E4B8DAFE2BA1A5A4FCE80C0F7AC9E96AE07FE51751AFCC259BF38
edition-target:regional:inuvialuktun-Latn-CA,Inuvialuktun in Canada,inuvialuktun-Latn-CA,199,355.000000,0.000000,0.000000,199,200,1,0,199,200,1,0,false,false,false,4A49DCD628F9E7596F5B25ED21442CA0E7387CB2BCFEFE48789A862629AAD9FE
edition-target:lang:itl-RU,Itelmen,itl-RU,200,455.000000,0.000000,0.000000,199,200,1,0,199,200,1,0,false,false,false,E6E470ADFA21A2A362A867F26EFC10C3D0FB6E7DAB0620EFB1B145ED89E6DDD6
edition-target:lang:zh-Hans-CX,Mandarin Chinese,zh-Hans-CX,201,235.000000,0.000000,0.000000,201,202,1,0,201,202,1,0,false,false,false,278DD1099FC0544D17F5EF8380D81B77A1282DDE5A120E6B56335B9383EF9872
edition-target:lang:otw-CA,Daawaamwin,otw-CA,202,220.000000,0.000000,0.000000,203,203,0,0,202,203,1,0,false,false,false,CF201E60AE70C74726761A054DCF576B2AB44F7ECA4C3BF20C1F18D3E2F70BD2
edition-target:lang:nio-RU,Nganasan,nio-RU,203,294.000000,0.000000,0.000000,201,202,1,0,201,203,2,0,false,false,false,D754DA769172FBC35EC643050138CFAAFDBA7572CA7D65574E6377692B50102E
edition-target:lang:ulk-Latn-AU,Meriam Mir,ulk-Latn-AU,204,60.000000,0.000000,0.000000,204,204,0,0,204,204,0,0,false,false,false,8F3BF987875331EAE6B9B64A17BCF17E88E233C6D05BC9AC8FF4D5DF4E3E8732
