sentinel_id,target_label,expected_edition_target_id,expected_language_tag,script_or_mode,territory_or_community,sentinel_class,minimum_lane,why_required,preferred_evidence_action
S116,Taiwanese Taigi — Southern Min,edition-target:lang:nan-Hant-TW,nan-Hant-TW,Traditional Han and standardized romanization arms,Taiwan,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large current-use and transmission population with official direct evidence,Integrate DGBAS use measures and retain children/noncitizens exclusions
S117,Mainland Southern Min,edition-target:lang:nan-Hans-CN,nan-Hans-CN,Simplified Han plus spoken/audio arm,Fujian and diaspora China,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large Sinitic variety distinct from Taiwan Taigi,Add exact mainland evidence without transferring Taiwan counts
S118,Taiwan Hakka,edition-target:lang:hak-Hant-TW,hak-Hant-TW,Traditional Han and Hakka romanization arms,Taiwan,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Official evidence shows large identity and much smaller ability/use constructs,Preserve identity ability use age and geography as separate measures
S119,Mainland Hakka,edition-target:lang:hak-Hans-CN,hak-Hans-CN,Simplified Han plus spoken/audio arm,China,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large Sinitic variety absent from the current authority,Add mainland-specific evidence without importing Taiwan counts
S120,Xiang Chinese,edition-target:lang:hsn-Hans-CN,hsn-Hans-CN,Simplified Han plus spoken/audio arm,Hunan China,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large Sinitic variety absent from the current authority,Add exact evidence and written-standard overlap analysis
S121,Gan Chinese,edition-target:lang:gan-Hans-CN,gan-Hans-CN,Simplified Han plus spoken/audio arm,Jiangxi and neighboring China,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large Sinitic variety absent from the current authority,Add exact evidence and written-standard overlap analysis
S122,Jin Chinese,edition-target:lang:cjy-Hans-CN,cjy-Hans-CN,Simplified Han plus spoken/audio arm,Shanxi and neighboring China,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large Sinitic variety absent from the current authority,Add exact evidence and written-standard overlap analysis
S123,Yue Cantonese — mainland,edition-target:lang:yue-Hans-CN,yue-Hans-CN,Simplified Han plus Cantonese speech,Guangdong Guangxi and mainland communities,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large Sinitic variety requiring mainland disposition,Do not substitute Hong Kong traditional-script evidence
S124,Yue Cantonese — Hong Kong,edition-target:lang:yue-Hant-HK,yue-Hant-HK,Traditional Han plus Cantonese speech,Hong Kong,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large territorial spoken and written profile,Use Hong Kong-specific language-use evidence
S125,Hainanese or Qiongwen Min,edition-target:lang:hnm-Hans-CN,hnm-Hans-CN,Simplified Han plus spoken/audio arm,Hainan China,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Potentially large omitted Min variety,Resolve exact ISO identity and direct evidence before ranking
S126,Hmong varieties in China,edition-target:lang:unresolved-hmong-varieties-CN,,Multiple orthographies,China,UNRESOLVED_MACRO,MANDATORY_CONTEXT,Macro labels such as Miao or Hmong must not become one fake language,Create exact variety and script records before any person allocation
S127,Low German,edition-target:lang:nds-Latn-DE,nds-Latn-DE,Latin,Germany and diaspora,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Inter-Germanic hypothesis must be tested against actual gaps,Add exact candidate and independent educational-need evidence
S128,Plautdietsch,edition-target:lang:pdt-Latn-001,pdt-Latn-001,Latin,Transnational Mennonite communities,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Distinct diaspora language potentially poorly served by national standards,Add community-specific evidence and script profile
S129,Pennsylvania Dutch,edition-target:lang:pdc-Latn-US,pdc-Latn-US,Latin,United States diaspora communities,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Distinct diaspora language in the Inter-Germanic hypothesis,Add community-specific evidence
S130,Hutterisch,edition-target:lang:geh-Latn-001,geh-Latn-001,Latin,North American Hutterite communities,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Distinct diaspora language in the Inter-Germanic hypothesis,Add community-specific evidence
S131,West Frisian,edition-target:lang:fy-Latn-NL,fy-Latn-NL,Latin,Friesland Netherlands,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Official regional language and Inter-Germanic test case,Add exact educational-resource evidence
S132,Afrikaans,edition-target:lang:af-Latn-ZA,af-Latn-ZA,Latin,South Africa and Namibia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large Germanic language with distinct educational communities,Add exact evidence rather than assume English coverage
S133,Yiddish,edition-target:lang:yi-Hebr-001,yi-Hebr-001,Hebrew script,Global Yiddish communities,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Distinct script and educational ecology,Add community-specific and stage-specific evidence
S134,Faroese,edition-target:lang:fo-Latn-FO,fo-Latn-FO,Latin,Faroe Islands,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Small national language and Inter-Germanic test case,Add exact evidence without assuming Danish or English comfort
S135,Icelandic,edition-target:lang:is-Latn-IS,is-Latn-IS,Latin,Iceland,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Small national language and negative-control case,Research exact stage and advanced-resource gaps
S136,Luxembourgish,edition-target:lang:lb-Latn-LU,lb-Latn-LU,Latin,Luxembourg,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,National language in a strongly multilingual system,Research actual education-language functions before interlanguage claims
S137,Swiss German varieties,edition-target:lang:gsw-Latn-CH,gsw-Latn-CH,Latin plus spoken/audio arm,Switzerland,MINORITIZED_GERMANIC,DIRECT_OR_EXPLICIT_CONTEXT,Spoken continuum not equivalent to Standard German in all educational functions,Resolve variety and modality before ranking
S138,Haitian Kreyòl,edition-target:lang:ht-Latn-HT,ht-Latn-HT,Latin,Haiti and diaspora,CREOLE_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national creole with major education-language implications,Resolve duplicate identifiers and source-bind a defensible person range
S139,Guinea-Bissau Kriol,edition-target:lang:pov-Latn-GW,pov-Latn-GW,Latin,Guinea-Bissau,CREOLE_BRIDGE,DIRECT_OR_EXPLICIT_CONTEXT,Official census shows 1303743 users and strong rural bridge reach,Retain direct multiple-response count and nonadditivity caveat
S140,Kreol Morisien,edition-target:lang:mfe-Latn-MU,mfe-Latn-MU,Latin,Island of Mauritius,CREOLE_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Large directly enumerated national creole population,Use Mauritius-island denominator when Rodrigues is separate
S141,Kreol Rodrige,edition-target:lang:mfe-Latn-MU-x-rodrigues,mfe-Latn-MU-x-rodrigues,Latin,Rodrigues,CREOLE_REGIONAL,DIRECT_OR_EXPLICIT_CONTEXT,Separate official census stratum,Do not double count inside Republic-wide Morisien total
S142,Kreol Seselwa,edition-target:lang:crs-Latn-SC,crs-Latn-SC,Latin,Seychelles,CREOLE_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,National creole with directly bounded derived population,Use correct 2022 denominator and rounded-share interval
S143,Belize Kriol,edition-target:lang:bzj-BZ,bzj-BZ,Latin,Belize,CREOLE_REGIONAL,DIRECT_OR_EXPLICIT_CONTEXT,Official census provides direct multiple-response person count,Retain exact age universe and nonadditivity caveat
S144,Curaçao Papiamentu,edition-target:lang:pap-CW,pap-CW,Phonemic Latin,Curaçao,CREOLE_REGIONAL,DIRECT_OR_EXPLICIT_CONTEXT,Official census provides home-language share,Use rounded-share interval and keep Aruba orthography separate
S145,Aruba Papiamento,edition-target:lang:pap-AW,pap-AW,Etymological Latin,Aruba,CREOLE_REGIONAL,DIRECT_OR_EXPLICIT_CONTEXT,Official census provides direct home-language count,Keep Curaçao and Bonaire orthographic profiles separate
