"source_id","publisher","title","reference_year","source_type","territory_or_scope","url","locator","construct_and_limits","accessed_date"
"GT_CENSUS_LANGUAGE_2018","Guatemala Instituto Nacional de Estadística","XII Censo Nacional de Población y VII de Vivienda: principales resultados","2018","official census table","Guatemala","https://censo2018.ine.gob.gt/archivos/Principales_resultados_Censo2018.pdf","language in which persons age 4+ learned to speak by exact named language","Exact childhood-acquired-language counts, not current use or proficiency; ethnic belonging is not substituted.","2026-09-01"
"GT_DIGEBI_TARGET","Guatemala Ministry of Education, DIGEBI","Bilingual intercultural education target","current page accessed 2026-09-01","official program target","Guatemala","https://digebi.mineduc.gob.gt/digebi/nuestra-meta/","named-language stage targets through Grade 6 versus preprimary–Grade 3","Target/provision design, not verified enrolment, dosage or achievement. It distinguishes four larger languages from 12 smaller communities.","2026-09-01"
"GT_EDU_REPORT_2023","Guatemala Ministry of Education","Memoria de Labores 2023","2023","official administrative report","Guatemala EIB","https://edu.mineduc.gob.gt/documents/memoriaLabores/Memoria_de_Labores_2023.pdf","EIB enrolment by stage, characterized-school footprint and named material outputs","Program enrolment/outputs, not exact language outcomes or open-licence completeness.","2026-09-01"
"GT_EIB_DELIVERY_2022","Guatemala Ministry of Education","Memoria de Labores 2022","2022","official administrative report","Guatemala EIB","https://edu.mineduc.gob.gt/documents/memoriaLabores/Memoria_de_Labores_2022.pdf","p. 40 Table 11 EIB enrolment by stage and language-material production","Shared EIB delivery totals cannot be allocated to exact languages. Text production proves functional supply, not open licensing or full academic-stage coverage.","2026-09-01"
"GT_EIB_G1_READING_2008","Guatemala Ministry of Education, DIGEDUCA","Primary bilingual education assessment report","2008","official learner assessment","Guatemala bilingual primary Grade 1","https://edu.mineduc.gob.gt/digeduca/documents/informes/Informe_Primaria_Bilingue_2008.pdf","p. 32, Figure 14: Spanish-reading performance by K’iche’, Kaqchikel, Mam and Q’eqchi’ labels","Dated Grade 1 Spanish-reading assessment, not first-language proficiency, literacy population or completion.","2026-09-01"
"HT_CLASSROOM_2014","World Bank","Why Do Students Learn So Little? Seeking Answers Inside Haiti’s Classrooms","2014 observations / 2015 report","authoritative classroom observation study","97 schools, 369 classrooms, Nord and Nord-Est Haiti","https://files.eric.ed.gov/fulltext/ED573569.pdf","pp. 9–12, Table 3 and footnote 7: instruction language and material use","Direct classroom exposure in two departments, not a national prevalence estimate or causal effect.","2026-09-01"
"HT_CONSTITUTION_ART5","Republic of Haiti / OAS copy","Constitution of Haiti","1987 as amended","official constitutional text","Haiti","https://oas.org/juridico/PDFs/mesicic4_hti_const.pdf","Article 5: Creole common language; Creole and French official","Legal status establishes functional/common-language relevance, not a numeric speaker count or educational delivery.","2026-09-01"
"HT_IHSI_POP_2024","Institut Haïtien de Statistique et d’Informatique","Projections et estimations de la population","2024","official population estimate","Haiti","https://www.ihsi.gouv.ht/statistiques/statistiques_demographiques_et_sociales/projections_et_estimations_de_la_population","2024 territory population estimate: 11,867,032","Territory population only, not a Haitian Creole speaker count; used solely as a ceiling.","2026-09-01"
"HT_UNICEF_CRISIS_2025","UNICEF","Haiti’s children confront a polycrisis","2024/25","intergovernmental emergency situation report","Haiti","https://www.unicef.org/child-alert/haitis-children-confront-polycrisis","education section: school closures and armed-group occupation","Territory-wide delivery disruption, not a Creole-speaker outcome or exposure estimate.","2026-09-01"
"HT_UNICEF_EDUCATION","UNICEF","Education in Haiti and 2025 Child Alert","2017 indicators / 2024–25 crisis","intergovernmental situation evidence","Haiti","https://www.unicef.org/haiti/en/education","Grade 2 reading and primary-school exclusion indicators","National education endpoints from different years/samples than classroom observations; no language-specific causal estimate.","2026-09-01"
"JM_EARLY_CURRICULUM","Jamaica Ministry of Education","Jamaica Early Childhood Curriculum Guide","2010","official curriculum guide","Jamaica early childhood","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf","PDF p. 231: Jamaican Creole home language and Standard Jamaican English academic/literacy role","Direct policy-design mismatch evidence; not implementation dosage or outcome.","2026-09-01"
"JM_LANGUAGE_SURVEY_2006","University of the West Indies Jamaican Language Unit","Language Competence Survey of Jamaica","2006 survey / 2007 report","demonstrated oral-competence survey","Jamaica adults","https://www.mona.uwi.edu/dllp/sites/default/files/dllp/The%20Language%20Competence%20Survey%20of%20Jamaica%20-%20Data%20Analysis.pdf","Table 4 and pp. 11, 26, 29: English-only, Patwa-only and bilingual counts","Direct demonstrated code-switch/competence sample n=1,000 adults, not a census or pupil language/literacy distribution.","2026-09-01"
"JM_PEP_2026","Jamaica Information Service","Improved performance in PEP examination","2026","official assessment release","Jamaica end-primary","https://jis.gov.jm/improved-performance-in-pep-exam/","Language Arts proficiency distribution and 2023–2026 trend","National Standard Jamaican English academic endpoint, not Patwa-speaker-specific and not a causal language-mismatch estimate.","2026-09-01"
"KREYOL_MT_2024","NAACL / Johns Hopkins University","Kreyòl-MT: Building MT for 26 Caribbean Creoles","2024","peer-reviewed public/all corpus inventory","Caribbean Creoles","https://www.cs.jhu.edu/~kevinduh/t/naacl24/final_pdf/paper289.pdf","pp. 2, 5–6 and Table 3: exact/pooled language public/all sentence counts and genre transfer","Sentence-pair inventory is resource evidence, not people or curriculum. `pap` pools Aruba/Bonaire/Curaçao; some codes/Glottocodes distinguish varieties. Large same-genre performance does not guarantee general-domain performance.","2026-09-01"
"LC_LANGUAGE_POLICY_2021","Government of Saint Lucia","National language policy underway","2021","official policy announcement","Saint Lucia","https://www.govt.lc/news/national-language-policy-underway","primary/secondary Kwéyòl competence, teacher development, certification and resource goals","Policy intent and recognized delivery requirement, not implemented reach or learning outcome.","2026-09-01"
"MX_CENSUS_LANGUAGE_DETAIL_2020","INEGI","Censo 2020: language detail tables","2020","official census report","Mexico, population age 3+","https://en.www.inegi.org.mx/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/nueva_estruc/889463901617.pdf","total age-3+ population and Spanish ability among Indigenous-language speakers","Territorial population and Indigenous-language subgroup Spanish ability; neither is a Mexican-standard Spanish speaker count.","2026-09-01"
"MX_ENDUTIH_2023","INEGI","ENDUTIH 2023","2023","official household ICT survey","Mexico and states","https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2024/ENDUTIH/ENDUTIH_23.pdf","household internet access and Chiapas/Oaxaca/Guerrero shares","Household/territory access context, not Indigenous-language or Spanish-standard cross-tab.","2026-09-01"
"MX_INALI_CLIN_NAHUATL","Instituto Nacional de Lenguas Indígenas","Catálogo de las Lenguas Indígenas Nacionales: Náhuatl variants","official catalog accessed 2026-09-01","official exact-variant taxonomy","Mexico","https://www.inali.gob.mx/sitios/clin-inali/html/v_nahuatl.html","30 named variants and treatment as languages in public functions","Exact official taxonomy. Macro Nahuatl counts cannot be distributed among variants.","2026-09-01"
"MX_INALI_LANGUAGE_RISK","Instituto Nacional de Lenguas Indígenas","Lenguas indígenas nacionales en riesgo de desaparición","2012 publication using 2000 base","official intergenerational-risk analysis","Mexico exact variants","https://site.inali.gob.mx/pdf/libro_lenguas_indigenas_nacionales_en_riesgo_de_desaparicion.pdf","exact variant population, share age 5–14 and risk level tables","Dated direct variant-level diagnostic. Child share is not a school outcome; risk codes retain the source scale.","2026-09-01"
"MX_INALI_NAHUATL_VARIANT_2000","Instituto Nacional de Lenguas Indígenas","Población hablante por variante lingüística y monolingüismo","2000","official variant allocation table","Mexico","https://site.inali.gob.mx/pdf/estadistica/VARIANTE/VARIANTE_C3_monolinguismo.pdf","exact Nahuatl variant speaker estimates age 5+; asterisk marks shared-locality overestimation","Dated source-stated estimates allocated using Census 2000 and official localities. Asterisked variants may be overestimated; they are not updated with the 2020 macro count.","2026-09-01"
"MX_INALI_YUCATEC_2020","Instituto Nacional de Lenguas Indígenas","Lengua del mes: Maayat’aan (Maya)","current statement with 2000 risk basis","official exact-language profile","Yucatán Peninsula, Mexico","https://www.inali.gob.mx/detalle/lengua-del-mes-maayataan-maya","source-stated >500,000 speakers, 4,083 localities and child-share/risk statement","Exact single-variant statement; the newer INEGI “Maya” grouping is not substituted because construct comparability is not fully documented.","2026-09-01"
"MX_INDIG_CHILD_SPANISH_2020","INEGI","Children and Indigenous-language/Spanish ability","2020","official census statistical release","Mexico, children age 3–11 speaking an Indigenous language","https://www.inegi.org.mx/contenidos/saladeprensa/aproposito/2022/EAP_DiaNino22.pdf","p. 3: one million children; 280,000 did not speak Spanish","Direct subgroup language-transition evidence, not a Mexican-Spanish standard count or learning outcome.","2026-09-01"
"MX_INEE_LANGUAGE_MATCH","Instituto Nacional para la Evaluación de la Educación","Indigenous-school teacher-language match and materials indicators","2016/17-era indicators","official education evaluation","Mexico Indigenous schools","https://www.inee.edu.mx/wp-content/uploads/2019/06/P2A348.pdf","teacher command of pupils’ language and system mismatch indicator","System-context evidence, not exact-variant rates. It cannot be assigned to a named Nahuatl or Maya population.","2026-09-01"
"MX_INEE_TEACHER_MATCH_2016_17","Instituto Nacional para la Evaluación de la Educación","Teacher command of community mother tongue in Indigenous schools","2016/17","official education indicator","Mexico Indigenous preschool and primary","https://www.inee.edu.mx/wp-content/uploads/2019/08/P1B117.pdf","p. 117: schools lacking any teacher speaking community mother tongue","School exposure/mismatch, not learner/person or exact language standard outcome.","2026-09-01"
"MX_INEGI_CENSUS_2020","INEGI","Censo de Población y Vivienda 2020: principales resultados","2020","official census report","Mexico","https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf","age-3+ macro language counts including Nahuatl and Maya","Current macro-language category counts are quarantined and never distributed to exact INALI variants or substituted for older exact-variant estimates.","2026-09-01"
"NLP_AMERICASNLP_2021","Association for Computational Linguistics / AmericasNLP","AmericasNLP 2021 shared task on open machine translation","2021","peer-reviewed open corpus/evaluation paper","Aymara, Guaraní and Nahuatl corpora","https://aclanthology.org/2021.americasnlp-1.23.pdf","Table 1 and section 3: corpus sizes, variety, orthography and domain composition","Functional open corpus evidence. Training/evaluation variety and domain mismatches prevent assignment to exact Indigenous variety rows; sentence pairs are not people/resources for a complete curriculum.","2026-09-01"
"NLP_INGA_2024","Association for Computational Linguistics / AmericasNLP","Machine translation for Inga and other Indigenous languages","2024","peer-reviewed open corpus/evaluation paper","Inga digital corpus","https://aclanthology.org/2024.americasnlp-1.2.pdf","pp. 10–11 and Table 1: corpus sizes and MT results","Direct open digital-resource and model-performance evidence; sentence pairs and scores are not people, schooling outcomes or proof of curricular completeness.","2026-09-01"
"NLP_MAYA_2024","Association for Computational Linguistics / AmericasNLP","Open machine-translation corpora for Maya and Chol","2024","peer-reviewed open corpus/evaluation paper","Yucatec Maya and Chol digital corpora","https://aclanthology.org/2024.americasnlp-1.16.pdf","Table 1: original, cleaned, train and development/test sentence-pair counts","Direct open corpus evidence, not curricular completeness or people. Chol code/label does not split northwest and southeast variants.","2026-09-01"
"NL_CBS_HOME_LANGUAGE_2021_2024","Statistics Netherlands (CBS)","What languages do people usually speak at home?","survey data 2021, 2023 and 2024","official sample-survey synthesis","Netherlands and Fryslân","https://longreads.cbs.nl/the-netherlands-in-numbers-2025/what-languages-do-people-usually-speak-at-home/","Frisian home-language results and methods note","Home use among people age 15+, not competence. The national and Fryslân percentages are not converted into person counts here because no source-stated denominator/count is supplied on the page.","2026-09-01"
"NL_PRIMARY_FRISIAN_CURRICULUM","Government of the Netherlands","Subjects and attainment targets in primary education","current page accessed 2026-09-01","official curriculum policy","Netherlands / Fryslân","https://www.government.nl/topics/primary-education/subjects-and-attainment-targets-in-primary-education","Frisian language requirement and exemption paragraph","Establishes compulsory Frisian in primary schools in Fryslân and an exemption pathway. Does not quantify hours, proficiency outcomes or open resources.","2026-09-01"
"OER_UNESCO_2019","UNESCO","Recommendation on Open Educational Resources (OER)","2019","intergovernmental normative definition","global","https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422","Definition I.1 and scope","Defines OER as materials under an open licence or in the public domain permitting no-cost access, reuse, repurposing, adaptation and redistribution. Free access alone is not proof of open adaptability.","2026-09-01"
"OFSTED_BEIS_RUCHEL_2016","Ofsted","Beis Ruchel d’Satmar Girls’ School inspection report","2016","official school inspection","Salford, England","https://files.ofsted.gov.uk/v1/file/2583554","pp. 5–7: enrolment/bilingual profile and Year 1 phonics endpoint","One school, mostly Satmar; exact delivery/endpoint evidence, not global causal or representative effect.","2026-09-01"
"OFSTED_BEIS_RUCHEL_2026","Ofsted","Beis Ruchel Girls School inspection report","2026","official school inspection","Salford, England","https://files.ofsted.gov.uk/v1/file/50301471","pp. 2–4 and 9: enrolment, Yiddish nursery context and English sequence/gaps","One school and different inspection framework from 2016; not a panel trend or proof Yiddish causes English outcomes.","2026-09-01"
"PA_MEDUCA_EIB_PLAN_2025_29","Panama Ministry of Education","Strategic Plan 2025–2029","2023–2029","official education plan","Panama / Ngäbere EIB","https://meduca.gob.pa/wp-content/uploads/2025/06/Plan_Estrategico_2025-2029.pdf","Ari Taen Jadenkä classrooms/enrolment and Ngäbere mathematics delivery","Program delivery counts, not language population, learning effect or full EIB institutionalization.","2026-09-01"
"PA_NGABE_ACCESS_2023","INEC Panama","Censo 2023: internet and computer use in Comarca Ngäbe Buglé","2023","official census table","Comarca Ngäbe Buglé, age 4+","https://www.inec.gob.pa/archivos/P053342420231009163000CUADRO%2019.pdf","Table 19: age-4+ internet/computer use counts","Territorial use, not connection, device ownership, Ngäbere speaker or Spanish-standard count.","2026-09-01"
"PE_BDPI_AYMARA","Peru Ministry of Culture, BDPI","Aymara language profile","2017 census cited","official language profile","Peru","https://bdpi.cultura.gob.pe/lenguas/aimara","450,010 people who learned Aymara in childhood","Umbrella childhood-acquired-language count; not allocated to southern/central exact varieties.","2026-09-01"
"PE_BDPI_JAQARU","Peru Ministry of Culture, BDPI","Jaqaru people profile","2017","official census/community profile","Yauyos, Lima, Peru","https://bdpi.cultura.gob.pe/pueblos/jaqaru","448 childhood-language; 673 self-identification; 533 community estimate","Three distinct constructs; 448 is the exact childhood-language count used. The others are context, not bounds.","2026-09-01"
"PE_CENSUS_LANGUAGE_2017","INEI Peru","Censos Nacionales 2017: language learned in childhood","2017","official census result","Peru age 5+","https://censo2017.inei.gob.pe/inei-difunde-base-de-datos-de-los-censos-nacionales-2017-y-el-perfil-sociodemografico-del-peru/","Spanish, Quechua, Aymara and other native childhood-language counts","Childhood-acquired language, not exact national standard/current proficiency or literacy.","2026-09-01"
"PE_ECE_EIB_READING_2018","Peru Ministry of Education, UMC","Resultados 2018: Evaluación Censal y Muestral de Estudiantes","2018","official learner assessment","Peru EIB Grade 4","https://repositorio.minedu.gob.pe/bitstream/handle/20.500.12799/6562/Resultados%202018%20Evaluaci%C3%B3n%20Censal%20de%20Estudiantes%20y%20Evaluaci%C3%B3n%20Muestral%20de%20Estudiantes%20evaluaciones%20de%20logros%20de%20aprendizaje.pdf?isAllowed=y&sequence=1","p. 32: Grade 4 EIB first-language reading by Chanka, Collao and Aymara labels","Exact assessment-label distributions for one grade/school sample. They are not population literacy or completion rates; Aymara subvariety is not named.","2026-09-01"
"PE_INTERNET_CHILDREN_2023","INEI Peru","Internet use among children and adolescents, fourth quarter 2023","2023","official household survey release","Peru age 6–17","https://www1.inei.gob.pe/media/MenuRecursivo/noticias/nota-de-prensa-n-034-2024-inei.pdf","internet use and place/device access shares","National age-group context, not exact language/standard cross-tab; access locations are multiple response.","2026-09-01"
"PE_MINEDU_EIB_2025","Peru Ministry of Education","EIB service and language-material coverage","2025","official administrative release","Peru","https://www.gob.pe/institucion/minedu/noticias/1297300-minedu-atiende-a-estudiantes-en-12-lenguas-consideradas-en-riesgo-de-desaparicion","EIB learners, institutions, teachers, service languages and material languages/Quechua varieties","Program reach and production inventory, not language-specific dosage/outcome or open licensing.","2026-09-01"
"PE_MINEDU_LANGUAGE_TAXONOMY","Peru Ministry of Education","Lenguas originarias del Perú","official taxonomy accessed 2026-09-01","official language/variety taxonomy and vitality report","Peru","https://repositorio.minedu.gob.pe/bitstream/handle/20.500.12799/6261/Lenguas%20Originarias%20del%20Peru.pdf?isAllowed=y&sequence=1","p. 22 Aymara/Jaqaru treatment and Quechua vitality table","Exact taxonomy/vitality evidence, not person counts. Family or umbrella numbers cannot be allocated among listed varieties.","2026-09-01"
"PE_MINEDU_SOUTHERN_QUECHUA","Peru Ministry of Education","Yachachinapaq simikuna: Southern Quechua pedagogical vocabulary","2017 population evidence cited","official pedagogical taxonomy and population statement","southern Peru","https://repositorio.minedu.gob.pe/bitstream/handle/20.500.12799/7490/Yachachinapaq%20simikuna%20-%20Urin%20Qichwa%20vocabulario%20pedag%C3%B3gico%20quechua%20sure%C3%B1o.pdf?isAllowed=y&sequence=1","introductory Southern Quechua variety definition and combined >2.3 million statement","Defines Chanka and Collao territorial variety groupings and a combined source-stated speaker threshold. The combined number is a shared ceiling and is never split between varieties.","2026-09-01"
"PT_CENSUS_POP_2021","Statistics Portugal (INE)","Censos 2021 population summary","2021","official census educational publication","Portugal","https://www.ine.pt/scripts/esc2023/5.SUPERMAT.pdf","resident population 10,343,066","Territory population ceiling; not a European Portuguese speaker enumeration.","2026-09-01"
"PT_DGE_DIGITAL_MANUALS_2025_26","Portugal Directorate-General for Education","Digital educational resources and manuals","2025/26","official digital-resource program","Portugal mainland public schools","https://digital.dge.mec.pt/projeto-piloto-manuais-digitais","49 schools, 324 classes and 6,462 learners using digital manuals","Functional program reach at selected stages, not open adaptation or population coverage.","2026-09-01"
"PT_DGE_OPEN_RESOURCES","Portugal Directorate-General for Education","Recursos Educativos Digitais e Abertos (REDA)","current page accessed 2026-09-01","official open-resource portal","Portugal","https://apoioescolas.dge.mec.pt/recursos/recursos-educativos-digitais-e-abertos-reda","stage categories and open digital resource portal description","Functional/open portal evidence; item-level licence, subject completeness and offline/accessibility audit not performed.","2026-09-01"
"PT_PISA_2022","OECD","PISA 2022 country note: Portugal","2022","international representative learner assessment","Portugal 15-year-old students","https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/portugal_777942d5-en.html","reading Level 2+ and Level 5+ shares","National learner endpoint, not exact national-standard speaker attainment or adult literacy.","2026-09-01"
"PY_EDU_PLAN_2040","Paraguay Ministry of Education / national transformation process","Plan Nacional de Transformación Educativa Paraguay 2040","2020–2022 evidence summarized","official national education plan","Paraguay","https://siteal.iiep.unesco.org/sites/default/files/sit_accion_files/plan_nacional_de_transformacion_educativa_paraguay_2040.pdf","pp. 23–24 and 32: literacy, PISA-D reading, cohort completion and home-language association","National education endpoints and home-language association; no causal inference and no exact Guaraní-variety allocation.","2026-09-01"
"PY_HOME_LANGUAGE_2022","Paraguay Instituto Nacional de Estadística","Día Internacional de la Lengua Materna: EPHC 2022","2022","official household sample survey release","Paraguay population age 5+","https://www.ine.gov.py/ende/contenido.php?c=1484&title=21_de_febrero,_D%C3%ADa_Internacional_de_la_Lengua_Materna","home-language shares and survey population 6,694,306","Home-use shares; mixed Spanish–Guaraní, Guaraní and Spanish categories do not identify standard Paraguayan Guaraní, Jopara or an exact speaker count and are not converted to persons.","2026-09-01"
"PY_INDIGENOUS_CENSUS_2022","Paraguay Instituto Nacional de Estadística","Resultados finales del Censo Nacional de Población y Viviendas para Pueblos Indígenas 2022","2022","official Indigenous census","Paraguay","https://www.ine.gov.py/Publicaciones/Biblioteca/documento/237/Resultados-Finales-Censo-Indigena.pdf","ethnic-pueblo counts and age-5+ first-language shares by named pueblo","All-age ethnic-pueblo counts are used only as ethnic population proxies. They are not multiplied by age-5+ language shares and are not speaker counts.","2026-09-01"
"PY_INDIG_LANG_BULLETIN_2026","Paraguay Instituto Nacional de Estadística","Diversidad de lenguas habladas por los pueblos indígenas","2002–2022","official census trend bulletin","Paraguay Indigenous peoples","https://www.ine.gov.py/Publicaciones/Biblioteca/documento/331/Diversidad_de_Lenguas_habladas_por_los_pueblos_indigenas.pdf","own-language-first versus Paraguayan-Guaraní-first by named pueblo and national trend","Direct intergenerational/first-language shift evidence; shares use an age-5+ denominator and are not converted into persons.","2026-09-01"
"PY_INDIG_STUDY_YEARS_2022","Paraguay Instituto Nacional de Estadística","Indigenous census summary","2022","official census summary","Paraguay","https://www.ine.gov.py/Publicaciones/Biblioteca/documento/260/TRIPTICO%20%28Castellano%29.pdf","average years of study age 15+ by named Indigenous pueblo","Education endpoint by ethnic pueblo, not by exact speaker/first-language subgroup and not a completion rate.","2026-09-01"
"PY_INTERNET_2023","Paraguay Instituto Nacional de Estadística","Tecnología de la Información y Comunicación, EPHC 2023","2023","official household survey","Paraguay age 10+","https://www.ine.gov.py/Publicaciones/Biblioteca/documento/253/Tecnolog%C3%ADa%20de%20la%20Informaci%C3%B3n%20y%20Comunicaci%C3%B3n%20EPHC_2023_INE.pdf","internet use, urban/rural shares, education/training use and exclusions","Survey excludes Indigenous communities and some territories; not a language cross-tab.","2026-09-01"
"SCOTLAND_SCOTS_POLICY_2022","Scottish Government","Scots language policy page","2022 census","official census-result summary and policy page","Scotland","https://www.gov.scot/policies/languages/scots/","Scots census ability totals and education-support section","Reports speaking ability and a broader any-skill construct. Census category does not disaggregate Scots dialects; education-support activity is not a system-wide learner count.","2026-09-01"
"SR_CENSUS_LANGUAGE_2012","Algemeen Bureau voor de Statistiek Suriname","Census 8 Volume 3: households, families and dwellings","2012","official census household table","Suriname","https://statistics-suriname.org/wp-content/uploads/2019/05/Publicatie-Census-8-Volume-3-Huishoudens-Gezinnen-en-Woonverblijven-Milieu-Criminaliteit.pdf","Table HWG-06a/b, p. 36: most-used and second household language","Household counts are not persons, speakers or first-language counts; first and second language fields are distinct.","2026-09-01"
"SR_WORLD_BANK_EDU_2023","World Bank","Suriname Systematic Country Diagnostic","2023","authoritative country diagnostic","Suriname","https://documents1.worldbank.org/curated/en/099062923162588381/pdf/BOSIB1913074e817f3914e6f18d7313e018d2993a1.pdf","p. 48: Dutch curriculum/multilingual mismatch, Grade 6 endpoints and dropout","National multilingual context and endpoints, not Sranan-specific and not causal.","2026-09-01"
"UCL_CONTEMP_HASIDIC_YIDDISH","University College London","Contemporary Hasidic Yiddish research project","current project page accessed 2026-09-01","university research program description and estimate","New York, London, Antwerp, Jerusalem and Bnei Brak","https://www.ucl.ac.uk/arts-humanities/hebrew-jewish/research/research-projects/contemporary-hasidic-yiddish","approximately 700,000 everyday users and distinction from prewar/Standard Yiddish","Source-stated global approximation, not a census or territory split. Contemporary Hasidic Yiddish is distinguished from Eastern benchmark and Standard Yiddish.","2026-09-01"
"UCL_YIDDISH_REGISTER","University College London / peer-reviewed author manuscript","Non-vernacular language in action in Hasidic education","2023","peer-reviewed linguistic/education study","Contemporary Hasidic education","https://discovery.ucl.ac.uk/id/eprint/10172417/2/Kahn_Non-vernacular%20language%20in%20action%20LAST%20PROOFS.pdf","p. 13: Hebrew alphabet, sacred Hebrew and vernacular Yiddish learning sequence","Direct same-script/register mismatch mechanism, not a population prevalence or learning causal estimate.","2026-09-01"
"UD_YIDDISH_YITB","Universal Dependencies","UD Yiddish YiTB treebank","current repository snapshot accessed 2026-09-01","open mixed-source linguistic corpus","generic/mixed-source Yiddish","https://github.com/UniversalDependencies/UD_Yiddish-YiTB","README and data provenance","Generic/mixed-source corpus, not exact Contemporary Hasidic or territorial variety coverage.","2026-09-01"
"UNESCO_ERCE_READING_2019","UNESCO / LLECE","ERCE 2019 regional results: reading minimum proficiency","2019","intergovernmental representative learner assessment","16 Latin American countries","https://unesdoc.unesco.org/in/rest/annotationSVC/DownloadWatermarkedAttachment/attach_import_467d448e-d64b-4f4d-b86f-f65db90b6b9b?_=380257spa.pdf","Annex p. 43: country percentage reaching minimum reading level, Grade 3 Level II+ and Grade 6 Level III+","National curriculum-reading endpoints, not census literacy, exact named-standard proficiency or minority-language causal evidence.","2026-09-01"
"UNHCR_UKRAINE_EDUCATION_2024","UNHCR","Refugee Education Report 2024","2024","intergovernmental education report","Europe / displaced children from Ukraine","https://www.unhcr.org/sites/default/files/2024-09/refugee-education-report-2024.pdf","Ukraine refugee learner enrolment and out-of-school estimates","Enrolled, child-population and out-of-school estimates are distinct constructs and are not combined into a range.","2026-09-01"
"UNHCR_UKRAINE_SEIS_2025","UNHCR","New data insights on Ukrainian refugee students","2025","intergovernmental survey release","ten European host countries","https://www.unhcr.org/europe/news/announcements/new-data-insights-reveal-both-progress-and-challenges-ukrainian-refugee-students","enrolment, modality, dual-study burden and host-language results","Ten-country survey results are not an EU-total census. They directly evidence delivery modes and host-language association with enrolment, not language-specific causal effects.","2026-09-01"
"US_NCES_EL_ACGR_2021_22","U.S. National Center for Education Statistics","Digest Table 219.46: adjusted cohort graduation rate by EL status","2021/22","official public-high-school administrative outcome","United States","https://nces.ed.gov/programs/digest/d23/tables/dt23_219.46.asp","U.S. row: EL ACGR 72%; all students 87%","EL-status completion, not Spanish-specific; states identify EL at different points and two state totals were imputed.","2026-09-01"
"US_NCES_EL_READING_2022","U.S. National Center for Education Statistics","Reading performance: NAEP English learner results","2022","official nationally representative assessment","United States assessed students","https://nces.ed.gov/programs/coe/indicator/cnb/reading-performance?tid=4","Grade 4 EL 190 versus non-EL 222; Grade 8 EL 225 versus non-EL 264","EL status, not Spanish-specific. Grade scales differ and results cover assessed students, including accommodations but excluding pupils unable to test even with accommodations.","2026-09-01"
"US_NCES_HSB_SPANISH_READING_2022","U.S. National Center for Education Statistics","Digest Table 221.82: ninth-grade reading quintiles by first/primary language","fall 2022","official nationally representative longitudinal-study assessment","United States ninth graders","https://nces.ed.gov/programs/digest/d23/tables/dt23_221.82.asp","Spanish-primary monolingual reading quintiles 32.9/23.7/22.8/12.6/8.1","Spanish-first/primary monolingual subgroup, not EL status or all Spanish speakers; HS&B study reading assessment is not NAEP.","2026-09-01"
"US_NCES_SPANISH_EL_2021","U.S. National Center for Education Statistics","Digest Table 204.27: English learners by home language","fall 2021 / school year 2021–22","official public-school administrative table","United States public elementary and secondary schools, 50 states and DC","https://nces.ed.gov/programs/digest/d23/tables/dt23_204.27.asp","Spanish, Castilian row: 4,023,289 current ELs; 76.4% of ELs; 8.4% of total enrolment","Current English learners with Spanish/Castilian reported as home language; not all U.S. Spanish speakers, not Hispanic ethnicity and not program participation.","2026-09-01"
"US_OPENSCIED_SPANISH","OpenSciEd","Spanish translations and licensing of OpenSciEd materials","current pages accessed 2026-09-01","official curriculum provider language/licence statement","United States middle/high-school science","https://openscied.org/knowledge/what-languages-are-the-openscied-materials-translated-into/","all middle/high student readings, handouts and assessments translated into Spanish; unit-level CC BY/CC BY-NC licensing described on linked official pages","Direct functional and adaptable Spanish science supply. Spanish releases can lag English; licence varies by grade/version and should be confirmed per unit.","2026-09-01"
"US_OPENUP_MATH_SPANISH","Open Up Resources","Open Up Resources 6–8 Math in Spanish and licensing FAQ","current portal accessed 2026-09-01","official full-curriculum portal and licence statement","United States Grades 6–8 mathematics","https://access.openupresources.org/curricula/our6-8math-v3/es","Spanish teacher/family/student materials; edition-level CC BY or CC BY-NC terms","Direct functional/open academic Spanish supply; assessments, branding and some reproduced content are excluded and edition identification matters.","2026-09-01"
"VALENCIA_AVL_STANDARD","Acadèmia Valenciana de la Llengua","Valencian grammatical norm: general considerations","current normative page accessed 2026-09-01","official language-academy norm","Valencian Community, Spain","https://www.avl.gva.es/gnv/buscador.jsp?gramatica=GNV&index=majuscules_consideracions_generals","shared language system and distinct territorial normative features","Defines the territorial standard relationship; does not provide person, education or resource counts.","2026-09-01"
"VALENCIA_BASE_LANGUAGE_CHOICE_2025","Generalitat Valenciana","Base-language choice process for 2025/26","2025/26","official education administrative release","Valencian Community","https://comunica.gva.es/es/detalle?id=390097430&site=373430869","570,000 eligible families and base-language-choice construct","Eligible families/choice process, not exclusive medium, learner count, outcome or implemented exposure.","2026-09-01"
