proxy_position,row_id,reach_position,reach_row_id,language_code,iso639_3,language_name,script_code,edition_profile,plausibly_helped_low,plausibly_helped_point,plausibly_helped_high,compute_profile,compute_binding,compute_scenario_low,compute_scenario_point,compute_scenario_high,compute_unit,conditional_reach_per_million_fecu_low,conditional_reach_per_million_fecu_point,conditional_reach_per_million_fecu_high,physical_compute_status,allocation_status
57,COMMON100K:awa-Deva,59,CLDR48-EDITION:awa-Deva,awa,awa,Awadhi,Deva,"Awadhi, Devanagari-script profile",19220714,24595290,27183581,awa_Deva,DIRECT_ISO6393_SCRIPT_PROFILE,832378.068152,1556174.637586,3500875.921305,fresh_equivalent_token_events,5490258.561587414,15804967.775437592,32657733.354690008,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
58,COMMON100K:nan-Hans,60,CLDR48-EDITION:nan-Hans,nan,nan,Min Nan Chinese,Hans,"Min Nan Chinese, Simplified-script profile",18833332,24099586,26635712,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,4656703.246397602,15302819.282303285,34555721.387056895,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
59,COMMON100K:mg-Latn,61,CLDR48-EDITION:mg-Latn,mg,mlg,Malagasy,Latn,"Malagasy, Latin-script profile",18555201,23743683,26242356,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,4587932.965566584,15076827.047788154,34045402.7463565,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
60,COMMON100K:my-Mymr,46,CLDR48-EDITION:my-Mymr,my,mya,Burmese,Mymr,"Burmese, Myanmar-script profile",26020126,33295981,36799892,mya_Mymr,DIRECT_ISO6393_SCRIPT_PROFILE,1277664.469308,2238093.701555,4527655.426425,fresh_equivalent_token_events,5746931.59027459,14876937.894452926,28802469.571632765,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
61,COMMON100K:gan-Hans,63,CLDR48-EDITION:gan-Hans,gan,gan,Gan Chinese,Hans,"Gan Chinese, Simplified-script profile",16850876,21562788,23831953,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,4166523.9573031184,13691996.534156973,30918277.235368617,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
62,COMMON100K:uk-Cyrl,62,CLDR48-EDITION:uk-Cyrl,uk,ukr,Ukrainian,Cyrl,"Ukrainian, Cyrillic-script profile",16856410,21569869,23839779,ukr_Cyrl,DIRECT_ISO6393_SCRIPT_PROFILE,853059.809702,1576516.665259,3484223.008905,fresh_equivalent_token_events,4837925.114700832,13681979.693158757,27946198.76457193,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
63,COMMON100K:bar-Latn,64,CLDR48-EDITION:bar-Latn,bar,bar,Bavarian,Latn,"Bavarian, Latin-script profile",15973880,20440562,22591630,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,3949679.156803785,12979402.480802607,29309149.75952121,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
64,COMMON100K:az-Arab,65,CLDR48-EDITION:az-Arab,az,aze,Azerbaijani,Arab,"Azerbaijani, Arabic-script profile",15761994,20169428,22291963,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,3897288.521728366,12807237.091600984,28920378.122371238,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
65,COMMON100K:ne-Deva,66,CLDR48-EDITION:ne-Deva,ne,nep,Nepali,Deva,"Nepali, Devanagari-script profile",15214750,19469161,21518003,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,3761977.738093712,12362579.687512768,27916284.590922683,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
66,COMMON100K:ro-Latn,68,CLDR48-EDITION:ro-Latn,ro,ron,Romanian,Latn,"Romanian, Latin-script profile",14030455,17953709,19843072,ron_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,828368.930258,1521911.63292,3390579.864345,fresh_equivalent_token_events,4138069.4634398287,11796814.356135318,23954389.493845172,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
67,COMMON100K:mai-Deva,67,CLDR48-EDITION:mai-Deva,mai,mai,Maithili,Deva,"Maithili, Devanagari-script profile",14233117,18213040,20129694,mai_Deva,DIRECT_ISO6393_SCRIPT_PROFILE,845458.68547,1580675.557491,3504505.793385,fresh_equivalent_token_events,4061376.3649259773,11522313.933233386,23809198.895165026,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
68,COMMON100K:ny-Latn,69,CLDR48-EDITION:ny-Latn,ny,nya,Nyanja,Latn,"Nyanja, Latin-script profile",13198984,16889739,18667135,nya_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,805625.432678,1512480.170902,3387244.904265,fresh_equivalent_token_events,3896672.4795661196,11166915.986691872,23170985.228145175,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
69,COMMON100K:so-Latn,70,CLDR48-EDITION:so-Latn,so,som,Somali,Latn,"Somali, Latin-script profile",13041438,16688139,18444320,som_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,844296.329862,1564422.816789,3461868.176025,fresh_equivalent_token_events,3767167.7074008323,10667281.773767939,21845789.621061977,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
70,COMMON100K:am-Ethi,41,CLDR48-EDITION:am-Ethi,am,amh,Amharic,Ethi,"Amharic, Ethiopic-script profile",27423882,35092262,38785205,amh_Ethi,DIRECT_ISO6393_SCRIPT_PROFILE,2052019.451088,3460825.325779,6541584.697785,fresh_equivalent_token_events,4192238.313338021,10139853.559960024,18900992.863121115,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
71,COMMON100K:mad-Latn,72,CLDR48-EDITION:mad-Latn,mad,mad,Madurese,Latn,"Madurese, Latin-script profile",12416884,15888945,17561022,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,3070181.3164522583,10089204.599674715,22782713.054713037,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
72,COMMON100K:mag-Deva,75,CLDR48-EDITION:mag-Deva,mag,mag,Magahi,Deva,"Magahi, Devanagari-script profile",11836692,15146517,16740464,mag_Deva,DIRECT_ISO6393_SCRIPT_PROFILE,851336.476228,1561186.189417,3461111.460345,fresh_equivalent_token_events,3419910.6661592834,9701928.637772683,19663745.73091435,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
73,COMMON100K:as-Beng,71,CLDR48-EDITION:as-Beng,as,asm,Assamese,Beng,"Assamese, Bangla-script profile",12823083,16408727,18135503,asm_Beng,DIRECT_ISO6393_SCRIPT_PROFILE,939051.987664,1691869.361938,3665232.307065,fresh_equivalent_token_events,3498573.057779334,9698578.016215246,19312565.479057398,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
74,COMMON100K:rkt-Beng,73,CLDR48-EDITION:rkt-Beng,rkt,rkt,Rangpuri,Beng,"Rangpuri, Bangla-script profile",11917195,15249530,16854318,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2946628.9153960263,9683187.160562111,21865873.79293101,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
75,COMMON100K:bgc-Deva,74,CLDR48-EDITION:bgc-Deva,bgc,bgc,Haryanvi,Deva,"Haryanvi, Devanagari-script profile",11836692,15146517,16740464,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2926723.8565649735,9617775.691554805,21718165.81715766,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
76,COMMON100K:mwr-Deva,76,CLDR48-EDITION:mwr-Deva,mwr,mwr,Marwari,Deva,"Marwari, Devanagari-script profile",11836692,15146517,16740464,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2926723.8565649735,9617775.691554805,21718165.81715766,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
77,COMMON100K:tts-Thai,77,CLDR48-EDITION:tts-Thai,tts,tts,Northeastern Thai,Thai,"Northeastern Thai, Thai-script profile",11746728,15031397,16613230,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2904479.4841480847,9544676.487453176,21553099.35845136,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
78,COMMON100K:fuv-Latn,78,CLDR48-EDITION:fuv-Latn,fuv,fuv,Nigerian Fulfulde,Latn,"Nigerian Fulfulde, Latin-script profile",11103434,14208223,15703429,fuv_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,799057.251834,1507137.995855,3398398.038345,fresh_equivalent_token_events,3267255.299325475,9427287.374531135,19652445.38355345,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
79,COMMON100K:hne-Deva,79,CLDR48-EDITION:hne-Deva,hne,hne,Chhattisgarhi,Deva,"Chhattisgarhi, Devanagari-script profile",10850301,13884307,15345426,hne_Deva,DIRECT_ISO6393_SCRIPT_PROFILE,846571.8793,1567154.808502,3464433.308505,fresh_equivalent_token_events,3131912.215877583,8859563.155264556,18126548.229653675,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
80,COMMON100K:sv-Latn,87,CLDR48-EDITION:sv-Latn,sv,swe,Swedish,Latn,"Swedish, Latin-script profile",9336864,11947676,13204993,swe_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,740975.689708,1390027.775914,3180794.738025,fresh_equivalent_token_events,2935387.1497528288,8595278.60307965,17821088.037589677,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
81,COMMON100K:zu-Latn,81,CLDR48-EDITION:zu-Latn,zu,zul,Zulu,Latn,"Zulu, Latin-script profile",10478364,13408367,14819400,zul_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,853435.710196,1563204.731107,3443751.512265,fresh_equivalent_token_events,3042717.792698186,8577486.19434175,17364401.117685333,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
82,COMMON100K:sn-Latn,84,CLDR48-EDITION:sn-Latn,sn,sna,Shona,Latn,"Shona, Latin-script profile",9724277,12443419,13752906,sna_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,842435.595538,1553877.676271,3464239.758825,fresh_equivalent_token_events,2807045.0306529244,8007978.485064379,16325172.00465284,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
83,COMMON100K:dcc-Arab,83,CLDR48-EDITION:dcc-Arab,dcc,dcc,Deccan,Arab,"Deccan, Arabic-script profile",9765271,12495876,13810883,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2414547.206391963,7934664.612166816,17917487.058624167,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
84,COMMON100K:cs-Latn,88,CLDR48-EDITION:cs-Latn,cs,ces,Czech,Latn,"Czech, Latin-script profile",9265241,11856026,13103697,ces_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,811705.673348,1505293.466135,3363419.354025,fresh_equivalent_token_events,2754708.8319249568,7876222.322575809,16143409.403499505,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
85,COMMON100K:kk-Cyrl,90,CLDR48-EDITION:kk-Cyrl,kk,kaz,Kazakh,Cyrl,"Kazakh, Cyrillic-script profile",9076892,11615010,12837319,kaz_Cyrl,DIRECT_ISO6393_SCRIPT_PROFILE,790304.15053,1500038.297546,3350232.482745,fresh_equivalent_token_events,2709331.978228234,7743142.304434274,16243517.121086782,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
86,COMMON100K:nan-Hant,86,CLDR48-EDITION:nan-Hant,nan,nan,Min Nan Chinese,Hant,"Min Nan Chinese, Traditional-script profile",9431216,12068411,13338433,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2331949.235784566,7663231.748361198,17304556.17210178,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
87,COMMON100K:wo-Latn,89,CLDR48-EDITION:wo-Latn,wo,wol,Wolof,Latn,"Wolof, Latin-script profile",9242243,11826597,13071172,wol_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,856391.993926,1568581.708548,3470411.919225,fresh_equivalent_token_events,2663154.4655551855,7539675.450472777,15263071.22521917,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
88,COMMON100K:ak-Latn,85,CLDR48-EDITION:ak-Latn,ak,aka,Akan,Latn,"Akan, Latin-script profile",9442824,12083266,13354852,aka_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,924289.699672,1733928.114212,3853793.543385,fresh_equivalent_token_events,2450267.222074861,6968723.732524144,14448772.938548593,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
89,COMMON100K:hu-Latn,91,CLDR48-EDITION:hu-Latn,hu,hun,Hungarian,Latn,"Hungarian, Latin-script profile",8619234,11029380,12190060,hun_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,870705.967044,1597485.137443,3521116.862265,fresh_equivalent_token_events,2447869.337246471,6904214.469033544,14000202.66472343,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
90,COMMON100K:rw-Latn,94,CLDR48-EDITION:rw-Latn,rw,kin,Kinyarwanda,Latn,"Kinyarwanda, Latin-script profile",8374390,10716072,11843781,kin_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,844114.741016,1559567.875731,3456983.951625,fresh_equivalent_token_events,2422455.5616069636,6871180.258811863,14031008.37422232,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
91,COMMON100K:nds-Latn,93,CLDR48-EDITION:nds-Latn,nds,nds,Low German,Latn,"Low German, Latin-script profile",8434479,10792963,11928763,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2085497.4436266725,6853344.381500409,15475727.126056664,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
92,COMMON100K:aeb-Arab,100,CLDR48-EDITION:aeb-Arab,aeb,aeb,Tunisian Arabic,Arab,"Tunisian Arabic, Arabic-script profile",7590744,9713299,10735481,aeb_Arab,DIRECT_ISO6393_SCRIPT_PROFILE,750641.988406,1423090.096568,3286436.004345,fresh_equivalent_token_events,2309719.0969074923,6825498.275495775,14301732.60464281,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
93,COMMON100K:qu-Latn,95,CLDR48-EDITION:qu-Latn,qu,que,Quechua,Latn,"Quechua, Latin-script profile",8359799,10697401,11823144,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,2067032.1716057165,6792664.168311043,15338702.790563788,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
94,COMMON100K:si-Sinh,82,CLDR48-EDITION:si-Sinh,si,sin,Sinhala,Sinh,"Sinhala, Sinhala-script profile",10463718,13389626,14798686,sin_Sinh,DIRECT_ISO6393_SCRIPT_PROFILE,1149547.834596,2018994.923151,4182796.612425,fresh_equivalent_token_events,2501608.12718398,6631827.473396076,12873484.299329648,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
95,COMMON100K:xh-Latn,99,CLDR48-EDITION:xh-Latn,xh,xho,Xhosa,Latn,"Xhosa, Latin-script profile",7631205,9765074,10792704,xho_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,822924.000996,1524156.390171,3397754.770905,fresh_equivalent_token_events,2245955.2011658014,6406871.409635612,13115067.718206532,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
96,COMMON100K:lua-Latn,97,CLDR48-EDITION:lua-Latn,lua,lua,Luba-Lulua,Latn,"Luba-Lulua, Latin-script profile",7755082,9923590,10967901,lua_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,829810.0188,1553112.022657,3514733.840505,fresh_equivalent_token_events,2206449.293721127,6389487.593446821,13217363.916455042,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
97,COMMON100K:ilo-Latn,96,CLDR48-EDITION:ilo-Latn,ilo,ilo,Iloko,Latn,"Iloko, Latin-script profile",7948214,10170727,11241046,ilo_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,883714.329396,1620524.354435,3549823.072185,fresh_equivalent_token_events,2239045.112495617,6276195.0921410555,12720226.01204511,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
98,COMMON100K:af-Latn,105,CLDR48-EDITION:af-Latn,af,afr,Afrikaans,Latn,"Afrikaans, Latin-script profile",6976316,8927062,9866503,afr_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,758173.186616,1426135.3103,3228689.409465,fresh_equivalent_token_events,2160726.881795666,6259617.81853793,13013521.414596256,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
99,COMMON100K:el-Grek,92,CLDR48-EDITION:el-Grek,el,ell,Greek,Grek,"Greek, Greek-script profile",8574581,10972241,12126908,ell_Grek,DIRECT_ISO6393_SCRIPT_PROFILE,982304.098626,1759490.508553,3779843.531385,fresh_equivalent_token_events,2268501.5738887284,6236033.07131423,12345370.458051167,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
100,COMMON100K:umb-Latn,101,CLDR48-EDITION:umb-Latn,umb,umb,Umbundu,Latn,"Umbundu, Latin-script profile",7552026,9663755,10680723,umb_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,858758.928988,1595101.16967,3530126.352585,fresh_equivalent_token_events,2139307.5617448906,6058396.28466906,12437393.824349102,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
