"profile_id","lane","region","target_profile","tag","script_or_orthography","likely_reader_cohort","local_status","sequence_state","g_id","g_src","g_use","g_audit","g_tech","g_harm","R","S","A","N","V","P","F","D","confidence","evidence_ids","decision_caveat"
"GAP-AF-WO-SN","regional_depth","West Africa","Wolof Senegalese profile","wo-Latn-SN","Latin standard; Wolofal/Ajami access separate","Wolof-first readers not comfortably served by French","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2-3","S4","A3","N4","V2","P4","F2","D2","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Latin-only delivery may exclude Ajami users"
"GAP-AF-FUC-SN","regional_depth","West Africa","Pulaar in Senegal","fuc-Latn-SN","Latin orthography; Ajami access separate","Pulaar-first readers in Senegal and cross-border communities","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R2","S4","A2-3","N4","V3","P4","F1-2","D3","low","MIR-E015;MIR-E016;MIR-E017;MIR-E042;MIR-E069","Fula is a macro-label; retain fuc and country/script profile exactly"
"GAP-AF-BM-ML","regional_depth","West Africa","Bambara national language profile in Mali","bm-Latn-ML","Latin orthography; N'Ko users require separate route","Bambara-first readers not comfortably served by French","missing","source-acquisition-first","pass","unknown","unknown","unknown","partial","partial","R2-3","S4","A2-3","N4","V2","P4","F1-2","D3","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Script and conflict/offline access require separate planning"
"GAP-AF-PLT-MG","regional_depth","Indian Ocean / Africa","Plateau Malagasy standard","plt-Latn-MG","Latin script; official Malagasy standard based largely on Plateau variety","Malagasy-first readers not comfortably served by French or English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3-4","S3-4","A3","N4","V2","P4","F2","D3","low","MIR-E003;MIR-E016;MIR-E017;MIR-E042;MIR-E069","National standard may flatten other Malagasy varieties; target audience must be bounded"
"GAP-AF-ZGH-MA","regional_depth","North Africa","Standard Moroccan Amazigh","zgh-Tfng-MA","Tifinagh; institutional grammar","Readers educated in Standard Moroccan Amazigh not comfortably served by Arabic or French","missing","evidence-ready","pass","partial","unknown","unknown","pass","partial","R2-3","S3-4","A3","N3-4","V3","P4","F3","D2","high","MIR-E018;MIR-E065;MIR-E066;MIR-E069","Strong standard route, but no pan-Amazigh coverage claim"
"GAP-AF-KAB-DZ","regional_depth","North Africa","Kabyle in Algeria","kab-Latn-DZ","Latin orthography; Tifinagh use separate","Kabyle-first readers not comfortably served by Arabic or French","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S3","A3-4","N3","V3","P4","F2-3","D2","medium","MIR-E018;MIR-E065;MIR-E069","Standard Moroccan Amazigh is not a source or overlap substitute"
"GAP-AF-SHI-MA","regional_depth","North Africa","Tachelhit in Morocco","shi-Tfng-MA","Tifinagh institutional profile; Latin/Arabic practices separate","Tachelhit-first readers not comfortably served by Arabic, French or zgh","missing","community-route-first","pass","partial","unknown","unknown","pass","partial","R2-3","S4","A2-3","N4","V3","P4","F2","D2","medium","MIR-E018;MIR-E065;MIR-E066;MIR-E069","Do not inherit zgh terminology without comprehension and community evidence"
"GAP-AF-RIF-MA","regional_depth","North Africa","Tarifit in Morocco","rif-Tfng-MA","Tifinagh profile; Latin/Arabic practices separate","Tarifit-first readers not comfortably served by Arabic, French or zgh","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R2","S4","A2-3","N4","V3","P4","F1-2","D3","medium","MIR-E018;MIR-E065;MIR-E066;MIR-E069","Exact script and community publishing route remain unsettled"
"GAP-AF-AAR-ET","endangered_prestige","Horn of Africa","Afar/Qafar in Ethiopia","aar-Latn-ET","Latin orthography; regional profiles require confirmation","Afar-first readers in Ethiopia and cross-border communities","researched_only","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2","S4","A2","N4","V3","P4","F1","D3","low","MIR-A017;MIR-E015;MIR-E016;MIR-E042;MIR-E069","Local evidence has context PDFs and video metadata but no connected admitted mathematical prose"
"GAP-AF-SID-ET","regional_depth","Horn of Africa","Sidama Afoo in Ethiopia","sid-Latn-ET","Latin orthography; authority route unverified","Sidama-first readers not comfortably served by Amharic or English","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R2","S4","A2-3","N4","V3","P4","F1","D3","low","MIR-A017;MIR-E015;MIR-E016;MIR-E042;MIR-E069","No admitted advanced source floor or independent model-comparison route exists locally"
"GAP-AF-PCM-NG","high_reach_underserved","West Africa","Nigerian Pidgin","pcm-Latn-NG","Latin orthography; formal mathematical register requires governance","Nigerian Pidgin-strong readers not comfortably served by Standard English","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R4","S4","A3","N2-3","V2","P4","F2","D3","low","MIR-E015;MIR-E016;MIR-E017;MIR-E042;MIR-E069","Large oral reach does not prove literacy or agreement on a formal register"
"GAP-AF-KRI-SL","regional_depth","West Africa","Krio in Sierra Leone","kri-Latn-SL","Latin orthography","Krio-first readers not comfortably served by English","researched_only","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2-3","S4","A3","N3","V2","P4","F2","D2","low","MIR-A011;MIR-E015;MIR-E016;MIR-E017;MIR-E042","English lexical relation does not establish comfortable advanced reading"
"GAP-AF-TWI-GH","regional_depth","West Africa","Twi exact educational profile","twi-Latn-GH","Latin orthography; Akuapem and Asante standard relation must be fixed","Twi-first readers not comfortably served by English","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R2-3","S3-4","A3","N3-4","V2","P4","F2","D3","low","MIR-E015;MIR-E016;MIR-E017;MIR-E042;MIR-E069","Do not use Akan as a fake single target; fix the exact Twi standard and cohort"
"GAP-AF-ZU-ZA","regional_depth","Southern Africa","Zulu South African educational standard","zu-Latn-ZA","Latin orthography","Zulu-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3-4","S2-3","A4","N2-3","V2","P3","F3","D1","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Existing educational material may lower scarcity; advanced-open audit needed"
"GAP-AF-XH-ZA","regional_depth","Southern Africa","Xhosa South African educational standard","xh-Latn-ZA","Latin orthography","Xhosa-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3","S2-3","A4","N2-3","V2","P3","F3","D1","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Do not assume Zulu mutual intelligibility or English schooling eliminates need"
"GAP-AF-NY-MW","regional_depth","Southern Africa","Chichewa national standard in Malawi","ny-Latn-MW","Latin orthography","Chichewa-first readers not comfortably served by English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","pass","R2-3","S3-4","A3-4","N4","V2","P4","F2","D2","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Country and cross-border Nyanja/Chichewa profiles require explicit separation"
"GAP-AF-SN-ZW","regional_depth","Southern Africa","Shona national standard in Zimbabwe","sn-Latn-ZW","Latin orthography","Shona-first readers not comfortably served by English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R3","S3-4","A3-4","N3-4","V2","P4","F2","D2","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Exact advanced-source, terminology and model-check evidence remains sparse"
"GAP-CR-HT-HT","regional_depth","Caribbean","Haitian Creole national educational standard","ht-Latn-HT","Official Haitian Creole orthography","Haitian Creole-first readers not comfortably served by French","partially_covered","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3-4","S3-4","A4","N4","V2","P4","F3","D1","high","MIR-A011;MIR-A016;MIR-E027;MIR-E042;MIR-E043","Local sufficient rows are elementary/classroom only; they are not advanced-math authority or a translation"
"GAP-CR-MFE-MU","regional_depth","Indian Ocean","Kreol Morisien educational standard","mfe-Latn-MU","Standardized Latin orthography","Kreol Morisien-first readers not comfortably served by English or French","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R2","S3-4","A4","N3","V2","P4","F3","D1","high","MIR-A011;MIR-E028;MIR-E042;MIR-E043","Established curriculum improves feasibility but does not prove advanced open material"
"GAP-CR-CRS-SC","endangered_prestige","Indian Ocean","Seychellois Creole","crs-Latn-SC","Latin orthography; national register","Seychellois Creole-first readers not comfortably served by English or French","researched_only","source-acquisition-first","pass","unknown","unknown","unknown","pass","pass","R1","S4","A3-4","N3","V2","P4","F2","D1","low","MIR-A011;MIR-E001;MIR-E042;MIR-E043","Small reader band belongs in the prestige lane, not a population-weighted global rank"
"GAP-CR-KEA-CV","regional_depth","Atlantic / West Africa","Kabuverdianu exact island standard unresolved","kea-Latn-CV","ALUPEC and island varieties require target resolution","Kabuverdianu-first readers not comfortably served by Portuguese","researched_only","hold-flattening-risk","partial","partial","unknown","unknown","pass","veto","R2","S3-4","A2-3","N3-4","V2","P4","F2","D4","medium","MIR-E029;MIR-E042;MIR-E069","A national label cannot flatten Santiago, São Vicente and other island profiles; resolve the target first"
"GAP-CR-PAP-AW","regional_depth","Caribbean","Aruba Papiamento","pap-Latn-AW","Aruban etymological orthography","Papiamento-first readers in Aruba not comfortably served by Dutch, English or Spanish","researched_only","evidence-ready","pass","partial","unknown","unknown","pass","pass","R1-2","S3","A4","N3","V2","P4","F3","D1","high","MIR-A011;MIR-E030;MIR-E031;MIR-E042;MIR-E069","Keep separate from Curaçao/Bonaire Papiamentu orthography"
"GAP-CR-PAP-CW","regional_depth","Caribbean","Curaçao Papiamentu","pap-Latn-CW","Curaçao phonological orthography","Papiamentu-first readers in Curaçao not comfortably served by Dutch, English or Spanish","researched_only","source-acquisition-first","pass","unknown","unknown","unknown","pass","pass","R1-2","S3","A4","N3","V2","P4","F2-3","D1","medium","MIR-A011;MIR-E030;MIR-E031;MIR-E042;MIR-E069","Same ISO language does not permit merging the Aruban and Curaçao orthographic editions"
"GAP-CR-JAM-JM","regional_depth","Caribbean / diaspora","Jamaican Creole","jam-Latn-JM","Cassidy/JLU orthographic route requires adoption audit","Jamaican Creole-first readers not comfortably served by Standard English","researched_only","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R2-3","S4","A2-3","N2-3","V2","P4","F2","D3","low","MIR-A011;MIR-E042;MIR-E069","Large oral use and English lexical overlap do not establish written-register acceptance"
"GAP-CR-SRN-SR","regional_depth","Caribbean / Guianas","Sranan Tongo","srn-Latn-SR","Latin orthography; Surinamese standard route","Sranan-first or Sranan-strong readers not comfortably served by Dutch","researched_only","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2","S4","A3","N3","V2","P4","F2","D2","low","MIR-A011;MIR-E001;MIR-E042;MIR-E069","Separate from Saramaccan, Ndyuka and other Surinamese creoles"
"GAP-CR-BIS-VU","endangered_prestige","Pacific","Bislama national standard","bi-Latn-VU","Latin orthography; national register","Bislama-first or Bislama-strong readers not comfortably served by English or French","partially_covered","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1-2","S3-4","A4","N3","V2","P4","F3","D1","high","MIR-A011;MIR-A016;MIR-E032;MIR-E033;MIR-E042","Two local sufficient rows are elementary only and do not establish advanced-math coverage"
"GAP-CR-TPI-PG","regional_depth","Pacific","Tok Pisin national standard","tpi-Latn-PG","Latin orthography; PNG educational/public register","Tok Pisin-strong readers not comfortably served by English","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3-4","S3-4","A3-4","N3","V2","P4","F2-3","D2","medium","MIR-A011;MIR-E032;MIR-E033;MIR-E042","Cross-community bridge value is plausible but first-language and literacy cohorts must be separated"
"GAP-AM-GUG-PY","regional_depth","South America","Paraguayan Guarani","gug-Latn-PY","Guarani Academy orthography","Guarani-dominant and Guarani-first readers not comfortably served by Spanish","missing","evidence-ready","pass","partial","unknown","unknown","pass","pass","R3-4","S3","A4","N2-3","V2","P4","F3","D1","high","MIR-E025;MIR-E026;MIR-E042;MIR-E069","Widespread bilingualism lowers non-overlap but does not eliminate a distinct Guarani-first cohort"
"GAP-AM-QUY-PE","regional_depth","Andean South America","Ayacucho Quechua / Chanka","quy-Latn-PE","Peruvian standardized Latin orthography for the exact variety","Ayacucho Quechua-first readers not comfortably served by Spanish","researched_only","evidence-ready","pass","partial","unknown","unknown","pass","pass","R2-3","S3-4","A3-4","N4","V3","P4","F3","D1","high","MIR-A012;MIR-E019;MIR-E042;MIR-E069","Do not label as generic Quechua; official school mathematics materials are a source route, not advanced coverage"
"GAP-AM-QUZ-PE","regional_depth","Andean South America","Cusco Quechua","quz-Latn-PE","Peruvian standardized Latin orthography for Cusco variety","Cusco Quechua-first readers not comfortably served by Spanish","researched_only","evidence-ready","pass","partial","unknown","unknown","pass","pass","R2","S3-4","A3-4","N4","V3","P4","F3","D1","high","MIR-E019;MIR-E042;MIR-E069","Keep separate from Ayacucho, Central and Bolivian Quechua languages"
"GAP-AM-QUH-BO","regional_depth","Andean South America","South Bolivian Quechua","quh-Latn-BO","Bolivian standardized Latin orthography to verify against exact education authority","South Bolivian Quechua-first readers not comfortably served by Spanish","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2","S4","A3","N4","V3","P4","F2","D2","medium","MIR-A012;MIR-E068;MIR-E042;MIR-E069","Exact ISO identity is known; national orthography and advanced source route remain to be audited"
"GAP-AM-QVI-EC","endangered_prestige","Andean South America","Imbabura Highland Quichua","qvi-Latn-EC","Unified Kichwa orthography versus local usage must be audited","Imbabura Quichua-first readers not comfortably served by Spanish","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1-2","S4","A2-3","N4","V3","P4","F1-2","D3","low","MIR-A012;MIR-E042;MIR-E069","Kichwa is not a license to merge Ecuadorian varieties; community acceptance of the standard is a gate"
"GAP-AM-NCH-MX","regional_depth","Mesoamerica","Central Huasteca Nahuatl","nch-Latn-MX","Exact INALI locality/autonym and orthography must be reconciled","Central Huasteca Nahuatl readers not comfortably served by Spanish","researched_only","target-resolution-first","partial","partial","unknown","unknown","pass","partial","R2","S4","A2-3","N4","V3","P4","F2","D3","medium","MIR-A012;MIR-E020;MIR-E067;MIR-E069","ISO identity alone is insufficient; select the exact INALI variety and community-standard spelling"
"GAP-AM-QUC-GT","regional_depth","Mesoamerica","K'iche'","quc-Latn-GT","ALMG/educational Latin orthography to verify","K'iche'-first readers not comfortably served by Spanish","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S3-4","A3","N4","V3","P4","F2-3","D2","high","MIR-E021;MIR-E042;MIR-E069","Official census distinguishes K'iche'; exact community and education register still need review"
"GAP-AM-KEK-GT","regional_depth","Mesoamerica","Q'eqchi'","kek-Latn-GT","ALMG/educational Latin orthography to verify","Q'eqchi'-first readers not comfortably served by Spanish","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S3-4","A3","N4","V3","P4","F2-3","D2","high","MIR-E021;MIR-E042;MIR-E069","Keep separate from every other Maya language"
"GAP-AM-CAK-GT","regional_depth","Mesoamerica","Kaqchikel","cak-Latn-GT","ALMG/educational Latin orthography to verify","Kaqchikel-first readers not comfortably served by Spanish","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2","S3-4","A3","N4","V3","P4","F2","D2","high","MIR-E021;MIR-E042;MIR-E069","Maya is a family label, not a target"
"GAP-AM-MAM-GT","regional_depth","Mesoamerica","Mam","mam-Latn-GT","ALMG/educational Latin orthography; regional varieties to audit","Mam-first readers not comfortably served by Spanish","researched_only","target-resolution-first","partial","partial","unknown","unknown","pass","partial","R2","S4","A2-3","N4","V3","P4","F2","D3","high","MIR-E021;MIR-E042;MIR-E069","Census identity is clear, but regional variety selection remains a gate"
"GAP-AM-USP-GT","endangered_prestige","Mesoamerica","Uspanteko","usp-Latn-GT","Community/ALMG orthography to verify","Uspanteko-first community readers","researched_only","community-route-first","pass","partial","unknown","unknown","pass","partial","R1","S4","A2","N4","V4","P4","F1-2","D2","medium","MIR-A012;MIR-E021;MIR-E042;MIR-E069","Small exact community belongs in a community-governed prestige lane"
"GAP-AM-YUA-MX","regional_depth","Mesoamerica","Yucatec Maya","yua-Latn-MX","INALI/community orthography to verify","Yucatec Maya-first readers not comfortably served by Spanish","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2","S3-4","A3","N4","V3","P4","F2-3","D2","medium","MIR-E020;MIR-E042;MIR-E069","Do not use generic Maya; exact locality and autonym belong in the future source audit"
"GAP-AM-AYR-BO","regional_depth","Andean South America","Southern Aymara","ayr-Latn-BO","Standardized Latin orthography; national profile to verify","Southern Aymara-first readers not comfortably served by Spanish","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S3-4","A3","N4","V3","P4","F2-3","D2","medium","MIR-A012;MIR-E019;MIR-E042;MIR-E069","Do not collapse Northern/Central and Southern Aymara without evidence"
"GAP-AM-ARN-CL","regional_depth","Southern Cone","Mapudungun exact Chilean profile","arn-Latn-CL","Competing orthographies require community resolution","Mapuche readers not comfortably served by Spanish","researched_only","hold-flattening-risk","partial","unknown","unknown","unknown","pass","veto","R2","S4","A2","N4","V4","P4","F1-2","D4","low","MIR-E001;MIR-E042;MIR-E069","No orthography may be selected by convenience; community governance is mandatory"
"GAP-AM-GUC-CO","regional_depth","Northern South America / Caribbean","Wayuu","guc-Latn-CO","Wayuunaiki Latin orthography; Colombia/Venezuela profile","Wayuu readers not comfortably served by Spanish","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R2","S4","A2-3","N4","V3","P4","F1-2","D2","low","MIR-E001;MIR-E042;MIR-E069","Cross-border community route and offline access are prerequisites"
"GAP-AM-SHP-PE","endangered_prestige","Amazonia","Shipibo-Konibo","shp-Latn-PE","Peruvian educational orthography","Shipibo-Konibo readers not comfortably served by Spanish","researched_only","community-route-first","pass","partial","unknown","unknown","pass","partial","R1-2","S4","A2-3","N4","V4","P4","F2","D2","medium","MIR-E019;MIR-E042;MIR-E046;MIR-E069","AI shared-task presence is feasibility evidence only, never authority"
"GAP-AM-CNI-PE","endangered_prestige","Amazonia","Asháninka","cni-Latn-PE","Peruvian educational orthography; exact regional community profile","Asháninka readers not comfortably served by Spanish","researched_only","community-route-first","pass","partial","unknown","unknown","pass","partial","R1-2","S4","A2-3","N4","V4","P4","F2","D3","medium","MIR-E019;MIR-E042;MIR-E046;MIR-E069","Exact community and dialect profile must precede terminology work"
"GAP-AM-TCA-PEBRCO","endangered_prestige","Amazonia","Tikuna","tca-Latn","Country and community orthographies across Brazil, Colombia and Peru require resolution","Tikuna readers not comfortably served by Portuguese or Spanish","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N4","V4","P4","F1","D3","low","MIR-E001;MIR-E019;MIR-E042;MIR-E069","Do not create a cross-border standard without community evidence"
"GAP-AM-YRL-BR","endangered_prestige","Amazonia","Nheengatu","yrl-Latn-BR","Brazilian educational/community orthography","Nheengatu readers not comfortably served by Portuguese","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1-2","S4","A2-3","N4","V4","P4","F1-2","D2","low","MIR-E001;MIR-E042;MIR-E046;MIR-E069","AI support is a locator only; Indigenous authority and source floor are missing"
"GAP-AM-NAV-US","regional_depth","North America","Navajo","nv-Latn-US","Standard Navajo orthography; community education register","Navajo-first and Navajo-strong readers not comfortably served by English","missing","community-route-first","pass","partial","unknown","unknown","pass","partial","R2","S3-4","A2-3","N3-4","V4","P4","F2-3","D2","low","MIR-E001;MIR-E042;MIR-E069","Community governance and the actual literate cohort are more important than headline speaker totals"
"GAP-AM-MOH-CAUS","endangered_prestige","North America","Mohawk","moh-Latn","Community-specific orthographies across Canada and the United States","Mohawk learners and first-language community readers","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N4","V4","P4","F1-2","D3","low","MIR-E001;MIR-E022;MIR-E023;MIR-E042;MIR-E069","A prestige-domain edition requires a named community partner and exact orthography"
"GAP-AM-CRK-CA","endangered_prestige","Canada","Plains Cree","crk-Cans-CA","Canadian Aboriginal syllabics; Latin parallel profile may be separate","Plains Cree community readers","researched_only","community-route-first","pass","partial","unknown","unknown","pass","partial","R1-2","S4","A2","N4","V4","P4","F2","D2","medium","MIR-A012;MIR-E022;MIR-E023;MIR-E042;MIR-E069","Cree is not one language; keep script arms within the exact Plains Cree cohort"
"GAP-AM-CSW-CA","endangered_prestige","Canada","Swampy Cree","csw-Cans-CA","Canadian Aboriginal syllabics; community orthography","Swampy Cree community readers","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N4","V4","P4","F1-2","D2","medium","MIR-A012;MIR-E022;MIR-E023;MIR-E042;MIR-E069","No coverage credit from Plains Cree"
"GAP-AM-CWD-CA","endangered_prestige","Canada","Woods Cree","cwd-Cans-CA","Canadian Aboriginal syllabics; community orthography","Woods Cree community readers","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N4","V4","P4","F1-2","D2","medium","MIR-A012;MIR-E022;MIR-E023;MIR-E042;MIR-E069","No coverage credit from other Cree languages"
"GAP-AM-OJC-CA","endangered_prestige","Canada","Central Ojibwe","ojc-Latn-CA","Double-vowel and community spellings require exact route","Central Ojibwe community readers","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N4","V4","P4","F1-2","D3","medium","MIR-A012;MIR-E022;MIR-E023;MIR-E042;MIR-E069","Ojibwe is not one target; orthography and community must be named"
"GAP-AM-OJW-CA","endangered_prestige","Canada","Western Ojibwe / Saulteaux","ojw-Latn-CA","Community spellings and syllabic use require exact route","Western Ojibwe community readers","researched_only","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N4","V4","P4","F1-2","D3","medium","MIR-A012;MIR-E022;MIR-E023;MIR-E042;MIR-E069","No coverage credit from Central Ojibwe"
"GAP-AM-IKE-CA","endangered_prestige","Arctic Canada","Eastern Canadian Inuktitut","ike-Cans-CA","Canadian Aboriginal syllabics; exact regional standard","Inuktitut readers using syllabics","researched_only","community-route-first","pass","partial","unknown","unknown","pass","partial","R1","S3-4","A2-3","N4","V4","P4","F2","D2","high","MIR-A012;MIR-E022;MIR-E023;MIR-E024;MIR-E042;MIR-E069","Qaliujaaqpait is an orthographic bridge, not replacement coverage"
"GAP-AM-IKT-CA","endangered_prestige","Arctic Canada","Inuinnaqtun","ikt-Latn-CA","Regional Roman orthography; Qaliujaaqpait relation to audit","Inuinnaqtun community readers","researched_only","community-route-first","pass","partial","unknown","unknown","pass","partial","R1","S4","A2","N4","V4","P4","F1-2","D2","high","MIR-A012;MIR-E022;MIR-E023;MIR-E024;MIR-E042;MIR-E069","Do not collapse into Inuktitut or generic Inuktut"
"GAP-AM-KL-GL","endangered_prestige","Arctic / Greenland","Kalaallisut national standard","kl-Latn-GL","Greenlandic standard Latin orthography","Kalaallisut-first readers not comfortably served by Danish or English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1-2","S3","A4","N3-4","V3","P4","F3","D1","low","MIR-E001;MIR-E042;MIR-E043;MIR-E069","National standard maturity is high, but advanced-open scarcity and reader overlap need direct audit"
"GAP-AM-ESU-US","endangered_prestige","Arctic Alaska","Central Alaskan Yup'ik","esu-Latn-US","Standard Latin orthography; community education register","Central Alaskan Yup'ik community readers","missing","community-route-first","pass","partial","unknown","unknown","pass","partial","R1","S4","A2","N4","V4","P4","F2","D2","low","MIR-E001;MIR-E042;MIR-E069","Confirm the exact community education profile and assemble target-language source and model-check routes"
"GAP-PC-FJ-FJ","regional_depth","Pacific","Fijian national standard","fj-Latn-FJ","Latin orthography; Fijian educational register","Fijian-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R2","S3","A4","N2-3","V2","P4","F3","D1","medium","MIR-E032;MIR-E033;MIR-E042;MIR-E043","English overlap and exact advanced-material scarcity need audit"
"GAP-PC-HIF-FJ","regional_depth","Pacific diaspora","Fiji Hindi","hif-Latn-FJ","Latin orthography; Devanagari use and register to audit","Fiji Hindi-first readers not comfortably served by English, Fijian or Standard Hindi","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R2","S4","A2-3","N3","V3","P4","F1-2","D3","low","MIR-E032;MIR-E033;MIR-E042;MIR-E069","Standard Hindi does not automatically cover Fiji Hindi; script and written register are gates"
"GAP-PC-SM-WS","regional_depth","Pacific","Samoan national standard","sm-Latn-WS","Latin orthography; Samoan educational register","Samoan-first readers in Samoa and diaspora not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R2","S3","A4","N2-3","V2","P4","F3","D1","medium","MIR-E032;MIR-E033;MIR-E042;MIR-E043","Diaspora English overlap must be separated from Samoa-based cohorts"
"GAP-PC-TO-TO","endangered_prestige","Pacific","Tongan national standard","to-Latn-TO","Latin orthography; Tongan educational register","Tongan-first readers in Tonga and diaspora","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1-2","S3-4","A4","N2-3","V2","P4","F3","D1","medium","MIR-E032;MIR-E033;MIR-E042;MIR-E043","Small absolute band but strong prestige-domain and national-language value"
"GAP-PC-GIL-KI","endangered_prestige","Pacific","Gilbertese / Kiribati","gil-Latn-KI","Latin orthography; Kiribati educational register","Gilbertese-first readers not comfortably served by English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","pass","R1-2","S4","A3","N4","V3","P4","F2","D1","low","MIR-E032;MIR-E033;MIR-E042;MIR-E043","Climate-displacement and offline access may raise practical value; exact source floor is unknown"
"GAP-PC-MH-MH","endangered_prestige","Pacific","Marshallese","mh-Latn-MH","Marshallese orthography; competing spelling conventions to audit","Marshallese-first readers in the Marshall Islands and diaspora","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R1","S4","A2-3","N4","V4","P4","F1-2","D3","low","MIR-E032;MIR-E033;MIR-E042;MIR-E069","Orthographic history and diaspora baselines require community resolution"
"GAP-PC-PIS-SB","endangered_prestige","Pacific","Solomon Islands Pijin","pis-Latn-SB","Latin orthography; formal register requires audit","Pijin-strong readers not comfortably served by English","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R1-2","S4","A2-3","N3","V2","P4","F1-2","D3","low","MIR-E032;MIR-E033;MIR-E042;MIR-E069","Large oral bridge role does not establish a settled advanced written register"
"GAP-PC-MI-NZ","endangered_prestige","Pacific","Māori national standard","mi-Latn-NZ","Standard Māori orthography","Māori-first, immersion-school and revitalization cohorts","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1-2","S2-3","A4","N1-2","V3","P4","F4","D1","high","MIR-E032;MIR-E033;MIR-E034;MIR-E042;MIR-E043","High English overlap lowers raw access priority but not revitalization or prestige-domain value"
"GAP-PC-HAW-US","endangered_prestige","Pacific","Hawaiian","haw-Latn-US","Modern Hawaiian orthography with ʻokina and kahakō","Hawaiian-medium education and revitalization cohorts","missing","community-route-first","pass","partial","unknown","unknown","pass","pass","R1","S3-4","A4","N1-2","V4","P4","F3","D1","low","MIR-E001;MIR-E042;MIR-E043;MIR-E069","English overlap is high; recommendation is prestige/revitalization, not high marginal reader count"
"GAP-PC-CHA-GU","endangered_prestige","Micronesia / diaspora","Chamorro","ch-Latn-GU","Latin orthography; Guam/Northern Mariana profile to separate","Chamorro community and immersion readers","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A2-3","N3","V4","P4","F2","D2","low","MIR-E001;MIR-E032;MIR-E033;MIR-E042;MIR-E069","Territorial profiles and English overlap require separate audits"
"GAP-PC-PAU-PW","endangered_prestige","Micronesia","Palauan","pau-Latn-PW","Latin orthography; national register","Palauan-first readers not comfortably served by English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","pass","R1","S4","A3","N3-4","V3","P4","F2","D1","low","MIR-E001;MIR-E032;MIR-E033;MIR-E042","Exact advanced-source, terminology and model-check evidence is absent"
