source_id,title,authority,reference_date_or_year,source_type,territory,measure_definition,url,source_locator,local_witness_path,local_witness_sha256,local_witness_bytes,pdf_pages,accessed_date,source_tier,confidence,limitations,provenance_table
AFG-S001,Afrobarometer Round 9 Nigeria release dataset (fieldwork 2022),Afrobarometer,2022,authoritative primary probability-survey microdata,Nigeria,Weighted share of valid adult respondents by Q2 primary language spoken in the home,https://www.afrobarometer.org/wp-content/uploads/2023/06/afrobarometer_release-dataset_nig_r9_en_2023-04-01.sav,"SAV Q2; DATEINTR 2022-03-05 to 2022-04-01; withinwt_hh; valid Q2 n=1,600",private_local_witness_omitted; verify by registered URL and SHA-256,0F09326EECF7BBDD46C4A8589F9E909618B451C2368783E79AA42F59EA85DC90,1351590,,2026-08-25,2,medium,"Adult probability-sample share, not a census count. Q2 records one primary home language, not all languages spoken, literacy, or academic reading ability. Weighted point estimates have sampling and design uncertainty; no design-correct confidence interval is encoded.",ACE-A113
AFG-S002,Afrobarometer Round 9 Tanzania release dataset (fieldwork 2022),Afrobarometer,2022,authoritative primary probability-survey microdata,Tanzania,Weighted share of valid adult respondents by Q2 primary language spoken in the home,https://www.afrobarometer.org/wp-content/uploads/2024/02/TAN_R9.data_.final_.wtd_release.30May23.sav,"SAV Q2; DATEINTR 2022-10-06 to 2022-11-21; withinwt_hh; valid Q2 n=2,400",private_local_witness_omitted; verify by registered URL and SHA-256,DECE4811AB886DE0D83987EDE76898BCA84F3C5D8DB8DDE5A4F81E6E0ACE2840,1889899,,2026-08-25,2,medium,"Adult probability-sample share, not a census count. Q2 records one primary home language, not multilingual repertoire, literacy, or academic reading ability. No design-correct confidence interval is encoded.",ACE-A113
AFG-S003,Afrobarometer Round 9 Kenya release dataset (fieldwork 2021),Afrobarometer,2021,authoritative primary probability-survey microdata,Kenya,Weighted share of valid adult respondents by Q2 primary language spoken in the home,https://www.afrobarometer.org/wp-content/uploads/2023/06/afrobarometer_release-dataset_ken_r9_en_2023-03-01.sav,"SAV Q2; DATEINTR 2021-11-12 to 2021-11-30; withinwt_hh; valid Q2 n=2,400",private_local_witness_omitted; verify by registered URL and SHA-256,C22F58C4D486F617E05053830D80F3DD743E148DC04EFAB47159AC3BC423D55B,2308257,,2026-08-25,2,medium,"The file was released in 2023, but DATEINTR places fieldwork in 2021. Adult probability-sample share, not a census count. Several Q2 labels are language clusters or combined categories and are not single edition profiles. No design-correct confidence interval is encoded.",ACE-A113
AFG-S004,Afrobarometer Round 9 Madagascar release dataset (fieldwork 2022),Afrobarometer,2022,authoritative primary probability-survey microdata,Madagascar,Weighted share of valid adult respondents by Q2 primary language spoken in the home,https://www.afrobarometer.org/wp-content/uploads/2023/06/MAD_R9.data_.final_.wtd_release.14Feb23_updated.21Feb23.sav,"SAV Q2; DATEINTR 2022-04-26 to 2022-05-22; withinwt_hh; valid Q2 n=1,200",private_local_witness_omitted; verify by registered URL and SHA-256,F3992F24CB53F0C00B6B247B003DDC61A6A24E7F0417B34D9DD3F85430FDFA30,1042826,,2026-08-25,2,medium,"The regional-specific Malagasy response is an undifferentiated aggregate, not a named variety. Adult probability-sample share, not a census count or literacy measure. No design-correct confidence interval is encoded.",ACE-A113
AFG-S005,Afrobarometer Round 9 Côte d’Ivoire release dataset (fieldwork 2021),Afrobarometer,2021,authoritative primary probability-survey microdata,Côte d’Ivoire,Weighted share of valid adult respondents by Q2 primary language spoken in the home,https://www.afrobarometer.org/wp-content/uploads/2023/06/afrobarometer_release-dataset_cdi_r9_fr_2023-03-01.sav,"SAV Q2; DATEINTR 2021-11-30 to 2021-12-10; withinwt_hh; valid Q2 n=1,200",private_local_witness_omitted; verify by registered URL and SHA-256,1747CCC4238FD1B021CB66944BDEA3A6793C3DC3DF61DDAE6BC604FFF992C1AE,1038175,,2026-08-25,2,medium,"The file was released in 2023, but DATEINTR places fieldwork in 2021. Malinké / Dioula and Sénoufo are combined or aggregate source categories; neither supplies a Jula-only or single-Senufo-variety estimate. No design-correct confidence interval is encoded.",ACE-A113
AFG-S006,Afrobarometer Round 6 Algeria release dataset (fieldwork 2015),Afrobarometer,2015,authoritative primary probability-survey microdata,Algeria,Weighted share of valid adult respondents by Q2 respondent-language category,https://www.afrobarometer.org/wp-content/uploads/2022/02/alg_r6_data.sav,"SAV Q2; variable label 'Language of respondent'; DATEINTR 2015-05-28 to 2015-06-17; withinwt; valid Q2 n=1,200",private_local_witness_omitted; verify by registered URL and SHA-256,B3A745BBAB7004BEFFEE9426A2D8D5DF39D9850280C403B9AB3C6366036D7BF7,937512,,2026-08-25,2,medium,"Q2 is labelled 'Language of respondent', not primary home language. 'Berber Language' is an undifferentiated aggregate and cannot be assigned to Kabyle, Tachawit, Mozabite, or another specific Amazigh profile. Adult sample; no design-correct confidence interval is encoded.",ACE-A113
AFG-S007,Afrobarometer Round 9 merged codebook,Afrobarometer,2024,authoritative survey codebook,Multi-country Africa,Q2 wording and value labels plus withinwt_hh weighting-variable definition,https://www.afrobarometer.org/wp-content/uploads/2024/10/AB_R9.MergeCodebook_25Jun24.final_.pdf,Q2 on PDF pp.12-14; withinwt_hh definition on PDF p.84,private_local_witness_omitted; verify by registered URL and SHA-256,1AFD1A78D26B01336DFF1CB7B1FA5EDBEAE00361D935227DECB08D4FFAC20281,728081,84,2026-08-25,2,high,Supports variable interpretation and weighting; country SAV files remain the primary observation witnesses. It does not turn survey shares into population counts.,ACE-A113
AFG-S008,RGPH5 2022: Caractéristiques culturelles de la population,"Institut National de la Statistique (INSTAT) and Bureau Central du Recensement (BCR), Mali",2022,official census thematic report,Mali,Resident population aged 3 years and above by mother-tongue category,https://bibliostat.instat.ml/greenstone3/library/collection/dmograph/document/HASH01e98829c5a7e2847f521a98?ed=1,"Tableau 3.01, printed p.25; HTML document node HASH01e98829c5a7e2847f521a98.40",private_local_witness_omitted; verify by registered URL and SHA-256,3FB30D8041A0F90171B7A5C1ACC7D234EA02C13736131D2F4FA90A4144B2C915,483620,,2026-08-25,1,medium,"Table 3.01 and Annex A03 publish materially different counts, and some printed sex subtotals do not exactly add to the printed ensemble cells. These observations preserve the Table 3.01 ensemble cells verbatim and do not repair or combine them. Peulh/Fulfulde and Malinké/Maninkakan remain source aggregates unless separately resolved.",ACE-A113
AFG-S009,"RGPH-5 2023 definitive report, Theme I: Etat et structure, urbanisation et caractéristiques socioculturelles de la population","Agence Nationale de la Statistique et de la Démographie (ANSD), Senegal",2023,official census report,Senegal,Resident population aged 3 years and above by principal language commonly spoken,https://www.ansd.sn/sites/default/files/recensements/rapport/rapport_national/Rapport-def-RGPH-5.pdf,"Tableau I-32, printed pp.57-58; PDF pp.94-95",private_local_witness_omitted; verify by registered URL and SHA-256,5DCA370935549249A1883522A7E6CDDBD6282140571A7F1B874AC9EAB2BF16B2,14907435,666,2026-08-25,1,high,"Principal-language categories are mutually exclusive and do not measure all languages spoken, literacy, or academic reading ability. Joola is not a single exact variety. ISO mappings are editorial and not supplied by the census table.",ACE-A113
AFG-S010,Fifth Rwanda Population and Housing Census 2022: Main indicators report,National Institute of Statistics of Rwanda (NISR),2022,official census report,Rwanda,Resident population aged 15 years and above by mutually exclusive language(s)-of-literacy combination,https://statistics.gov.rw/sites/default/files/documents/2025-02/RPHC5_MainIndicatorsReport_Final.pdf,"Table 8, printed p.12; PDF p.37",private_local_witness_omitted; verify by registered URL and SHA-256,72ECB5945DC5672451DB84B050C94A21989CD0F614C3924DC67A604BA49C7A8E,6842847,176,2026-08-25,1,high,"The inclusive Kinyarwanda share is a derived sum of seven mutually exclusive one-decimal cells. Its low/high fields are a conservative rounding envelope, not sampling uncertainty. The exclusive Kinyarwanda-only and inclusive observations are nested and must never be added.",ACE-A113
AFG-S011,Répartition de la population issue du RGPH 2008,Institut de Statistiques et d’Études Économiques du Burundi (ISTEEBU/INSBU),2008,official census tables,Burundi,Population aged 10 years and above by mutually exclusive language read-and-written combination,https://www.insbu.bi/documents/recensements/R%C3%A9partition-de-la-population-issue-du-RGPH-2008.pdf,"Tableau 3.2, PDF p.62",private_local_witness_omitted; verify by registered URL and SHA-256,5B4FB61FFD849743E5CE3B54F2A36E1775ACAD2D219ACD900C3486A80D2437FC,580356,173,2026-08-25,1,high,"The any-Kirundi count is a derived sum of 16 mutually exclusive total-column rows containing Kirundi. It is nested over the exact Kirundi-only cell; never add the two observations. Counts concern reading and writing among persons aged 10+, not total speakers.",ACE-A113
AFG-S012,RGPH 2014 language-use table for earthquake-affected communes and national comparator,"Haut-Commissariat au Plan (HCP), Morocco",2014,official census table,Morocco,"Published prevalence percentages for languages spoken, national comparator row",https://www.hcp.ma/file/238776/,"Tableau 4, Total Royaume du Maroc row, printed p.49; PDF p.50",private_local_witness_omitted; verify by registered URL and SHA-256,FFEF2B45FD271D4EB68C1BF8E1CCA324484C06EB1784B5B0D71ED1D3AD5C0A91,5953298,53,2026-08-25,1,high,"The national language percentages are nonexclusive: the five published language columns sum to 117.7%. Tachelhit, Tamazight, and Tarifit profiles therefore overlap and must not be summed. The table does not establish script or orthography.",ACE-A113
GRG-S001,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,2017-2021,official ACS five-year detailed-language tabulation,United States,Estimated persons age 5 years and over speaking the named language at home with published 90 percent margin of error,https://www2.census.gov/programs-surveys/demo/tables/language-use/2017/2017-2021-acs-lang-tables-nation.xlsx,"Nation worksheet; selected indented child rows 11, 22, 24, 231, 233-234, 237-239, 246-247, 255, 260, 272, 458, 462, 473-474, 487-488, 492, 508, 510-511, 520, 522, 527, 529, 535, 538, 547-548, 552, 554, 564; notes rows 575-581",private_local_witness_omitted; verify by registered URL and SHA-256,724E415C533B268820367A85739F76F4EC4CCC881A19C9C52C908E447D1C2533,37971,,2026-08-25,1,high,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",ACE-A117
GRG-S002,"2021 Lingiari, Census All persons QuickStats",Australian Bureau of Statistics,2021,official national census QuickStats,Australia,Persons reporting the named main language used at home in the national Australia comparison column,https://www.abs.gov.au/census/find-census-data/quickstats/2021/CED701,"Language used at home, top responses other than English; Australia column; Kriol, Djambarrpuyngu, Warlpiri, Murrinh Patha and Alyawarr rows",private_local_witness_omitted; verify by registered URL and SHA-256,F105D980714B0929937CDD5EBAE524D382070088AA17148487FC1A07824D28C6,190148,,2026-08-25,1,high,"National values are the Australia comparison column, not the Lingiari local counts. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",ACE-A117
GRG-S003,"2021 Alice Springs, Census All persons QuickStats",Australian Bureau of Statistics,2021,official national census QuickStats,Australia,Persons reporting the named main language used at home in the national Australia comparison column,https://www.abs.gov.au/census/find-census-data/quickstats/2021/70201,"Language used at home, top responses other than English; Australia column; Pitjantjatjara row",private_local_witness_omitted; verify by registered URL and SHA-256,F10C4303A4074CB3340B87F84CBE7840302E01439D64C17FBA0D333FDC8DBA98,190687,,2026-08-25,1,high,"National value is the Australia comparison column, not the Alice Springs local count. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",ACE-A117
GRG-S004,"2021 Katherine, Census All persons QuickStats",Australian Bureau of Statistics,2021,official national census QuickStats,Australia,Persons reporting the named main language used at home in the national Australia comparison column,https://www.abs.gov.au/census/find-census-data/quickstats/2021/70205,"Language used at home, top responses other than English; Australia column; Gurindji, Ngarinyman and Nunggubuyu rows",private_local_witness_omitted; verify by registered URL and SHA-256,C94A5B835AE62F151DE8C91595158BA72C36888EEC7889977B813251C614DCED,190125,,2026-08-25,1,high,"National values are the Australia comparison column, not the Katherine local counts. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",ACE-A117
GRG-S005,"2021 Barkly, Census All persons QuickStats",Australian Bureau of Statistics,2021,official national census QuickStats,Australia,Persons reporting the named main language used at home in the national Australia comparison column,https://www.abs.gov.au/census/find-census-data/quickstats/2021/70202,"Language used at home, top responses other than English; Australia column; Warumungu row",private_local_witness_omitted; verify by registered URL and SHA-256,8ED4EC8A7442BFBE2BB9D44A5779C0E40F44B9E18A59F17E857E90CEC7F97F89,189703,,2026-08-25,1,high,"National value is the Australia comparison column, not the Barkly local count. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",ACE-A117
GRG-S006,Size and demographic-social structure in the light of the 2021 Census results,Statistics Poland,2021-03-31,official national census publication,Poland,Persons using the named language at home; respondents could indicate more than one language,https://stat.gov.pl/files/gfx/portalinformacyjny/en/defaultaktualnosci/3701/6/1/1/national_population_and_housing_census_2021_population_2.pdf,"Table 7.5, printed p. 120, PDF p. 122",private_local_witness_omitted; verify by registered URL and SHA-256,F410C5BDB49B71C3F4A0785F750D4944537F822B3CC679C4B38A181CE2713CBC,20165596,177,2026-08-25,1,high,"Multiple language responses were allowed, so rows overlap and must not be summed. The table measures language used at home, not L1 or academic-language comfort. Official bilingual labels are retained exactly. The population source does not report scripts or orthographies.",ACE-A117
ASSEC-S001,Unicode CLDR 48.2 supplemental territory and language population data,Unicode Consortium CLDR Technical Committee,2026-03-17,authoritative secondary standardization dataset XML,Multi-territory,Territory population and language population percentage inputs; interpretation supplied by the CLDR territory-language chart,https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml,/supplementalData/territoryInfo/territory and child languagePopulation elements for BD MM LA MN LK MY TJ; reference nodes R1028 R1055 R1218 R1263 audited for exclusions,private_local_witness_omitted; verify by registered URL and SHA-256,cd2af39aef82fdbfba4d591c87548203350538ad2318486d104b3b38b8d62f1a,399983,,2026-08-25,2,medium,Component estimate years and confidence intervals are not stated. CLDR warns that inputs are heterogeneous and not necessarily current or comparable. Only target elements without a references attribute are used; rows explicitly referencing Wikipedia are excluded.,ACE-A136
ASSEC-S002,CLDR 48 Territory-Language Information chart,Unicode Consortium CLDR Technical Committee,2025-10-29 CLDR 48 release,authoritative secondary dataset chart and measure definition,Multi-territory,Approximate literate functional language population comfortable using the language with computers; may include L1 and later-language users,https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html,Introduction immediately before Territory Code table; target territory rows used only as human-readable corroboration of XML,private_local_witness_omitted; verify by registered URL and SHA-256,7fe267322daed97533c2a5ee5e847fa0f847f2c2b903906f371f4990be733c9a,476732,,2026-08-25,2,high,Chart counts are visibly rounded and are not used as arithmetic inputs. Chart version 48 supplies the measure definition for the release-48-2 XML; the pinned 48.2 XML supplies all staged values.,ACE-A136
ASSEC-S003,Requesting Additions or Updates to CLDR Language and Population Data,Unicode Consortium CLDR Technical Committee,accessed 2026-08-25; page publication date not stated,official methodology page,Multi-territory,CLDR inclusion purpose and requirements for reliable population and literacy sources,https://cldr.unicode.org/index/requesting-additionsupdates-to-cldr-languagepopulation-data,Paragraphs on computer-interface usefulness and reliable sources for population updates,private_local_witness_omitted; verify by registered URL and SHA-256,a8b1ebb525cf85b182596abc272260a3ab8228eda35d93e0493da71442018883,5191,,2026-08-25,2,high,"Methodology support only; it provides no observation. Its language-name resource list mentions Wikipedia, but this package does not use that link or Wikipedia evidence.",ACE-A136
ASSEC-S004,CLDR Releases and Downloads,Unicode Consortium CLDR Technical Committee,2026-03-17,official release metadata,Global,Identifies CLDR 48.2 as a stable release and gives its release date and GitHub tag,https://cldr.unicode.org/index/downloads,Release table row 48.2,private_local_witness_omitted; verify by registered URL and SHA-256,11cbd48f07e7f8022867ce804375ed88950c25e38893d78943a8e0d0b78b7828,80418,,2026-08-25,2,high,Release metadata only; not population evidence by itself.,ACE-A136
ASSEC-S005,Unicode CLDR 48.2 likely-subtag mappings,Unicode Consortium CLDR Technical Committee,2026-03-17,authoritative profile-mapping XML,Multi-territory,Likely language-script-territory mappings used only to check candidate profile alignment,https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/likelySubtags.xml,likelySubtag elements from bn my lo mn si ta ms tg and Philippine language codes,private_local_witness_omitted; verify by registered URL and SHA-256,b0049bc6420715b1e3010f43d95745dca227c5aa60357d1d89a1bdcb06287312,919361,,2026-08-25,2,high,Profile support only; not population evidence. Tamil defaults to ta-Taml-IN and therefore supports script but not a Sri Lanka-specific likely profile.,ACE-A136
ASSEC-S006,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,2026-03-17 release; component years not stated,transparent secondary derivation witness,Bangladesh; Myanmar; Laos; Mongolia; Sri Lanka; Malaysia; Tajikistan,Nearest-person arithmetic from pinned territory population times pinned language population percentage; no invented confidence interval,https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml,cldr_target_derivations.md formulas table and exclusion audit,private_local_witness_omitted; verify by registered URL and SHA-256,c953259bcd31245ced999d553c6289e48bbb7bb727f9411dbb95af340466aae5,3740,,2026-08-25,2,medium,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",ACE-A136
ASSEC-S007,Consonants vowels and tones across Vietnamese dialects,International Journal of Speech-Language Pathology; PubMed record by U.S. National Library of Medicine,2016; estimate vintage not stated,peer-reviewed scholarly secondary estimate,Vietnam,Published lower-bound statement that Vietnamese is spoken by over 89 million people in Vietnam,https://pubmed.ncbi.nlm.nih.gov/27172848/,PMID 27172848; AbstractText label PURPOSE first sentence; volume 18 issue 2 pages 122-134; DOI 10.3109/17549507.2015.1101162,private_local_witness_omitted; verify by registered URL and SHA-256,3ea83aeb6ea38206248f82d6f5ee2418c704c686afc8535cf4c2780c00900acd,5788,,2026-08-25,2,medium,Rounded lower bound rather than a point estimate; L1 versus L2 and source year of the population estimate are not stated. The article is about dialect phonetics rather than population estimation.,ACE-A136
ASSEC-S008,CLEAR Global Language Use Data Platform Philippines national API snapshot,CLEAR Global; underlying source IPUMS International Philippines Census 2010 extract,2010-12-31,curated authoritative secondary API from weighted census microdata,Philippines,Weighted persons by normalized main language at national aggregation level zero,"https://ludp.clearglobal.org/public/location/PHL/?aggregation=0&fields=proportion_value,language_rank,language_name,language_code,location_name,location_code,location_level,dataset_name,url,source,datetime_published,reliability_score,individuals_value_weighted&page_size=500",JSON data rows Cebuano cebu1242; Iloko ilok1237; Hiligaynon hili1240; Waray (Philippines) wara1300; fields individuals_value_weighted and reliability_score,private_local_witness_omitted; verify by registered URL and SHA-256,b51008415bc8f36f8fd664c5d00a64f2dd0365f3e963fd3930aaa2540452cfb8,54147,,2026-08-25,2,high,"Exact API point values are weighted estimates, not exact headcounts; no variance or confidence interval is exposed. The platform normalizes the metric as main language. API content is mutable, so the local byte witness is controlling.",ACE-A136
ASSEC-S009,CLEAR Global Language Use Data Platform methodology,CLEAR Global,accessed 2026-08-25; page publication date not stated,official platform methodology,Global,"Defines current metric as people's main or primary language and describes source identification, processing, reliability scoring, and census data via IPUMS",https://clearglobal.org/language-maps-and-data/,Main-language definition lines 72-75 and Methodology Notes lines 138-148 in rendered page,private_local_witness_omitted; verify by registered URL and SHA-256,0080c5c0d3ad617f349080977ebda4b4d1396fd89e92eba6403d1cd54a7ce2d5,127481,,2026-08-25,2,high,Methodology support only. The API response does not expose the original census question wording or a design-correct interval.,ACE-A136
ASSEC-S010,CLEAR Global Language Use Data Platform API documentation collection,CLEAR Global / Postman Documenter,accessed 2026-08-25; collection version latest,official API documentation,Global,"Documents public location endpoint, aggregation and field-selection parameters",https://documenter.getpostman.com/view/40233063/2sAYBbcoH3,Postman collection public location requests and base URL https://ludp.clearglobal.org/public,private_local_witness_omitted; verify by registered URL and SHA-256,a1b30316f6398de7c1dbdeaff112ae4fd1ee7031ce5ccf29b65fc0e2135a5455,41489,,2026-08-25,2,high,"API mechanics only; no population observation by itself. The collection is labeled latest, so the local witness pins the accessed version.",ACE-A136
ASSEC-S011,Glottolog languoid record cebu1242 Cebuano,Glottolog,accessed 2026-08-25; record vintage not stated,scholarly language identifier record,Philippines,Crosswalk from CLEAR API Glottocode cebu1242 to language name Cebuano and hid ceb,https://glottolog.org/resource/languoid/id/cebu1242.json,JSON root fields id name hid level,private_local_witness_omitted; verify by registered URL and SHA-256,c59bd19be58f0a815fd32a56e32095d87b86ba99d0885692663ae00714d89279,1857,,2026-08-25,2,high,Identifier crosswalk only; supplies no population count or orthography evidence.,ACE-A136
ASSEC-S012,Glottolog languoid record ilok1237 Iloko,Glottolog,accessed 2026-08-25; record vintage not stated,scholarly language identifier record,Philippines,Crosswalk from CLEAR API Glottocode ilok1237 to language name Iloko and hid ilo,https://glottolog.org/resource/languoid/id/ilok1237.json,JSON root fields id name hid level,private_local_witness_omitted; verify by registered URL and SHA-256,5032c6bbb592881bb12921d0b2bfa081ca08fa4c9ef4e489703f0a5ee0c28d72,1563,,2026-08-25,2,high,Identifier and Iloko/Ilocano alias crosswalk support only; supplies no population count or orthography evidence.,ACE-A136
ASSEC-S013,Glottolog languoid record hili1240 Hiligaynon,Glottolog,accessed 2026-08-25; record vintage not stated,scholarly language identifier record,Philippines,Crosswalk from CLEAR API Glottocode hili1240 to language name Hiligaynon and hid hil,https://glottolog.org/resource/languoid/id/hili1240.json,JSON root fields id name hid level,private_local_witness_omitted; verify by registered URL and SHA-256,2aefff94d881935b6ca25286f9cbf1a9d56134dbd38ae90d111d33b9ed96465c,2139,,2026-08-25,2,high,Identifier crosswalk only; supplies no population count or orthography evidence.,ACE-A136
ASSEC-S014,Glottolog languoid record wara1300 Waray Philippines,Glottolog,accessed 2026-08-25; record vintage not stated,scholarly language identifier record,Philippines,Crosswalk from CLEAR API Glottocode wara1300 to language name Waray (Philippines) and hid war,https://glottolog.org/resource/languoid/id/wara1300.json,JSON root fields id name hid level,private_local_witness_omitted; verify by registered URL and SHA-256,6a98d08b8880384c444a9c9c13bf210374a45ec1b42cd627c606ccc9527731e1,1949,,2026-08-25,2,high,Identifier crosswalk only; supplies no population count or orthography evidence. Distinct from the API's Waray Sorsogon row.,ACE-A136
ASSEC-S015,CIA World Factbook Afghanistan language field captured 2023-01-02,U.S. Central Intelligence Agency; raw official page preserved by Internet Archive Wayback Machine,2020 estimate; page captured 2023-01-02,official government secondary estimate preserved as web snapshot,Afghanistan,Total language-speaker shares: Dari 77 percent and Pashto 48 percent; explicitly nonexclusive because many people are multilingual,https://web.archive.org/web/20230102023706id_/https://www.cia.gov/the-world-factbook/countries/afghanistan/,"People and Society > Languages field; language shares, 2020 estimate label, and note 1 on multilingual percentages",private_local_witness_omitted; verify by registered URL and SHA-256,4a7186a29452985fbd2c69c59b6c948ffcefc56ca90d416b5fb991bef32def1c,360187,,2026-08-25,2,medium,"Government estimate rather than a census; methodology, percentage rounding rule, L1/L2 split, and confidence intervals are not published. Wayback is only the witness host; CIA is the source authority.",ACE-A136
ASSEC-S016,General country of origin information report Afghanistan June 2023,Netherlands Ministry of Foreign Affairs Country of Origin Information Reports Section,2023-06-30; repeats CIA 2020 estimate,official government secondary synthesis,Afghanistan,Speaker rather than native-speaker interpretation of Dari 77 percent and Pashto 48 percent; explains multilingual overlap,https://www.government.nl/site/binaries/site-content/collections/documents/2023/06/30/general-country-of-origin-report-afghanistan-june-2023/General%2BCountry%2Bof%2BOrigin%2BReport%2BAfghanistan%2BJune%2B2023.pdf,Printed page 72 section 3.1.1.2; footnotes 502-504; footnote 504 cites CIA World Factbook Afghanistan 4 January 2023,private_local_witness_omitted; verify by registered URL and SHA-256,2e770ab7f1824c48e1a326132042de1431680dbd92616b650f250b389e9c490f,2255778,164,2026-08-25,2,high,"Republishes rather than independently measures the shares. It is used to verify speaker semantics and multilingual nonexclusivity, not as a new survey.",ACE-A136
ASSEC-S017,World Bank Population total Afghanistan 2020 API response,World Bank,2020; API metadata last updated 2026-07-13,official statistical API denominator,Afghanistan,SP.POP.TOTL total population 39068979 persons for Afghanistan in 2020,https://api.worldbank.org/v2/country/AFG/indicator/SP.POP.TOTL?date=2020&format=json&per_page=10,JSON [1][0] countryiso3code AFG date 2020 value 39068979 indicator SP.POP.TOTL,private_local_witness_omitted; verify by registered URL and SHA-256,0acf0637bb9d84793b4865b7126d55c4d459a6b200bd323d64f3f8bd1e356b66,290,,2026-08-25,1,high,Population denominator only; not a language measure. It is matched to the 2020 estimate year of the CIA shares.,ACE-A136
ASSEC-S018,Transparent Afghanistan Dari and Pashto person-count derivation,Arithmetic derivation from ASSEC-S015 through ASSEC-S017,2020,transparent secondary derivation witness,Afghanistan,"Nearest-person product of World Bank 2020 population and CIA 2020 total-speaker shares, with official report semantic check",https://web.archive.org/web/20230102023706id_/https://www.cia.gov/the-world-factbook/countries/afghanistan/,afghanistan_language_derivation.md formulas for Dari and Pashto,private_local_witness_omitted; verify by registered URL and SHA-256,c36f9f1edf1f5be55bec4552f7960e3f7c99a639037c2816045245ac50f14d53,1577,,2026-08-25,2,medium,Derived point counts inherit the source shares' unknown rounding and uncertainty. No numerical low/high interval is invented. Dari and Pashto totals overlap and must never be summed; displaced cohorts outside Afghanistan are excluded.,ACE-A136
PM-S022,Communique of the Seventh National Population Census (No. 2),National Bureau of Statistics of China,2020-11-01,official census communique,China,Persons enumerated in the 31 mainland provinces autonomous regions and municipalities plus servicemen,https://www.stats.gov.cn/english/PressRelease/202105/t20210510_1817187.html,"Section I Total Population; mainland row 1,411,778,724; note 6 defines exclusions",,,,,2026-08-30,1,high,"Territory population denominator only. It is not an exact count of zh-Hans-CN readers or comfortable academic-language users; Hong Kong, Macao, Taiwan, and foreigners in the 31 jurisdictions are excluded by the source definition.",ACE-E060
PM-S023,Population and Households of Japan 2020: Summary of the Results,Statistics Bureau of Japan,2020-10-01,official national census summary,Japan,"Total resident population of Japan as of October 1, 2020",https://www.stat.go.jp/english/data/kokusei/2020/summary/pdf/01.pdf,"Basic Complete Tabulation, Table 1, 2020 row; 126,146,099 persons",,,,,2026-08-30,1,high,"Territory population denominator only. It includes residents regardless of language and is not an exact Japanese-language, comfortable academic-reader, or underserved-person count.",ACE-E068
PM-S021,"Jumlah Penduduk Berumur 5 Tahun ke Atas Menurut Wilayah, Jenis Kelamin, dan Kemampuan Berbahasa Indonesia, di INDONESIA",BPS-Statistics Indonesia,2022,official Long Form Population Census 2020 table released for 2022,Indonesia,Population aged 5 and over reported able to understand spoken Indonesian and produce Indonesian words intelligible to another person,https://sensus.bps.go.id/topik/tabular/sp2022/196,"TOTAL row; Total / Dapat Berbahasa Indonesia = 248,501,794; table metadata and classification definition",,,,,2026-08-30,1,high,"This is an official long-form census point estimate of oral functional ability, not written literacy, home language, mother tongue, academic reading comfort, or proof of demand for a particular curriculum. The model therefore treats it as a gross Bahasa Indonesia reach ceiling and applies written-access and academic-language non-overlap factors separately.",SP-D008
