intervention_id,target_type,target_name,variety_or_register,script,territory_scope,curriculum_source,curriculum_work,curriculum_unit,adaptation_depth,formats,existing_local_status,source_ids,evidence_status,overlap_rule,notes,rankability_status,profile_tag_status,profile_resolution_status,profile_ranking_treatment,profile_negative_control_status,profile_source_ids,resolved_edition_name
NAT-071,natural_language,Igbo,ig-Latn-NG,Latn,Nigeria and diaspora,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; variety and English-overlap evidence pending,No generic Igbo surface receives all dialect cells until standard reach is evidenced.,Use Standard Igbo as an explicit hypothesis.,discovery_only_target_resolution_required,,,,,,
NAT-072,natural_language,Nigerian Pidgin,pcm-Latn-NG,Latn,Nigeria,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; L1 L2 and orthographic-standard evidence pending,Do not count all Nigerian English users or all Nigerian residents.,Orthographic normalization can affect model and reader performance.,requires_exact_population_join,,,,,,
NAT-073,natural_language,isiZulu,zu-Latn-ZA,Latn,South Africa,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; official census population cell pending,Nguni reuse is compute architecture; isiXhosa siSwati and isiNdebele require named outputs.,Large South African candidate.,requires_exact_population_join,,,,,,
NAT-074,natural_language,isiXhosa,xh-Latn-ZA,Latn,South Africa,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; official census population cell pending,No isiZulu cross-credit without directional task evidence.,Named standard output required.,requires_exact_population_join,,,,,,
NAT-075,natural_language,Shona,sn-Latn-ZW,Latn,Zimbabwe,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A034;ACE-A035,official 2022 mother-tongue source registered; deficit evidence pending,Count exact Zimbabwe mother-tongue cell only; English access remains separate.,Official source supports population measure but not language-effect causality.,requires_exact_population_join,,,,,,
NAT-076,natural_language,Zimbabwean Ndebele,nd-Latn-ZW,Latn,Zimbabwe,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A034;ACE-A035,official 2022 mother-tongue source registered; deficit evidence pending,Do not merge with South African isiNdebele or isiZulu.,Exact census label and territory retained.,requires_exact_population_join,,,,,,
NAT-077,natural_language,Chichewa Malawi profile,ny-Latn-MW,Latn,Malawi,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A036;ACE-A037;ACE-A021,candidate seed; available official file measures tribe not language,Do not convert Chewa ethnicity or tribe counts into language-speaker counts.,Population cell requires an actual language measure.,requires_exact_population_join,,,,,,
NAT-078,natural_language,Kinyarwanda,rw-Latn-RW,Latn,Rwanda,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and education evidence pending,Own-country cell only; do not merge with Kirundi.,Large standardized language with potentially efficient national reach.,requires_exact_population_join,,,,,,
NAT-079,natural_language,Kirundi,rn-Latn-BI,Latn,Burundi,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and education evidence pending,Kinyarwanda proximity saves compute but gives zero reach credit without testing.,Named Burundian output required.,requires_exact_population_join,,,,,,
NAT-080,natural_language,Malagasy,mg-Latn-MG,Latn,Madagascar,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and French-overlap evidence pending,Deduct French access only by learner cohort.,Large official language with likely scarcity of open advanced mathematics.,requires_exact_population_join,,,,,,
NAT-081,natural_language,Wolof,wo-Latn-SN,Latn,Senegal,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; L1 L2 and French-overlap evidence pending,Do not count all Senegal residents or all Wolof L2 use as marginal reach.,National bridge role requires cohort-specific non-overlap.,requires_exact_population_join,,,,,,
NAT-082,natural_language,Bambara,bm-Latn-ML,Latn,Mali,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; population and education evidence pending,Manding package saves compute; named Bambara output claims only Bambara cells.,N'Ko literacy is a separate script derivative.,requires_exact_population_join,,,,,,
NAT-083,natural_language,Jula,dyu-Latn-CI,Latn,Cote d'Ivoire and separately tagged cross-border cells,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; bounded historical numeric floor requires current audit,No blanket Manding or West African coverage.,Keep national orthography and territory explicit.,requires_exact_population_join,,,,,,
NAT-084,natural_language,Fula exact profile unresolved,ff-Latn,Latn and Ajami variants,West Africa exact country and variety pending,Open Logic Project,Terminology and structure,D0,D0,AX-HTML;AX-OFFLINE,missing,ACE-A021,macro-label candidate only; exact variety and script unresolved,Zero population credit until exact Fulfulde Pulaar or Pular cells and orthographies are named.,D0 records the resolution task without pretending a pan-Fula edition exists.,discovery_only_target_resolution_required,,,,,,
NAT-085,natural_language,Kabyle,kab-Latn-DZ,Latn,Algeria,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and education evidence pending,Standard Moroccan Amazigh and Arabic or French do not automatically cover Kabyle.,Separate Amazigh language profile.,requires_exact_population_join,,,,,,
NAT-086,natural_language,Standard Moroccan Amazigh,zgh-Tfng-MA,Tfng,Morocco,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,institutional standard candidate; current educated-reader reach pending,Credit only readers of zgh-Tfng-MA; no pan-Amazigh reach.,National-standard prestige-domain candidate.,requires_exact_population_join,,,,,,
NAT-087,natural_language,Haitian Creole,ht-Latn-HT,Latn,Haiti and separately tagged diaspora,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population French-overlap and schooling evidence pending,Deduplicate Haiti and diaspora residents; French is not assumed comfortable.,High scarcity and access relevance.,requires_exact_population_join,,,,,,
NAT-088,natural_language,Paraguayan Guarani,gug-Latn-PY,Latn,Paraguay,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; bilingual-cohort decomposition pending,Separate Guarani-dominant bilingual and Spanish-dominant cells; no other Guarani-language coverage.,Spanish edition overlap must be deducted transparently.,requires_exact_population_join,,,,,,
NAT-089,natural_language,Ayacucho Quechua,quy-Latn-PE,Latn,Peru,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact census and education cells pending,Southern shared-core savings do not let one Quechua variety claim another's population.,Named localized output required.,requires_exact_population_join,,,,,,
NAT-090,natural_language,Cusco Quechua,quz-Latn-PE,Latn,Peru,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact census and education cells pending,No Ayacucho or Bolivian cross-credit without tested sustained comprehension.,Named localized output required.,requires_exact_population_join,,,,,,
NAT-091,natural_language,South Bolivian Quechua,quh-Latn-BO,Latn,Bolivia,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact population and schooling evidence pending,Keep Bolivia cells separate from Peru and from aggregate Quechua labels.,Southern shared semantic core is compute reuse only.,requires_exact_population_join,,,,,,
NAT-092,natural_language,Central Aymara,ayr-Latn-BO,Latn,Bolivia and separately Peru,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; country-specific population cells pending,Do not merge all Aymara varieties or count Quechua/Spanish access by assumption.,Cross-border named outputs may share terminology tooling.,requires_exact_population_join,,,,,,
NAT-093,natural_language,Yucatec Maya,yua-Latn-MX,Latn,Mexico,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and education evidence pending,No Maya-family reach.,Exact language rather than macro-label.,requires_exact_population_join,,,,,,
NAT-094,natural_language,K'iche',quc-Latn-GT,Latn,Guatemala,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and education evidence pending,No Q'eqchi' Kaqchikel Mam or generic Maya coverage.,Standard orthography and local register require direct sources.,requires_exact_population_join,,,,,,
NAT-095,natural_language,Q'eqchi',kek-Latn-GT,Latn,Guatemala and Belize cells kept separate,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; country-specific population and education evidence pending,Do not merge Maya languages or cross-border residents.,Regional-depth candidate.,requires_exact_population_join,,,,,,
NAT-096,natural_language,Mam,mam-Latn-GT,Latn,Guatemala and Mexico cells kept separate,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact variety and population evidence pending,No Maya-family reach and no cross-border double count.,Dialect resolution remains material.,discovery_only_target_resolution_required,,,,,,
NAT-097,natural_language,Kaqchikel,cak-Latn-GT,Latn,Guatemala,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and education evidence pending,No K'iche' or generic Maya coverage.,Named output and exact orthography required.,requires_exact_population_join,,,,,,
NAT-098,natural_language,Mapudungun,arn-Latn-CL,Latn orthography unresolved,Chile and separately Argentina,Open Logic Project,Terminology and structure,D0,D0,AX-HTML;AX-OFFLINE,missing,ACE-A021,candidate only; orthography and community reach unresolved,Zero population credit until orthography and territory cells are fixed.,D0 prevents false standardization while preserving a research candidate.,discovery_only_target_resolution_required,,,,,,
NAT-099,natural_language,Wayuunaiki,guc-Latn-CO,Latn,Colombia and Venezuela cells kept separate,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; cross-border population and education evidence pending,Deduplicate residents and do not infer Spanish comfort.,Cross-border regional-depth candidate.,requires_exact_population_join,,,,,,
NAT-100,natural_language,Eastern Huasteca Nahuatl,nhe-Latn-MX,Latn,Mexico exact municipalities pending,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact population and orthography evidence pending,No aggregate Nahuatl or other Nahuan variety coverage.,Exact variety replaces a false Nahuatl macro-label.,requires_exact_population_join,,,,,,
NAT-101,natural_language,Eastern Canadian Inuktitut syllabics profile,iu-Cans-CA,Cans,Canada exact region pending,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact Inuktut variety and region must be resolved,Do not treat Inuktut or Inuktitut as one language; Qaliujaaqpait is only a script layer.,Regional syllabic orthographies remain explicit.,discovery_only_target_resolution_required,,,,,,
NAT-102,natural_language,Inuinnaqtun Roman profile,ikt-Latn-CA,Latn,Canada exact region pending,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact region and population evidence pending,Keep distinct from syllabic Inuktitut and other Inuit varieties.,Unified Roman orthography does not create language coverage.,requires_exact_population_join,,,,,,
NAT-103,natural_language,Greenlandic,kl-Latn-GL,Latn,Greenland,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and Danish-overlap evidence pending,No Inuktut bridge credit and no Danish comfort assumption.,Mature standard supports defensible production.,requires_exact_population_join,,,,,,
NAT-104,natural_language,Plains Cree,crk-Cans-CA,Cans,Canada exact communities pending,Open Logic Project,Terminology and structure,D0,D0,AX-HTML;AX-OFFLINE,missing,ACE-A021,candidate only; Roman versus syllabic and dialect cells unresolved,No Cree macrolanguage or other Cree variety coverage.,D0 target resolution precedes an educational edition.,discovery_only_target_resolution_required,,,,,,
NAT-105,natural_language,Maori,mi-Latn-NZ,Latn,New Zealand,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current proficient-reader and English-overlap evidence pending,Deduct English comfort by cohort; no Polynesian-family reach.,Prestige-domain value is reported separately from raw population.,requires_exact_population_join,,,,,,
NAT-106,natural_language,Samoan,sm-Latn-WS,Latn,Samoa and separately American Samoa or diaspora,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; territory-specific population and education evidence pending,Deduplicate territories and diaspora; no Polynesian-family reach.,Offline derivative is central for island distribution.,requires_exact_population_join,,,,,,
NAT-107,natural_language,Tok Pisin,tpi-Latn-PG,Latn,Papua New Guinea,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; L1 L2 and education-language evidence pending,Do not count all Papua New Guinea residents or English users.,Bridge-language role may yield high reach but needs comfort evidence.,requires_exact_population_join,,,,,,
NAT-108,natural_language,Bislama,bi-Latn-VU,Latn,Vanuatu,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; L1 L2 and education-language evidence pending,No Tok Pisin or English automatic coverage.,Small national bridge candidate.,requires_exact_population_join,,,,,,
NAT-109,natural_language,Welsh,cy-Latn-GB,Latn,Wales,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; English-overlap and existing open-material negative control pending,Count only readers whose comfortable advanced access increases after English deduction.,May rank on prestige rather than raw reach.,requires_exact_population_join,,,,,,
NAT-110,natural_language,Basque,eu-Latn-ES,Latn,Basque Country exact territory cells,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; Spanish/French overlap and material abundance pending,Territory and dominant-language overlaps are explicit deductions.,Mature standard favors production feasibility.,requires_exact_population_join,,,,,,
NAT-111,natural_language,Yiddish,yi-Hebr,Hebr,Exact diaspora territories modeled separately,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; community register and population cells pending,Do not include in pan-Germanic reach; deduct English Hebrew Russian or German by community evidence.,Hebrew-script language requires its own output.,requires_exact_population_join,,,,,,
NAT-112,natural_language,Low German,nds-Latn-DE,Latn,Germany and separately diaspora,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; standard and German-overlap evidence pending,No pan-Germanic or Dutch coverage credit.,Exact standard and reader community must be fixed.,requires_exact_population_join,,,,,,
NAT-113,natural_language,Faroese,fo-Latn-FO,Latn,Faroe Islands,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; Danish and English overlap evidence pending,Excluded from mainland Scandinavian bridge credit.,Named natural-language edition is the defensible mechanism.,requires_exact_population_join,,,,,,
NAT-114,natural_language,Scottish Gaelic,gd-Latn-GB,Latn,Scotland,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; English-overlap and proficient-reader evidence pending,Own-language prestige cell only; no Celtic-family coverage.,Small population should be evaluated in equity and prestige views.,requires_exact_population_join,,,,,,
NAT-115,natural_language,Breton,br-Latn-FR,Latn,Brittany France,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; French-overlap and proficient-reader evidence pending,Own-language cell only.,Endangered/prestige-domain lane.,requires_exact_population_join,,,,,,
NAT-116,natural_language,Sardinian,sc-Latn-IT,Latn,Sardinia exact standard pending,Open Logic Project,Terminology and structure,D0,D0,AX-HTML;AX-OFFLINE,missing,ACE-A021,candidate only; orthographic variety and Italian-overlap evidence pending,Excluded from Romance-core automatic reach; zero population credit before target resolution.,D0 protects against false standardization.,discovery_only_target_resolution_required,,,,,,
NAT-117,natural_language,Friulian,fur-Latn-IT,Latn,Friuli Italy,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; Italian-overlap and current population evidence pending,No Romance-core automatic reach.,Named localized output required.,requires_exact_population_join,,,,,,
NAT-118,natural_language,Romansh,rm-Latn-CH,Latn,Switzerland exact idiom or Rumantsch Grischun pending,Open Logic Project,Terminology and structure,D0,D0,AX-HTML;AX-OFFLINE,missing,ACE-A021,candidate only; idiom selection and German-overlap evidence pending,No generic Romance or one-Romansh reach until idiom policy is fixed.,D0 target-resolution intervention.,discovery_only_target_resolution_required,,,,,,
NAT-119,natural_language,North Sami,se-Latn,Latn,Norway Sweden and Finland cells kept separate,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; country-specific population and dominant-language overlap pending,No Sami-family coverage and no cross-border double count.,Prestige and vitality reported separately.,requires_exact_population_join,,,,,,
NAT-120,natural_language,Scots,sco-Latn-GB,Latn,Scotland,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; English-overlap and standardization evidence pending,No pan-Germanic reach; count only residual comfortable readers.,Potential access gain may be low after overlap.,discovery_only_target_resolution_required,,,,,,
NAT-121,natural_language,Bahasa Indonesia,id-Latn-ID,Latn,Indonesia,Open Logic Project,Formal-reasoning core,FR-2,D3,AX-HTML;AX-PDF;AX-OFFLINE,"established Indonesian program; Open Logic complete 722 of 722; public catalog verifies 27 of 40 roles published and 13 in production; page ledgers document multiple noninterchangeable rendered/corpus universes and no final translated-page total; ex-ante equal-basis row",PM-S021;ACE-E021;ACE-E023;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830;INDONESIAN_PUBLIC_PROGRAM_AUDIT_20260830;INDONESIAN_PROGRAM_COMPUTE_AND_PAGE_RECONCILIATION_20260830,"official functional-language population ceiling; exact current public program inventory; written access and academic-language non-overlap remain sensitivities","Credit only the exact Bahasa Indonesia cell. Keep D=1 solely for the ex-ante equal-treatment opportunity comparison; use D=0 for any ex-post Open Logic completion analysis.","Equal-treatment counterfactual for whether Bahasa Indonesia belonged in the original language opportunity set. The completed-baseline row answers the ex-post question; future work targets only the exact 13 production roles or demonstrated format/access gaps.",requires_exact_population_join,,,,,,Bahasa Indonesia
IL-ISV,constructed_bridge,Interslavic constructed bridge,isv-Latn plus separately rendered isv-Cyrl,Latn;Cyrl,declared Slavic cohorts only,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,7 of 722 units,ACE-E014;ACE-E015;ACE-A012,direct short-cloze point estimate; sustained mathematical comprehension unknown,Credit only a separately tested exact cohort residual after native-edition overlap; never copy pooled 0.84 to language leaves; Latin and Cyrillic outputs are one linguistic intervention.,Only constructed bridge in the current register with substantial direct no-study evidence.,requires_exact_population_join,,,,,,
IL-ROM,pluricentric_shared_core,Romance semantic core with named localized editions,es;pt-BR;fr;it;ro;ca and other separately named outputs,Latn,named Romance-language territories,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,Spanish and Brazilian Portuguese complete locally; constructed surface zero admitted units,ACE-E015;ACE-A010,natural-pair evidence only; constructed pan-Romance comprehension unknown,Shared semantics reduce compute; each named localized output claims only its own cell; constructed surface receives zero reach.,Spanish and Portuguese overlap must be deducted from any residual bridge hypothesis.,requires_exact_population_join,,,,,,
IL-TURKIC,natural_intercomprehension_reuse,Turkic branch-level reuse,separate Oghuz Kipchak and Karluk named outputs,Latn;Cyrl;Arab,exact language territories,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,Turkish complete locally,ACE-A008,no direct bridge comprehension registered,Cross-language reach is zero until directional task evidence; cost reuse is branch-specific and does not merge population cells.,Oghur and Siberian branches are explicitly excluded from a pan-family surface.,requires_exact_population_join,,,,,,
IL-GERM,natural_intercomprehension_reuse,Targeted Germanic reuse,Dutch-Afrikaans pair first; other residual communities separately,Latn;Hebr,exact language and diaspora cells,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,no local bridge surface,ACE-E015;ACE-A021,natural-pair evidence only; no proposed bridge test,No pan-Germanic reach; pairwise reuse never replaces named Yiddish Scots Low German Frisian Faroese or diaspora outputs.,High English overlap makes demographic family ceilings irrelevant to marginal access.,requires_exact_population_join,,,,,,
IL-IDMS,pluricentric_shared_core,Indonesian-Malaysian Malay package,id-Latn-ID and ms-Latn-MY with optional named Jawi derivatives,Latn;Arab,Indonesia Malaysia and Brunei cells separate,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,Indonesian Open Logic complete 722 of 722; Malaysian Malay unstarted,ACE-A011;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830,related standards; whole technical-text comprehension untested,Each national output claims only its own cell; zero id-to-ms reach pending directional audit; shared MABBIM-aligned term graph saves compute.,Javanese Sundanese Madurese and other languages excluded.,requires_exact_population_join,,,,,,
IL-SCAND,natural_intercomprehension_reuse,Mainland Scandinavian localized package,da-DK;nb-NO;nn-NO;sv-SE,Latn,Denmark Norway Sweden,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E015,direct natural-pair evidence exists but exact values not registered here,Cross-language reach remains unknown; named outputs claim own cells; English overlap is deducted before marginal credit.,Faroese and Icelandic excluded.,requires_exact_population_join,,,,,,
IL-AR,pluricentric_shared_core,Modern Standard Arabic plus dialect scaffolds,complete ar base plus named regional plain-language audio and glossary layers,Arab,Arabic-using territories modeled separately,Open Logic Project,Formal-reasoning core plus accessibility scaffolds,FR-2;AX-3,separate_derivative,AX-HTML;AX-PLAIN;AX-AUDIO;AX-OFFLINE,Arabic complete and publicly read back,ACE-E001;ACE-A009,formal-standard coverage exists; dialect-specific comfort unmeasured,Do not count the full Arabic demographic ceiling; claim only residual access from exact regional scaffolds after the complete MSA edition.,Amazigh Kurdish Nubian and Modern South Arabian languages excluded.,requires_exact_population_join,,,,,,
IL-PDT,pluricentric_shared_core,Persian-Dari-Tajik package,fa-IR;prs-Arab-AF;tg-Cyrl-TJ,Arab;Cyrl,Iran Afghanistan Tajikistan and displaced cells separate,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,Iranian Persian complete; Dari and Tajik missing,ACE-A009,formal relatedness recognized; directional technical comprehension untested,Existing fa-IR claims only Iranian Persian; Dari and Tajik require named outputs; transliteration is an accessibility layer not another population.,Kurdish Pashto Balochi Ossetian and Pamiri languages excluded.,requires_exact_population_join,,,,,,
IL-BCMS,pluricentric_shared_core,BCMS common source with named standards,bs-Latn;hr-Latn;cnr-Latn;sr-Latn;sr-Cyrl,Latn;Cyrl,Bosnia and Herzegovina Croatia Montenegro Serbia,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,strong natural proximity; no technical comprehension probability registered,Each named standard claims its resident cell; Serbian scripts partition one language population and are not additive.,One unnamed neutral publication is not treated as coverage.,requires_exact_population_join,,,,,,
IL-HU,dual_script_register,Hindi-Urdu shared semantic and term graph,hi-Deva-IN;ur-Arab-PK;ur-Arab-IN,Deva;Arab Nastaliq,India Pakistan and diaspora cells separate,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,Hindi complete; Urdu missing,ACE-E011;ACE-E012;ACE-E019;ACE-A007,everyday overlap plausible; C-17 supplies reported-language-knowledge unions but advanced academic comfort and register comprehension remain unquantified,Hindi claims no Urdu population; shared source reduces compute only; India and Pakistan Urdu remain separately localized.,The Indian Hindi census umbrella is not Standard Hindi reach; use C-17 only as a disclosed overlap sensitivity.,requires_exact_population_join,,,,,,
IL-PUNJABI,dual_script_register,Punjabi synchronized two-script package,pa-Guru-IN;pnb-Arab-PK,Guru;Arab Shahmukhi,India and Pakistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-E012;ACE-E019,same continuum with script and regional register divergence; C-17 bounds Indian English-or-Hindi knowledge but exact cross-script literacy remains unknown,Population cells are partitioned by territory and script literacy; never add both scripts for the same person; Saraiki and Hindko excluded.,Indian C-17 non-overlap sensitivity is 0.469528503/0.734764251/0.893905701; Pakistan requires separate evidence.,requires_exact_population_join,,,,,,
IL-NGUNI,pluricentric_shared_core,Nguni harmonized core with named standards,zu-Latn-ZA;xh-Latn-ZA;ss-Latn-ZA;nr-Latn-ZA,Latn,South Africa and neighboring-country cells separate,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,reported proximity but no registered technical-task bounds,Common core saves compute; each named output claims only own population; false friends and orthography prevent one isiZulu surface from claiming all.,Non-Nguni South African languages excluded.,requires_exact_population_join,,,,,,
IL-SOTHO,pluricentric_shared_core,Sotho-Tswana harmonized core with named standards,nso-Latn-ZA;tn-Latn-ZA;st-Latn-ZA and locale layers,Latn,South Africa Botswana Lesotho cells separate,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,related standards; technical comprehension untested,Common core saves compute; named outputs and country cells remain separate; no Venda Tsonga or Nguni reach.,Botswana and Lesotho cannot be inferred from South African ceilings.,requires_exact_population_join,,,,,,
IL-MANDING,pluricentric_shared_core,Manding named standards plus N'Ko derivative,bm-Latn-ML;man-Latn;dyu-Latn-CI plus named N'Ko outputs,Latn;Nkoo,Mali Guinea Cote d'Ivoire and other exact cells,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,continuum and literary movement evidence; exact technical comprehension untested,Each named standard claims its own cell; N'Ko is a script derivative within identified literacy cells; no Mande-family reach.,Jula historical numeric floor cannot be generalized.,requires_exact_population_join,,,,,,
IL-SQUECHUA,pluricentric_shared_core,Southern Quechua shared semantic core,quy-Latn-PE;quz-Latn-PE;quh-Latn-BO,Latn,Peru and Bolivia exact cells,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,meaningful proximity reported; no registered sustained-math bounds,Named outputs claim exact cells; Northern and Central Quechua excluded; aggregate Quechua populations are not awarded to one surface.,Use a shared term graph and localized examples.,requires_exact_population_join,,,,,,
