gross_ceiling_display_order,portfolio_position,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,portfolio_lane,population_low,population_base,population_high,source_population_low_reported,source_population_high_reported,population_interval_status,population_measure,population_years,population_observation_ids,population_source_ids,profile_authority_source_ids,profile_population_attribution,source_confidence,source_tier,deduplication_rule,evidence_caveat
53,45,NAT-005,natural_language_edition,Sri Lankan Tamil,ta-Taml-LK,1,Sri Lanka,regional_depth,0,3297390,3297390,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-LK-TA-001,ASSEC-S006,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
54,67,NAT-023,natural_language_edition,Maithili Nepal profile,mai-Deva-NP,1,Nepal,regional_depth,3222389,3222389,3222389,3222389,3222389,source_interval_or_exact_bounds,census_mother_tongue_persons,2021,POP-NP-002,PM-S004,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
55,48,NAT-050,natural_language_edition,Mongolian,mn-Cyrl-MN,1,Mongolia,regional_depth,0,3051962,3051962,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-MN-MN-001,ASSEC-S006,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
56,59,EXP-015,natural_language_edition,Ethiopia Sidama Latin-script edition,sid-Latn-ET,1,Ethiopia,regional_depth,2981471,2981471,2981471,2981471,2981471,source_interval_or_exact_bounds,census_mother_tongue_persons,2007,POP-ET-005,PM-S020,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
57,62,EXP-022,natural_language_edition,South Africa Xitsonga Latin-script edition,ts-Latn-ZA,1,South Africa,regional_depth,2784279,2784279,2784279,2784279,2784279,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-TSO-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
58,64,NAT-021,natural_language_edition,Brahui,brh-Arab-PK,1,Pakistan,regional_depth,2778670,2778670,2778670,2778670,2778670,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-009,PM-S003,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
59,58,NAT-037,natural_language_edition,Waray,war-Latn-PH,1,Philippines,regional_depth,0,2694135,2694135,,,source_point_without_interval_model_low_zero_high_point,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-WAR-001,ASSEC-S008,,,high,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
60,61,EXP-008,natural_language_edition,Indonesia Sasak Latin-script edition,sas-Latn-ID,1,Indonesia,regional_depth,2691127,2691127,2691127,2691127,2691127,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-012,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
61,63,EXP-009,natural_language_edition,Indonesia Acehnese Latin-script edition,ace-Latn-ID,1,Indonesia,regional_depth,2550055,2550055,2550055,2550055,2550055,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-013,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
62,65,NAT-079,natural_language_edition,Kirundi,rn-Latn-BI,1,Burundi,regional_depth,2261931,2261931,2261931,2261931,2261931,source_interval_or_exact_bounds,derived_census_any_kirundi_read_and_written_persons_age_10_plus,2008,POP-BI-AFG-002,AFG-S011,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
63,66,EXP-010,natural_language_edition,Indonesia Betawi Latin-script edition,bew-Latn-ID,1,Indonesia,regional_depth,2244648,2244648,2244648,2244648,2244648,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-014,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
64,72,NAT-024,natural_language_edition,Bhojpuri Nepal profile,bho-Deva-NP,1,Nepal,regional_depth,1820795,1820795,1820795,1820795,1820795,source_interval_or_exact_bounds,census_mother_tongue_persons,2021,POP-NP-003,PM-S004,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
65,68,EXP-023,natural_language_edition,South Africa siSwati Latin-script edition,ss-Latn-ZA,1,South Africa,regional_depth,1692719,1692719,1692719,1692719,1692719,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-SSW-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
66,70,EXP-016,natural_language_edition,Ethiopia Wolaytta Latin-script edition,wal-Latn-ET,1,Ethiopia,regional_depth,1627955,1627955,1627955,1627955,1627955,source_interval_or_exact_bounds,census_mother_tongue_persons,2007,POP-ET-006,PM-S020,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
67,69,NAT-076,natural_language_edition,Zimbabwean Ndebele,nd-Latn-ZW,1,Zimbabwe,regional_depth,1599324,1599324,1599324,1599324,1599324,source_interval_or_exact_bounds,census_mother_tongue_persons,2022,POP-ZW-002,PM-S011,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
68,71,EXP-024,natural_language_edition,South Africa Tshivenda Latin-script edition,ve-Latn-ZA,1,South Africa,regional_depth,1480565,1480565,1480565,1480565,1480565,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-VEN-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
69,74,EXP-017,natural_language_edition,Ethiopia Hadiyya Latin-script edition,hdy-Latn-ET,1,Ethiopia,regional_depth,1253894,1253894,1253894,1253894,1253894,source_interval_or_exact_bounds,census_mother_tongue_persons,2007,POP-ET-009,PM-S020,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
70,73,EXP-029,natural_language_edition,Mauritius Mauritian Creole Latin-script edition,mfe-Latn-MU,1,Mauritius,regional_depth,1045558,1045558,1045558,1045558,1045558,source_interval_or_exact_bounds,language_usually_spoken_at_home_persons,2022,POP-MU-004,PM-S013,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
71,75,EXP-025,natural_language_edition,South Africa isiNdebele Latin-script edition,nr-Latn-ZA,1,South Africa,regional_depth,1044377,1044377,1044377,1044377,1044377,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-NBL-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
72,76,OBS-GRG-US-025,natural_language_edition,Standard Haitian Creole,ht-Latn-HT,1,United States,regional_depth,852440,867500,882560,852440,882560,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-025,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
73,78,NAT-026,natural_language_edition,Avadhi Nepal profile,awa-Deva-NP,1,Nepal,regional_depth,864276,864276,864276,864276,864276,source_interval_or_exact_bounds,census_mother_tongue_persons,2021,POP-NP-007,PM-S004,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
74,77,EXP-011,natural_language_edition,Indonesia Nias Latin-script edition,nia-Latn-ID,1,Indonesia,regional_depth,747168,747168,747168,747168,747168,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-017,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
75,80,OBS-GRG-PL-002,natural_language_edition,Silesian in ślabikŏrzowy szrajbōnek,szl-Latn-PL,1,Poland,regional_depth,467145,467145,467145,467145,467145,source_interval_or_exact_bounds,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-002,GRG-S006,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
76,82,OBS-POP-SN-AFG-005,natural_language_edition,"Senegal Mandinka (Màndienka), official Latin profile",mnk-Latn-SN,1,Senegal,regional_depth,465052,465052,465052,465052,465052,source_interval_or_exact_bounds,census_principal_language_commonly_spoken_persons_age_3_plus,2023,POP-SN-AFG-005,AFG-S009,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
77,79,EXP-030,natural_language_edition,Zimbabwe Ndau Latin-script edition,ndc-Latn-ZW,1,Zimbabwe,regional_depth,372607,372607,372607,372607,372607,source_interval_or_exact_bounds,census_mother_tongue_persons,2022,POP-ZW-006,PM-S011,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
78,81,NAT-041,natural_language_edition,Tetum Prasa,tet-Latn-TL,1,Timor-Leste,regional_depth,361027,361027,361027,361027,361027,source_interval_or_exact_bounds,census_mother_tongue_persons,2015,ALG-TL-L001,ALG-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
79,51,NAT-105,natural_language_edition,Maori,mi-Latn-NZ,1,New Zealand,regional_depth,213847,213849,213851,213847,213851,source_interval_or_exact_bounds,census_languages_spoken_multiple_response_persons,2023,POP-NZ-002,PM-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
80,83,OBS-GRG-US-030,natural_language_edition,YIVO Standard Yiddish edition for the explicitly named YIVO-reading audience,ydd-Hebr-US,1,United States,regional_depth,189401,194800,200199,189401,200199,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-030,GRG-S001,S-ACS;S-IANA;S-YIVO,ACS Yiddish does not identify YIVO versus Hasidic orthographic audience; the interval is an upper ceiling for this edition,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Yiddish does not identify YIVO versus Hasidic orthographic audience; the interval is an upper ceiling for this edition Caveat: Exact edition is reproducible but its audience share inside the pooled ACS observation is unknown."
81,84,OBS-GRG-US-029,natural_language_edition,English-oriented Pennsylvania German spelling used by Vitt Du Deitsh Shvetza / Di Heilich Shrift / Ich Kann PA Deitsh Shreiva,pdc-Latn-US,1,United States,regional_depth,179920,185200,190480,179920,190480,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-029,GRG-S001,S-ACS;S-IANA;S-PDC,ACS Pennsylvania German does not identify spelling-system competence; interval is an edition ceiling,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Pennsylvania German does not identify spelling-system competence; interval is an edition ceiling Caveat: The alternative German-oriented system is not claimed covered."
82,86,OBS-GRG-US-003,natural_language_edition,Diné Bizaad in Navajo Nation school orthography,nv-Latn-US,1,United States,regional_depth,158202,161200,164198,158202,164198,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-003,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
83,85,EXP-031,natural_language_edition,Timor-Leste Makasai Latin-script edition,mkz-Latn-TL,1,Timor-Leste,regional_depth,123840,123840,123840,123840,123840,source_interval_or_exact_bounds,census_mother_tongue_persons,2015,ALG-TL-L003,ALG-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
84,88,EXP-036,natural_language_edition,New Zealand Samoan Latin-script edition,sm-Latn-NZ,1,New Zealand,regional_depth,110539,110541,110543,110539,110543,source_interval_or_exact_bounds,census_languages_spoken_multiple_response_persons,2023,POP-NZ-003,PM-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
85,90,OBS-GRG-PL-004,natural_language_edition,School-standard Kashubian,csb-Latn-PL,1,Poland,small_population_prestige_domain_screen,89198,89198,89198,89198,89198,source_interval_or_exact_bounds,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-004,GRG-S006,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
86,87,EXP-026,natural_language_edition,Peru Ashaninka Latin-script edition,cni-Latn-PE,1,Peru,small_population_prestige_domain_screen,73567,73567,73567,73567,73567,source_interval_or_exact_bounds,census_language_learned_in_childhood_age3plus_persons,2017,POP-PE-003,PM-S007,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
87,92,OBS-GRG-US-026,natural_language_edition,Jamaican Creole in Cassidy/JLU orthography,jam-Latn-JM,1,United States,small_population_prestige_domain_screen,68605,72000,75395,68605,75395,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-026,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
88,54,EXP-037,natural_language_edition,Ireland Irish Latin-script daily-use edition,ga-Latn-IE,1,Ireland,small_population_prestige_domain_screen,71968,71968,71968,71968,71968,source_interval_or_exact_bounds,self_reported_daily_use_outside_education_persons,2022,POP-EU-003,PM-S016,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
89,91,EXP-032,natural_language_edition,Timor-Leste Kemak Latin-script edition,kem-Latn-TL,1,Timor-Leste,small_population_prestige_domain_screen,68995,68995,68995,68995,68995,source_interval_or_exact_bounds,census_mother_tongue_persons,2015,ALG-TL-L006,ALG-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
90,93,EXP-033,natural_language_edition,Timor-Leste Bunak Latin-script edition,bfn-Latn-TL,1,Timor-Leste,small_population_prestige_domain_screen,64686,64686,64686,64686,64686,source_interval_or_exact_bounds,census_mother_tongue_persons,2015,ALG-TL-L007,ALG-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
91,89,EXP-027,natural_language_edition,Peru Awajun Latin-script edition,agr-Latn-PE,1,Peru,small_population_prestige_domain_screen,56584,56584,56584,56584,56584,source_interval_or_exact_bounds,census_language_learned_in_childhood_age3plus_persons,2017,POP-PE-004,PM-S007,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
92,94,EXP-034,natural_language_edition,Timor-Leste Tokodede Latin-script edition,tkd-Latn-TL,1,Timor-Leste,small_population_prestige_domain_screen,46784,46784,46784,46784,46784,source_interval_or_exact_bounds,census_mother_tongue_persons,2015,ALG-TL-L008,ALG-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
93,96,NAT-044,natural_language_edition,Fataluku,ddg-Latn-TL,1,Timor-Leste,small_population_prestige_domain_screen,41500,41500,41500,41500,41500,source_interval_or_exact_bounds,census_mother_tongue_persons,2015,ALG-TL-L009,ALG-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
94,95,EXP-028,natural_language_edition,Peru Shipibo-Konibo Latin-script edition,shp-Latn-PE,1,Peru,small_population_prestige_domain_screen,34152,34152,34152,34152,34152,source_interval_or_exact_bounds,census_language_learned_in_childhood_age3plus_persons,2017,POP-PE-005,PM-S007,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
95,97,OBS-GRG-US-023,natural_language_edition,Standard ʻŌlelo Hawaiʻi with ʻokina and kahakō,haw-Latn-US,1,United States,small_population_prestige_domain_screen,30623,32730,34837,30623,34837,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-023,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
96,98,OBS-GRG-US-017,natural_language_edition,Standard Marshallese under the 2010 Orthography Act,mh-Latn-MH,1,United States,small_population_prestige_domain_screen,25198,27160,29122,25198,29122,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-017,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
97,99,EXP-035,natural_language_edition,Timor-Leste Waima'a Latin-script edition,wmh-Latn-TL,1,Timor-Leste,small_population_prestige_domain_screen,21227,21227,21227,21227,21227,source_interval_or_exact_bounds,census_mother_tongue_persons,2015,ALG-TL-L010,ALG-S014,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
98,106,OBS-GRG-US-021,natural_language_edition,Two-output CHamoru/Chamorro bundle: Guam 2024 official orthography plus CNMI 2010 official orthography,ch-Latn-GU|ch-Latn-MP,2,United States,small_population_prestige_domain_screen,18173,19690,21207,18173,21207,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-021,GRG-S001,S-ACS;S-IANA;S-CH-GU;S-CH-MP,One US ACS Chamorro observation cannot be assigned between Guam and CNMI outputs and must never be multiplied by two,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: One US ACS Chamorro observation cannot be assigned between Guam and CNMI outputs and must never be multiplied by two Caveat: Two standards are exact; localized audience shares are unknown."
99,57,OBS-GRG-PL-007,natural_language_edition,Official-standard Belarusian,be-Cyrl-BY,1,Poland,small_population_prestige_domain_screen,17325,17325,17325,17325,17325,source_interval_or_exact_bounds,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-007,GRG-S006,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
100,100,OBS-GRG-US-001,natural_language_edition,Standard Central Alaskan Yup'ik,esu-Latn-US,1,United States,small_population_prestige_domain_screen,15337,16120,16903,15337,16903,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-001,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
101,101,OBS-GRG-US-018,natural_language_edition,Chuuk State standard Chuukese,chk-Latn-FM,1,United States,small_population_prestige_domain_screen,12612,14700,16788,12612,16788,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-018,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
