exposure_position,wave,allocation_lane,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,population_context,population_denominator_classes,population_source_ids,direct_reader_reach_claim,shared_core_compute_reuse,education_stages,needs_profile_ids,named_output_profile_ids,why_now,first_bounded_package,follow_on_package,prerequisite_route,existing_supply_state,delivery_formats,teacher_independent_requirements,accessibility_requirements,non_overlap_rule,package_evidence_status,recommendation_status,ordering_basis,evidence_confidence,source_urls,uncertainty
54,wave_06_mixed_allocation_lanes,high_reach_underserved,NAT-018,natural_language,Sindhi,sd-Arab-PK,Pakistan,GLB-023,"Sindhi, Pakistan: 34,401,564 [mother_tongue_or_first_language; 2023]",mother_tongue_or_first_language,POP-PK-003;PM-S003,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,sd-Arab-PK,Exact census profile below 50M retained as major regional target.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Supply inventory incomplete.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Shared RTL tooling is not intelligibility.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|regional_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-E012;ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing. Shared RTL tooling is not intelligibility.
55,wave_06_mixed_allocation_lanes,high_reach_underserved,NAT-069,natural_language,Hausa,ha-Latn-NG,Nigeria and separately tagged cross-border cells,GLB-037,unresolved—no comparable source-defined population count,unresolved,,No direct reach is assigned until an exact source-defined population universe is registered.,Strong shared-source potential Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,secondary through first-year tertiary,,ha-Latn-NG,Nigeria/Niger orthographies and written readership must be separated.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Early readers exist; advanced STEM/TVET/professional supply thinner.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",60M and 94M source universes differ; optional Ajami has separate unknown readership.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population/profile evidence unresolved; local need fit provisional; marginal increment unmeasured,ACE-A021,No direct reach is assigned until an exact source-defined population universe is registered. 60M and 94M source universes differ; optional Ajami has separate unknown readership.
56,wave_06_mixed_allocation_lanes,regional_depth,EXP-007,natural_language,Indonesia Banjar Latin-script edition,bjn-Latn-ID,Indonesia,,"Banjar: 3,651,626 [daily_language_at_home_age5plus_persons; 2010]",daily_language_at_home_age5plus_persons,POP-ID-007;PM-S005,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,bjn-Latn-ID,large exact Indonesia residual,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D3; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S005;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
57,wave_06_mixed_allocation_lanes,high_reach_underserved,IL-HU,dual_script_pluricentric_shared_core,Hindi–Urdu shared-core architecture: two Urdu residual outputs,ur-Aran-IN; ur-Aran-PK,Indian and Pakistani Urdu cohorts; Hindi is a separately owned source-reuse component,GLB-008;GLB-009,"Urdu, Pakistan: 22,249,307 [mother_tongue_or_first_language; 2023] | Urdu, India: 50,772,631 [mother_tongue_or_first_language; 2011] | Urdu, India: 50,725,762 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-PK-001;PM-S003;POP-IN-022;PM-S001;POP-IN-COMP-022,Only ur-Aran-IN and ur-Aran-PK residual cohorts enter this action's planning R. Hindi remains at NAT-124; no cross-script comprehension multiplier or blanket L2 Urdu audience is inferred.,"High semantic, formula, exercise and terminology-graph reuse; separate scripts, render QA and locale registers. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",first-year tertiary; professional/continuing; research-methods bridge,,ur-Aran-IN;ur-Aran-PK,"Indian and Pakistani Urdu cohorts have a plausible tertiary/professional language-continuity opportunity, but local supply and exact residual readership are less securely measured than the Hindi component. The shared Hindi semantic/formula core is reused from NAT-124, not commissioned again.","Produce two separate Urdu first-year disciplinary and research-methods bridges, ur-Aran-IN and ur-Aran-PK, using the NAT-124 Hindi/source semantic, formula and exercise core. Include physics, chemistry, biology, statistics, computing, economics, management, research design and R/Python with distinct India/Pakistan examples. Hindi production and Hindi beneficiaries are excluded from this residual action.","Current health, agriculture, cyber-finance, SME and postgraduate reproducibility modules, maintaining distinct India/Pakistan examples and law.","Locale-specific Urdu–English secondary diagnostic -> first-year disciplinary bridge -> statistics/programming -> research-methods exercises; reuse source content, not presumed Hindi reading ability.",Hindi school supply is extensive; Urdu supply varies. The strongest shared residual is tertiary/professional/research continuity.,"Separate Indian/Pakistani Nastaliq offline HTML/MathML, EPUB and PDF, with accessible logical reading order, low-cost labs and downloadable notebooks.","Worked answers, diagnostic entry, Urdu–English terminology crosswalk, locally appropriate examples, reproducible notebooks and no mandatory teacher or live platform.","Nastaliq/RTL shaping, bidirectional formula ordering, semantic math, keyboard/reflow support, extraction and screen-reader checks; captions/transcripts and printable fallback.","IL-HU owns two Urdu locale outputs only. NAT-124 owns the Hindi component. HRN-004 is Hindi need evidence, not independently established Urdu need. Urdu India/Pakistan ceilings are separate and nonadditive with functional-language umbrellas; the shared source has no additional audience.",source_informed_provisional_urdu_stage_need,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 3 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",medium broad tertiary opportunity; low exact Urdu residual cohort and package supply; provisional component-specific inference,https://nptel.ac.in/translation ; https://aishe.gov.in/ ; https://www.hec.gov.pk/,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.
58,wave_06_mixed_allocation_lanes,endangered_prestige,NAT-103,natural_language,Greenlandic,kl-Latn-GL,Greenland,,unresolved—no comparable source-defined population count,unresolved,,No direct reach is assigned until an exact source-defined population universe is registered.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",upper-secondary through undergraduate formal reasoning,,kl-Latn-GL,Mature standard supports defensible production.,"Produce the registered FR-2 Formal-reasoning core for this exact named output: FR-1 plus first-order-logic; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded FR-2 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry -> FR-1 -> FR-2.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",No Inuktut bridge credit and no Danish comfort assumption.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle endangered_prestige; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population/profile evidence unresolved; local need fit provisional; marginal increment unmeasured,ACE-A021,No direct reach is assigned until an exact source-defined population universe is registered.
59,wave_06_mixed_allocation_lanes,high_reach_underserved,NAT-019,natural_language,Saraiki,skr-Arab-PK,Pakistan,GLB-021,"Lahnda-labelled recall universe: 28,849,579 [mother_tongue_or_first_language; 2023]",mother_tongue_or_first_language,POP-PK-007;PM-S003,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,skr-Arab-PK,Lahnda is not accepted as one educational edition or additive population.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,No coherent single supply inventory.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.","Overlaps Punjabi, Saraiki, Hindko and classification conventions.",registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|regional_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-E012;ACE-A021,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing. Overlaps Punjabi, Saraiki, Hindko and classification conventions."
60,wave_06_mixed_allocation_lanes,regional_depth,NAT-050,natural_language,Mongolian,mn-Cyrl-MN,Mongolia,,"Mongolian: 3,051,962 [derived_cldr_territory_functional_language_users; 2026-03-17 CLDR release; component estimate year not stated]",derived_cldr_territory_functional_language_users,ASSEC-MN-MN-001;ASSEC-S006,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,mn-Cyrl-MN,No Central Asian or Russian automatic coverage.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Keep Cyrillic Mongolia distinct from traditional-script communities.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view territory_all_residents_ceiling|functional_literate_language_users_L1_or_later_language|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
61,wave_07_mixed_allocation_lanes,high_reach_underserved,NAT-070,natural_language,Yoruba,yo-Latn-NG,Nigeria and diaspora,GLB-050,unresolved—no comparable source-defined population count,unresolved,,No direct reach is assigned until an exact source-defined population universe is registered.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,yo-Latn-NG,Retain range for recall but do not invent a joined written-reader denominator.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,School/cultural supply exists; advanced practical supply thin.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Nigeria territory and unjoined literacy percentages cannot be multiplied without matching strata.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population/profile evidence unresolved; local need fit provisional; marginal increment unmeasured,ACE-A021,No direct reach is assigned until an exact source-defined population universe is registered. Nigeria territory and unjoined literacy percentages cannot be multiplied without matching strata.
62,wave_07_mixed_allocation_lanes,high_reach_underserved,NAT-002,natural_language,Indian Bengali,bn-Beng-IN,India,GLB-011,"Bengali, India: 97,237,669 [mother_tongue_or_first_language; 2011] | Bengali, India: 96,177,835 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-IN-002;PM-S001;POP-IN-COMP-002,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,High same-script semantic reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,primary,,bn-Beng-IN,ASER rural West Bengal 2024: 40.9% of Grade 3 children could do at least subtraction and 35.0% of Grade 5 children could divide,"Bangla Grades 3-8 arithmetic/fractions-to-algebra catch-up with placement tests, short mastery units and full answers","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,School supply substantial; vocational/tertiary discontinuities remain.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Do not use one locale-neutral Bangla edition.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,https://asercentre.org/wp-content/uploads/2022/12/West-Bengal-1.pdf,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Bangladesh Bangla is a separate edition profile; ASER is a rural West Bengal proxy and not a direct language-population assessment Do not use one locale-neutral Bangla edition.
63,wave_07_mixed_allocation_lanes,regional_depth,EXP-008,natural_language,Indonesia Sasak Latin-script edition,sas-Latn-ID,Indonesia,,"Sasak: 2,691,127 [daily_language_at_home_age5plus_persons; 2010]",daily_language_at_home_age5plus_persons,POP-ID-012;PM-S005,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,sas-Latn-ID,exact Indonesia regional-language residual,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D3; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S005;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
64,wave_07_mixed_allocation_lanes,high_reach_underserved,NAT-007,natural_language,Gujarati,gu-Gujr-IN,Gujarat India,GLB-015,"Gujarati: 55,492,554 [mother_tongue_or_first_language; 2011] | Gujarati: 55,036,204 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-IN-005;PM-S001;POP-IN-COMP-005,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",primary,,gu-Gujr-IN,ASER rural Gujarat 2024: 19.1% of Grade 3 children could do at least subtraction and 14.3% of Grade 5 children could divide,"Gujarati Grades 2-6 diagnostic remediation in place value, operations, fractions and proportional reasoning","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Supply audit incomplete beyond school baseline.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Functional total is not additive to L1.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,https://asercentre.org/wp-content/uploads/2022/12/Gujarat-1.pdf,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. ASER is rural and territorial; existing state material means the intervention is a redesigned mastery system, not merely another textbook Functional total is not additive to L1."
65,wave_07_mixed_allocation_lanes,high_reach_underserved,NAT-013,natural_language,Indian Urdu,ur-Arab-IN,India,GLB-009,"Urdu, India: 50,772,631 [mother_tongue_or_first_language; 2011] | Urdu, India: 50,725,762 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-IN-022;PM-S001;POP-IN-COMP-022,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,High semantic/formula reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,upper-secondary through undergraduate formal reasoning,,ur-Arab-IN,Separate India curriculum and population cell with shared Hindi-Urdu source tooling.,"Produce the registered FR-2 Formal-reasoning core for this exact named output: FR-1 plus first-order-logic; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded FR-2 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry -> FR-1 -> FR-2.,Supply varies by state and stage.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Do not merge with Pakistan Urdu or Standard Hindi readership.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-E011;ACE-E019;ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing. Do not merge with Pakistan Urdu or Standard Hindi readership.
66,wave_07_mixed_allocation_lanes,regional_depth,EXP-009,natural_language,Indonesia Acehnese Latin-script edition,ace-Latn-ID,Indonesia,,"Acehnese: 2,550,055 [daily_language_at_home_age5plus_persons; 2010]",daily_language_at_home_age5plus_persons,POP-ID-013;PM-S005,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,ace-Latn-ID,exact Indonesia regional-language residual,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D3; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S005;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
