portfolio_position,portfolio_lane,admission_lane,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,population_base,population_measure,population_years,population_observation_ids,population_source_ids,marginal_access_base_sensitivity,gross_tokens_base,informative_rank_best,informative_rank_worst,recommended_openstax_next_product,recommended_openstax_depth,needs_evidence_stage,needs_first_package,needs_first_package_short,needs_assignment_status,needs_observed_evidence,needs_source,needs_caveat
48,regional_depth,scarcity,NAT-050,natural_language_edition,Mongolian,mn-Cyrl-MN,1,Mongolia,3051962,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-MN-MN-001,ASSEC-S006,1505228,4073049,30,54,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
49,regional_depth,base,EXP-020,natural_language_edition,South Africa Setswana Latin-script edition,tn-Latn-ZA,1,South Africa,4972787,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-TSN-2022,ZA-S001,2266348,4073049,42,46,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
50,regional_depth,optimistic,EXP-021,natural_language_edition,South Africa Sesotho Latin-script edition,st-Latn-ZA,1,South Africa,4678964,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-SOT-2022,ZA-S001,2132438,4073049,44,47,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
51,regional_depth,scarcity,NAT-105,natural_language_edition,Maori,mi-Latn-NZ,1,New Zealand,213849,census_languages_spoken_multiple_response_persons,2023,POP-NZ-002,PM-S014,53462,4073049,31,79,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
52,regional_depth,base,EXP-006,natural_language_edition,Indonesia Minangkabau Latin-script edition,min-Latn-ID,1,Indonesia,4232226,daily_language_at_home_age5plus_persons,2010,POP-ID-006,PM-S005,2031468,4073049,46,51,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
53,regional_depth,optimistic,EXP-014,natural_language_edition,Ethiopia Tigrinya Ethiopic-script edition,ti-Ethi-ET,1,Ethiopia,4324933,census_mother_tongue_persons,2007,POP-ET-004,PM-S020,1307427,4073049,49,54,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
55,regional_depth,base,EXP-007,natural_language_edition,Indonesia Banjar Latin-script edition,bjn-Latn-ID,1,Indonesia,3651626,daily_language_at_home_age5plus_persons,2010,POP-ID-007,PM-S005,1752780,4073049,47,52,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
56,regional_depth,optimistic,OBS-POP-SN-AFG-002,natural_language_edition,"Senegal Pulaar, official Latin orthography",fuc-Latn-SN,1,Senegal,4314509,census_principal_language_commonly_spoken_persons_age_3_plus,2023,POP-SN-AFG-002,AFG-S009,1086393,4073049,50,60,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
58,regional_depth,base,NAT-037,natural_language_edition,Waray,war-Latn-PH,1,Philippines,2694135,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-WAR-001,ASSEC-S008,1326457,4073049,53,58,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
59,regional_depth,optimistic,EXP-015,natural_language_edition,Ethiopia Sidama Latin-script edition,sid-Latn-ET,1,Ethiopia,2981471,census_mother_tongue_persons,2007,POP-ET-005,PM-S020,901299,4073049,55,62,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
61,regional_depth,base,EXP-008,natural_language_edition,Indonesia Sasak Latin-script edition,sas-Latn-ID,1,Indonesia,2691127,daily_language_at_home_age5plus_persons,2010,POP-ID-012,PM-S005,1291741,4073049,55,59,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
62,regional_depth,optimistic,EXP-022,natural_language_edition,South Africa Xitsonga Latin-script edition,ts-Latn-ZA,1,South Africa,2784279,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-TSO-2022,ZA-S001,1268935,4073049,56,56,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
63,regional_depth,base,EXP-009,natural_language_edition,Indonesia Acehnese Latin-script edition,ace-Latn-ID,1,Indonesia,2550055,daily_language_at_home_age5plus_persons,2010,POP-ID-013,PM-S005,1224026,4073049,57,60,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
64,regional_depth,optimistic,NAT-021,natural_language_edition,Brahui,brh-Arab-PK,1,Pakistan,2778670,census_mother_tongue_persons,2023,POP-PK-009,PM-S003,817763,4073049,57,63,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
65,regional_depth,base,NAT-079,natural_language_edition,Kirundi,rn-Latn-BI,1,Burundi,2261931,derived_census_any_kirundi_read_and_written_persons_age_10_plus,2008,POP-BI-AFG-002,AFG-S011,1130966,4073049,58,61,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
66,regional_depth,optimistic,EXP-010,natural_language_edition,Indonesia Betawi Latin-script edition,bew-Latn-ID,1,Indonesia,2244648,daily_language_at_home_age5plus_persons,2010,POP-ID-014,PM-S005,1077431,4073049,61,62,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
67,regional_depth,base,NAT-023,natural_language_edition,Maithili Nepal profile,mai-Deva-NP,1,Nepal,3222389,census_mother_tongue_persons,2021,POP-NP-002,PM-S004,1105279,4073049,59,63,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
68,regional_depth,optimistic,EXP-023,natural_language_edition,South Africa siSwati Latin-script edition,ss-Latn-ZA,1,South Africa,1692719,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-SSW-2022,ZA-S001,771457,4073049,64,64,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
69,regional_depth,base,NAT-076,natural_language_edition,Zimbabwean Ndebele,nd-Latn-ZW,1,Zimbabwe,1599324,census_mother_tongue_persons,2022,POP-ZW-002,PM-S011,745525,4073049,65,66,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
70,regional_depth,optimistic,EXP-016,natural_language_edition,Ethiopia Wolaytta Latin-script edition,wal-Latn-ET,1,Ethiopia,1627955,census_mother_tongue_persons,2007,POP-ET-006,PM-S020,492131,4073049,65,69,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
71,regional_depth,base,EXP-024,natural_language_edition,South Africa Tshivenda Latin-script edition,ve-Latn-ZA,1,South Africa,1480565,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-VEN-2022,ZA-S001,674768,4073049,66,67,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
72,regional_depth,optimistic,NAT-024,natural_language_edition,Bhojpuri Nepal profile,bho-Deva-NP,1,Nepal,1820795,census_mother_tongue_persons,2021,POP-NP-003,PM-S004,627264,4073049,67,68,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
73,regional_depth,base,EXP-029,natural_language_edition,Mauritius Mauritian Creole Latin-script edition,mfe-Latn-MU,1,Mauritius,1045558,language_usually_spoken_at_home_persons,2022,POP-MU-004,PM-S013,492917,4073049,68,70,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
74,regional_depth,optimistic,EXP-017,natural_language_edition,Ethiopia Hadiyya Latin-script edition,hdy-Latn-ET,1,Ethiopia,1253894,census_mother_tongue_persons,2007,POP-ET-009,PM-S020,379052,4073049,69,71,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
75,regional_depth,base,EXP-025,natural_language_edition,South Africa isiNdebele Latin-script edition,nr-Latn-ZA,1,South Africa,1044377,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-NBL-2022,ZA-S001,475975,4073049,70,71,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
76,regional_depth,optimistic,OBS-GRG-US-025,natural_language_edition,Standard Haitian Creole,ht-Latn-HT,1,United States,867500,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-025,GRG-S001,216875,4073049,72,74,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
77,regional_depth,base,EXP-011,natural_language_edition,Indonesia Nias Latin-script edition,nia-Latn-ID,1,Indonesia,747168,daily_language_at_home_age5plus_persons,2010,POP-ID-017,PM-S005,358641,4073049,72,73,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
78,regional_depth,optimistic,NAT-026,natural_language_edition,Avadhi Nepal profile,awa-Deva-NP,1,Nepal,864276,census_mother_tongue_persons,2021,POP-NP-007,PM-S004,276568,4073049,73,74,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
79,regional_depth,base,EXP-030,natural_language_edition,Zimbabwe Ndau Latin-script edition,ndc-Latn-ZW,1,Zimbabwe,372607,census_mother_tongue_persons,2022,POP-ZW-006,PM-S011,173691,4073049,75,77,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
80,regional_depth,optimistic,OBS-GRG-PL-002,natural_language_edition,Silesian in ślabikŏrzowy szrajbōnek,szl-Latn-PL,1,Poland,467145,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-002,GRG-S006,116786,4073049,75,78,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
81,regional_depth,base,NAT-041,natural_language_edition,Tetum Prasa,tet-Latn-TL,1,Timor-Leste,361027,census_mother_tongue_persons,2015,ALG-TL-L001,ALG-S014,125276,4073049,76,78,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
82,regional_depth,optimistic,OBS-POP-SN-AFG-005,natural_language_edition,"Senegal Mandinka (Màndienka), official Latin profile",mnk-Latn-SN,1,Senegal,465052,census_principal_language_commonly_spoken_persons_age_3_plus,2023,POP-SN-AFG-005,AFG-S009,117100,4073049,76,77,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
83,regional_depth,base,OBS-GRG-US-030,natural_language_edition,YIVO Standard Yiddish edition for the explicitly named YIVO-reading audience,ydd-Hebr-US,1,United States,194800,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-030,GRG-S001,48700,4073049,80,80,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
84,regional_depth,optimistic,OBS-GRG-US-029,natural_language_edition,English-oriented Pennsylvania German spelling used by Vitt Du Deitsh Shvetza / Di Heilich Shrift / Ich Kann PA Deitsh Shreiva,pdc-Latn-US,1,United States,185200,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-029,GRG-S001,46300,4073049,81,81,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
85,regional_depth,base,EXP-031,natural_language_edition,Timor-Leste Makasai Latin-script edition,mkz-Latn-TL,1,Timor-Leste,123840,census_mother_tongue_persons,2015,ALG-TL-L003,ALG-S014,42972,4073049,82,83,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
86,regional_depth,optimistic,OBS-GRG-US-003,natural_language_edition,Diné Bizaad in Navajo Nation school orthography,nv-Latn-US,1,United States,161200,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-003,GRG-S001,40300,4073049,82,83,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
88,regional_depth,optimistic,EXP-036,natural_language_edition,New Zealand Samoan Latin-script edition,sm-Latn-NZ,1,New Zealand,110541,census_languages_spoken_multiple_response_persons,2023,POP-NZ-003,PM-S014,27635,4073049,84,85,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
54,small_population_prestige_domain_screen,scarcity,EXP-037,natural_language_edition,Ireland Irish Latin-script daily-use edition,ga-Latn-IE,1,Ireland,71968,self_reported_daily_use_outside_education_persons,2022,POP-EU-003,PM-S016,17992,4073049,32,91,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
57,small_population_prestige_domain_screen,scarcity,OBS-GRG-PL-007,natural_language_edition,Official-standard Belarusian,be-Cyrl-BY,1,Poland,17325,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-007,GRG-S006,4331,4073049,33,98,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
60,small_population_prestige_domain_screen,scarcity,OBS-GRG-PL-010,natural_language_edition,Standard Lithuanian,lt-Latn-LT,1,Poland,5422,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-010,GRG-S006,1356,4073049,34,115,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
87,small_population_prestige_domain_screen,base,EXP-026,natural_language_edition,Peru Ashaninka Latin-script edition,cni-Latn-PE,1,Peru,73567,census_language_learned_in_childhood_age3plus_persons,2017,POP-PE-003,PM-S007,34451,4073049,84,87,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
89,small_population_prestige_domain_screen,base,EXP-027,natural_language_edition,Peru Awajun Latin-script edition,agr-Latn-PE,1,Peru,56584,census_language_learned_in_childhood_age3plus_persons,2017,POP-PE-004,PM-S007,26498,4073049,86,91,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
90,small_population_prestige_domain_screen,optimistic,OBS-GRG-PL-004,natural_language_edition,School-standard Kashubian,csb-Latn-PL,1,Poland,89198,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-004,GRG-S006,22300,4073049,85,89,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
91,small_population_prestige_domain_screen,base,EXP-032,natural_language_edition,Timor-Leste Kemak Latin-script edition,kem-Latn-TL,1,Timor-Leste,68995,census_mother_tongue_persons,2015,ALG-TL-L006,ALG-S014,23941,4073049,87,89,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
92,small_population_prestige_domain_screen,optimistic,OBS-GRG-US-026,natural_language_edition,Jamaican Creole in Cassidy/JLU orthography,jam-Latn-JM,1,United States,72000,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-026,GRG-S001,18000,4073049,86,90,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
93,small_population_prestige_domain_screen,base,EXP-033,natural_language_edition,Timor-Leste Bunak Latin-script edition,bfn-Latn-TL,1,Timor-Leste,64686,census_mother_tongue_persons,2015,ALG-TL-L007,ALG-S014,22446,4073049,88,90,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
94,small_population_prestige_domain_screen,optimistic,EXP-034,natural_language_edition,Timor-Leste Tokodede Latin-script edition,tkd-Latn-TL,1,Timor-Leste,46784,census_mother_tongue_persons,2015,ALG-TL-L008,ALG-S014,16234,4073049,92,92,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
95,small_population_prestige_domain_screen,base,EXP-028,natural_language_edition,Peru Shipibo-Konibo Latin-script edition,shp-Latn-PE,1,Peru,34152,census_language_learned_in_childhood_age3plus_persons,2017,POP-PE-005,PM-S007,15993,4073049,93,95,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
96,small_population_prestige_domain_screen,optimistic,NAT-044,natural_language_edition,Fataluku,ddg-Latn-TL,1,Timor-Leste,41500,census_mother_tongue_persons,2015,ALG-TL-L009,ALG-S014,14401,4073049,93,94,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
97,small_population_prestige_domain_screen,base,OBS-GRG-US-023,natural_language_edition,Standard ʻŌlelo Hawaiʻi with ʻokina and kahakō,haw-Latn-US,1,United States,32730,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-023,GRG-S001,8182,4073049,94,95,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
98,small_population_prestige_domain_screen,optimistic,OBS-GRG-US-017,natural_language_edition,Standard Marshallese under the 2010 Orthography Act,mh-Latn-MH,1,United States,27160,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-017,GRG-S001,6790,4073049,96,97,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
99,small_population_prestige_domain_screen,base,EXP-035,natural_language_edition,Timor-Leste Waima'a Latin-script edition,wmh-Latn-TL,1,Timor-Leste,21227,census_mother_tongue_persons,2015,ALG-TL-L010,ALG-S014,7366,4073049,96,97,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
