portfolio_exposure_position,intervention_id,intervention_name,target_profile,territory,population_observation_id,population_measure_class,source_population_measure,learner_or_age_stratum,source_year,population_low,population_base,population_high,content_deficit_D_ex_ante,target_identity_C_conditional_on_standard_literacy,target_readable_N_low,target_readable_N_base_sensitivity,target_readable_N_high,practical_access_P_low,practical_access_P_base,practical_access_P_high,practical_access_evidence_status,academic_nonoverlap_U_low,academic_nonoverlap_U_base,academic_nonoverlap_U_high,academic_nonoverlap_evidence_status,factor_evidence_class,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,base_midpoint_sensitivity_per_million_tokens,base_midpoint_sensitivity_rank_low,base_midpoint_sensitivity_rank_high,conservative_score_per_million_tokens,conservative_rank_low,conservative_rank_high,optimistic_sensitivity_per_million_tokens,optimistic_sensitivity_rank_low,optimistic_sensitivity_rank_high,bibliographic_scarcity_proxy_per_million_tokens,bibliographic_scarcity_proxy_rank_low,bibliographic_scarcity_proxy_rank_high,direct_evidence_rank_status,interpretation
38,NAT-047,Kazakh,kk-Cyrl-KZ,Kazakhstan,ALG-KZ-L001,mother_tongue_or_first_language,census_native_language_of_own_nationality_persons,direct_language_population,2021,13380107,13380107,13380107,1.000000,1.000000,0,6690054,13380107,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,3345027,13380107,821258.718,40,40,0.000,1,137,14659323.551,34,34,237732.961,30,30,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
39,NAT-032,Lao,lo-Laoo-LA,Laos,ASSEC-LA-LO-001,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,2026-03-17 CLDR release; component estimate year not stated,0,5487956,5487956,1.000000,1.000000,0,4151090,5487956,0.000000,0.756400,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,2075545,5487956,509580.170,48,48,0.000,1,137,6012636.718,48,48,397830.225,26,26,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
40,NAT-074,isiXhosa,xh-Latn-ZA,South Africa,ZA-XHO-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,9786928,9786928,9786928,1.000000,1.000000,0,8920785,9786928,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,4460393,9786928,1095099.273,36,36,0.000,1,137,10722615.606,39,39,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
41,NAT-049,Tajik,tg-Cyrl-TJ,Tajikistan,ASSEC-TJ-TG-001,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,2026-03-17 CLDR release; component estimate year not stated,0,10394100,10394100,1.000000,1.000000,0,5197050,10394100,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,2598525,10394100,637980.294,44,44,0.000,1,137,11387836.803,38,38,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
42,EXP-013,Ethiopia Somali Latin-script edition,so-Latn-ET,Ethiopia,POP-ET-003,mother_tongue_or_first_language,census_mother_tongue_persons,cross_border_mother_tongue,2007,4609274,4609274,4609274,1.000000,1.000000,0,2786767,4609274,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1393384,4609274,342098.511,54,54,0.000,1,137,5049947.575,51,51,262908.941,28,28,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
43,EXP-005,Indonesia Madurese Latin-script edition,mad-Latn-ID,Indonesia,POP-ID-005,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2010,7743533,7743533,7743533,1.000000,1.000000,0,7433792,7743533,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,3716896,7743533,912558.626,37,37,0.000,1,137,8483860.082,42,42,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
44,EXP-018,Mali Bamanankan Latin-script edition,bm-Latn-ML,Mali,POP-ML-AFG-001,mother_tongue_or_first_language,census_mother_tongue_persons_age_3_plus,resident_population_age_3_plus,2022,9551561,9551561,9551561,1.000000,1.000000,0,3403221,9551561,0.000000,0.356300,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1701611,9551561,417773.270,51,51,0.000,1,137,10464746.143,40,40,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
45,NAT-048,Kyrgyz,ky-Cyrl-KG,Kyrgyzstan,ALG-KG-L001,mother_tongue_or_first_language,census_native_language_persons,direct_language_population,2022,5527168,5527168,5527168,1.000000,1.000000,0,2763584,5527168,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,1381792,5527168,339252.486,55,55,0.000,1,137,6055597.615,47,47,211288.889,31,31,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
46,NAT-035,Ilocano,ilo-Latn-PH,Philippines,ASSEC-PH-ILO-001,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,2010-12-31,0,7098503,7098503,1.000000,1.000000,0,6989896,7098503,0.000000,0.984700,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,3494948,7098503,858066.770,38,38,0.000,1,137,7777161.439,43,43,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
47,NAT-081,Wolof,wo-Latn-SN,Senegal,POP-SN-AFG-001,home_or_usual_language_use,census_principal_language_commonly_spoken_persons_age_3_plus,resident_population_age_3_plus,2023,8786892,8786892,8786892,1.000000,1.000000,0,4425079,8786892,0.000000,0.503600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,2212539,8786892,543214.432,46,46,0.000,1,137,9626970.310,41,41,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
48,NAT-005,Sri Lankan Tamil,ta-Taml-LK,Sri Lanka,ASSEC-LK-TA-001,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,2026-03-17 CLDR release; component estimate year not stated,0,3297390,3297390,1.000000,1.000000,0,3057999,3297390,0.000000,0.927400,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1529000,3297390,375394.453,52,52,0.000,1,137,3612639.786,56,56,184404.116,32,32,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
49,NAT-036,Hiligaynon,hil-Latn-PH,Philippines,ASSEC-PH-HIL-001,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,2010-12-31,0,6073883,6073883,1.000000,1.000000,0,5980953,6073883,0.000000,0.984700,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,2990476,6073883,734210.661,42,42,0.000,1,137,6654581.769,45,45,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
50,EXP-019,South Africa Sepedi Latin-script edition,nso-Latn-ZA,South Africa,ZA-NSO-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,5972255,5972255,5972255,1.000000,1.000000,0,5443710,5972255,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,2721855,5972255,668259.822,43,43,0.000,1,137,6543237.537,46,46,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
51,NAT-050,Mongolian,mn-Cyrl-MN,Mongolia,ASSEC-MN-MN-001,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,2026-03-17 CLDR release; component estimate year not stated,0,3051962,3051962,1.000000,1.000000,0,3010455,3051962,0.000000,0.986400,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1505228,3051962,369558.039,53,53,0.000,1,137,3343747.432,57,57,162086.682,33,33,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
52,EXP-020,South Africa Setswana Latin-script edition,tn-Latn-ZA,South Africa,ZA-TSN-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,4972787,4972787,4972787,1.000000,1.000000,0,4532695,4972787,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,2266348,4972787,556425.420,45,45,0.000,1,137,5448214.546,49,49,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
53,EXP-021,South Africa Sesotho Latin-script edition,st-Latn-ZA,South Africa,ZA-SOT-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,4678964,4678964,4678964,1.000000,1.000000,0,4264876,4678964,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,2132438,4678964,523548.330,47,47,0.000,1,137,5126300.347,50,50,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
54,NAT-105,Maori,mi-Latn-NZ,New Zealand,POP-NZ-002,multiple_response_language_ability,census_languages_spoken_multiple_response_persons,Indigenous_language_population,2023,213847,213849,213851,1.000000,1.000000,0,106924,213851,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,53462,213851,13125.793,82,82,0.000,1,137,234296.407,82,82,12089.715,34,34,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
55,EXP-006,Indonesia Minangkabau Latin-script edition,min-Latn-ID,Indonesia,POP-ID-006,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2010,4232226,4232226,4232226,1.000000,1.000000,0,4062937,4232226,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,2031468,4232226,498758.547,49,49,0.000,1,137,4636851.579,54,54,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
56,EXP-014,Ethiopia Tigrinya Ethiopic-script edition,ti-Ethi-ET,Ethiopia,POP-ET-004,mother_tongue_or_first_language,census_mother_tongue_persons,cross_border_mother_tongue,2007,4324933,4324933,4324933,1.000000,1.000000,0,2614854,4324933,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1307427,4324933,320994.665,57,57,0.000,1,137,4738421.911,52,52,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
57,EXP-037,Ireland Irish Latin-script daily-use edition,ga-Latn-IE,Ireland,POP-EU-003,home_or_usual_language_use,self_reported_daily_use_outside_education_persons,minoritized_language_daily_use,2022,71968,71968,71968,1.000000,1.000000,0,35984,71968,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,17992,71968,4417.330,94,94,0.000,1,137,78848.562,91,91,736.303,35,35,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
58,EXP-007,Indonesia Banjar Latin-script edition,bjn-Latn-ID,Indonesia,POP-ID-007,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2010,3651626,3651626,3651626,1.000000,1.000000,0,3505561,3651626,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1752780,3651626,430336.095,50,50,0.000,1,137,4000742.821,55,55,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
59,OBS-POP-SN-AFG-002,"Senegal Pulaar, official Latin orthography",fuc-Latn-SN,Senegal,POP-SN-AFG-002,home_or_usual_language_use,census_principal_language_commonly_spoken_persons_age_3_plus,resident_population_age_3_plus,2023,4314509,4314509,4314509,1.000000,1.000000,0,2172787,4314509,0.000000,0.503600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1086393,4314509,266727.211,63,63,0.000,1,137,4727001.316,53,53,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
60,OBS-GRG-PL-007,Official-standard Belarusian,be-Cyrl-BY,Poland,GRG-PL-007,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,2021-03-31,17325,17325,17325,1.000000,1.000000,0,8662,17325,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,4331,17325,1063.331,101,101,0.000,1,137,18981.371,101,101,727.465,36,36,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
61,NAT-037,Waray,war-Latn-PH,Philippines,ASSEC-PH-WAR-001,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,2010-12-31,0,2694135,2694135,1.000000,1.000000,0,2652915,2694135,0.000000,0.984700,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1326457,2694135,325666.841,56,56,0.000,1,137,2951710.076,61,61,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
62,EXP-015,Ethiopia Sidama Latin-script edition,sid-Latn-ET,Ethiopia,POP-ET-005,mother_tongue_or_first_language,census_mother_tongue_persons,regional_mother_tongue,2007,2981471,2981471,2981471,1.000000,1.000000,0,1802597,2981471,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,901299,2981471,221283.613,65,65,0.000,1,137,3266517.080,58,58,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
63,OBS-GRG-PL-010,Standard Lithuanian,lt-Latn-LT,Poland,GRG-PL-010,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,2021-03-31,5422,5422,5422,1.000000,1.000000,0,2711,5422,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,1356,5422,332.920,116,116,0.000,1,137,5940.375,118,118,61.379,37,37,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
64,EXP-008,Indonesia Sasak Latin-script edition,sas-Latn-ID,Indonesia,POP-ID-012,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2010,2691127,2691127,2691127,1.000000,1.000000,0,2583482,2691127,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1291741,2691127,317143.496,58,58,0.000,1,137,2948414.494,62,62,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
65,EXP-022,South Africa Xitsonga Latin-script edition,ts-Latn-ZA,South Africa,ZA-TSO-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,2784279,2784279,2784279,1.000000,1.000000,0,2537870,2784279,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1268935,2784279,311544.251,59,59,0.000,1,137,3050472.370,59,59,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
66,EXP-009,Indonesia Acehnese Latin-script edition,ace-Latn-ID,Indonesia,POP-ID-013,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2010,2550055,2550055,2550055,1.000000,1.000000,0,2448053,2550055,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1224026,2550055,300518.359,60,60,0.000,1,137,2793855.185,63,63,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
67,NAT-021,Brahui,brh-Arab-PK,Pakistan,POP-PK-009,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2023,2778670,2778670,2778670,1.000000,1.000000,0,1635525,2778670,0.000000,0.588600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,817763,2778670,200774.162,66,66,0.000,1,137,3044327.117,60,60,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
68,NAT-079,Kirundi,rn-Latn-BI,Burundi,POP-BI-AFG-002,direct_literacy_or_access_stratum,derived_census_any_kirundi_read_and_written_persons_age_10_plus,population_age_10_plus,2008,2261931,2261931,2261931,1.000000,1.000000,2261931,2261931,2261931,1.000000,1.000000,1.000000,source_population_already_restricted_to_direct_literacy_access_stratum,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,1130966,2261931,277670.610,61,61,0.000,1,137,2478184.844,64,64,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
69,EXP-010,Indonesia Betawi Latin-script edition,bew-Latn-ID,Indonesia,POP-ID-014,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2010,2244648,2244648,2244648,1.000000,1.000000,0,2154862,2244648,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,1077431,2244648,264526.894,64,64,0.000,1,137,2459249.488,65,65,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
70,NAT-023,Maithili Nepal profile,mai-Deva-NP,Nepal,POP-NP-002,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2021,3222389,3222389,3222389,1.000000,1.000000,2210559,2210559,2210559,0.686000,0.686000,0.686000,direct_language_specific_literacy_rate,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,1105279,2210559,271364.032,62,62,0.000,1,137,2421901.380,66,66,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
71,EXP-023,South Africa siSwati Latin-script edition,ss-Latn-ZA,South Africa,ZA-SSW-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,1692719,1692719,1692719,1.000000,1.000000,0,1542913,1692719,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,771457,1692719,189405.283,67,67,0.000,1,137,1854552.845,67,67,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
72,NAT-076,Zimbabwean Ndebele,nd-Latn-ZW,Zimbabwe,POP-ZW-002,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2022,1599324,1599324,1599324,1.000000,1.000000,0,1491050,1599324,0.000000,0.932300,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,745525,1599324,183038.554,68,68,0.000,1,137,1752228.736,69,69,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
73,EXP-016,Ethiopia Wolaytta Latin-script edition,wal-Latn-ET,Ethiopia,POP-ET-006,mother_tongue_or_first_language,census_mother_tongue_persons,regional_mother_tongue,2007,1627955,1627955,1627955,1.000000,1.000000,0,984262,1627955,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,492131,1627955,120826.192,72,72,0.000,1,137,1783597.027,68,68,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
74,EXP-024,South Africa Tshivenda Latin-script edition,ve-Latn-ZA,South Africa,ZA-VEN-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,1480565,1480565,1480565,1.000000,1.000000,0,1349535,1480565,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,674768,1480565,165666.556,69,69,0.000,1,137,1622115.681,70,70,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
