portfolio_position,intervention_id,intervention_name,target_profiles,territory_or_scope,population_low,population_base,population_high,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,marginal_access_high_optimistic_sensitivity,access_factor_status,gross_tokens_low,gross_tokens_base,gross_tokens_high,base_marginal_access_per_million_tokens,conservative_access_per_million_tokens,optimistic_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens_sensitivity,base_efficiency_rank_low,base_efficiency_rank_high,conservative_efficiency_rank_low,conservative_efficiency_rank_high,optimistic_efficiency_rank_low,optimistic_efficiency_rank_high,scarcity_efficiency_rank_low,scarcity_efficiency_rank_high,informative_rank_best,informative_rank_worst,informative_rank_views_available,conservative_view_treatment,admission_lane,admission_lane_rank_low,admission_lane_rank_high,population_observation_ids,population_source_ids,sensitivity_label_note,evidence_caveat
35,NAT-047,Kazakh,kk-Cyrl-KZ,Kazakhstan,13380107,13380107,13380107,0,3345027,13380107,13380107,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,821258.718,0.000,14659323.551,216513.231,216513.231,38,38,1,135,32,32,28,28,28,38,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,32,32,ALG-KZ-L001,ALG-S007,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
36,NAT-055,Turkmen,tk-Latn-TM,Turkmenistan,6297965,6297965,6297965,0,3145834,6297965,6297965,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,772353.586,0.000,6900087.320,596818.501,596818.501,39,39,1,135,42,42,24,24,24,42,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,24,24,ALG-TM-L001,ALG-S009,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
37,NAT-074,isiXhosa,xh-Latn-ZA,South Africa,9786928,9786928,9786928,0,4460393,9786928,9786928,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1095099.273,0.000,10722615.606,,,34,34,1,135,37,37,36,135,34,37,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,34,34,ZA-XHO-2022,ZA-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
38,NAT-049,Tajik,tg-Cyrl-TJ,Tajikistan,0,10394100,10394100,0,2598525,10394100,10394100,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,637980.294,0.000,11387836.803,,,42,42,1,135,36,36,36,135,36,42,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,36,36,ASSEC-TJ-TG-001,ASSEC-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
39,NAT-032,Lao,lo-Laoo-LA,Laos,0,5487956,5487956,0,2075545,5487956,5487956,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,509580.170,0.000,6012636.718,393766.439,393766.439,46,46,1,135,46,46,25,25,25,46,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,25,25,ASSEC-LA-LO-001,ASSEC-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
40,EXP-005,Indonesia Madurese Latin-script edition,mad-Latn-ID,Indonesia,7743533,7743533,7743533,0,3716896,7743533,7743533,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,912558.626,0.000,8483860.082,,,35,35,1,135,40,40,36,135,35,40,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,35,35,POP-ID-005,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
41,EXP-018,Mali Bamanankan Latin-script edition,bm-Latn-ML,Mali,9551561,9551561,9551561,0,1701611,9551561,9551561,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,417773.270,0.000,10464746.143,,,49,49,1,135,38,38,36,135,38,49,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,38,38,POP-ML-AFG-001,AFG-S008,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
42,EXP-013,Ethiopia Somali Latin-script edition,so-Latn-ET,Ethiopia,4609274,4609274,4609274,0,1393384,4609274,4609274,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,342098.511,0.000,5049947.575,262908.941,262908.941,52,52,1,135,49,49,27,27,27,52,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,27,27,POP-ET-003,PM-S020,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
43,NAT-035,Ilocano,ilo-Latn-PH,Philippines,0,7098503,7098503,0,3494948,7098503,7098503,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,858066.770,0.000,7777161.439,,,36,36,1,135,41,41,36,135,36,41,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,36,36,ASSEC-PH-ILO-001,ASSEC-S008,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
44,NAT-081,Wolof,wo-Latn-SN,Senegal,8786892,8786892,8786892,0,2212539,8786892,8786892,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,543214.432,0.000,9626970.310,,,44,44,1,135,39,39,36,135,39,44,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,39,39,POP-SN-AFG-001,AFG-S009,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
45,NAT-048,Kyrgyz,ky-Cyrl-KG,Kyrgyzstan,5527168,5527168,5527168,0,1381792,5527168,5527168,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,339252.486,0.000,6055597.615,206635.619,206635.619,53,53,1,135,45,45,29,29,29,53,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,29,29,ALG-KG-L001,ALG-S008,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
46,NAT-036,Hiligaynon,hil-Latn-PH,Philippines,0,6073883,6073883,0,2990476,6073883,6073883,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,734210.661,0.000,6654581.769,,,40,40,1,135,43,43,36,135,40,43,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,40,40,ASSEC-PH-HIL-001,ASSEC-S008,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
47,EXP-019,South Africa Sepedi Latin-script edition,nso-Latn-ZA,South Africa,5972255,5972255,5972255,0,2721855,5972255,5972255,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,668259.822,0.000,6543237.537,,,41,41,1,135,44,44,36,135,41,44,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,44,44,ZA-NSO-2022,ZA-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
48,NAT-005,Sri Lankan Tamil,ta-Taml-LK,Sri Lanka,0,3297390,3297390,0,1529000,3297390,3297390,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,375394.453,0.000,3612639.786,177458.950,177458.950,50,50,1,135,54,54,30,30,30,54,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,30,30,ASSEC-LK-TA-001,ASSEC-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
49,EXP-020,South Africa Setswana Latin-script edition,tn-Latn-ZA,South Africa,4972787,4972787,4972787,0,2266348,4972787,4972787,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,556425.420,0.000,5448214.546,,,43,43,1,135,47,47,36,135,43,47,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,43,43,ZA-TSN-2022,ZA-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
50,EXP-021,South Africa Sesotho Latin-script edition,st-Latn-ZA,South Africa,4678964,4678964,4678964,0,2132438,4678964,4678964,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,523548.330,0.000,5126300.347,,,45,45,1,135,48,48,36,135,45,48,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,48,48,ZA-SOT-2022,ZA-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
51,NAT-050,Mongolian,mn-Cyrl-MN,Mongolia,0,3051962,3051962,0,1505228,3051962,3051962,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,369558.039,0.000,3343747.432,154542.457,154542.457,51,51,1,135,55,55,31,31,31,55,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,31,31,ASSEC-MN-MN-001,ASSEC-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
52,EXP-006,Indonesia Minangkabau Latin-script edition,min-Latn-ID,Indonesia,4232226,4232226,4232226,0,2031468,4232226,4232226,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,498758.547,0.000,4636851.579,,,47,47,1,135,52,52,36,135,47,52,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,47,47,POP-ID-006,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
53,EXP-014,Ethiopia Tigrinya Ethiopic-script edition,ti-Ethi-ET,Ethiopia,4324933,4324933,4324933,0,1307427,4324933,4324933,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,320994.665,0.000,4738421.911,,,55,55,1,135,50,50,36,135,50,55,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,50,50,POP-ET-004,PM-S020,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
54,NAT-105,Maori,mi-Latn-NZ,New Zealand,213847,213849,213851,0,53462,213851,213851,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,13125.793,0.000,234296.407,12051.905,12051.905,80,80,1,135,80,80,32,32,32,80,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,32,32,POP-NZ-002,PM-S014,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
55,EXP-007,Indonesia Banjar Latin-script edition,bjn-Latn-ID,Indonesia,3651626,3651626,3651626,0,1752780,3651626,3651626,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,430336.095,0.000,4000742.821,,,48,48,1,135,53,53,36,135,48,53,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,48,48,POP-ID-007,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
56,OBS-POP-SN-AFG-002,"Senegal Pulaar, official Latin orthography",fuc-Latn-SN,Senegal,4314509,4314509,4314509,0,1086393,4314509,4314509,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,266727.211,0.000,4727001.316,,,61,61,1,135,51,51,36,135,51,61,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,51,51,POP-SN-AFG-002,AFG-S009,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
57,EXP-037,Ireland Irish Latin-script daily-use edition,ga-Latn-IE,Ireland,71968,71968,71968,0,17992,71968,71968,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,4417.330,0.000,78848.562,736.303,736.303,92,92,1,135,89,89,33,33,33,92,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,33,33,POP-EU-003,PM-S016,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
58,NAT-037,Waray,war-Latn-PH,Philippines,0,2694135,2694135,0,1326457,2694135,2694135,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,325666.841,0.000,2951710.076,,,54,54,1,135,59,59,36,135,54,59,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,54,54,ASSEC-PH-WAR-001,ASSEC-S008,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
59,EXP-015,Ethiopia Sidama Latin-script edition,sid-Latn-ET,Ethiopia,2981471,2981471,2981471,0,901299,2981471,2981471,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,221283.613,0.000,3266517.080,,,63,63,1,135,56,56,36,135,56,63,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,56,56,POP-ET-005,PM-S020,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
60,OBS-GRG-PL-007,Official-standard Belarusian,be-Cyrl-BY,Poland,17325,17325,17325,0,4331,17325,17325,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1063.331,0.000,18981.371,715.435,715.435,99,99,1,135,99,99,34,34,34,99,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,34,34,GRG-PL-007,GRG-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
61,EXP-008,Indonesia Sasak Latin-script edition,sas-Latn-ID,Indonesia,2691127,2691127,2691127,0,1291741,2691127,2691127,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,317143.496,0.000,2948414.494,,,56,56,1,135,60,60,36,135,56,60,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,56,56,POP-ID-012,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
62,EXP-022,South Africa Xitsonga Latin-script edition,ts-Latn-ZA,South Africa,2784279,2784279,2784279,0,1268935,2784279,2784279,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,311544.251,0.000,3050472.370,,,57,57,1,135,57,57,36,135,57,57,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,57,57,ZA-TSO-2022,ZA-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
63,OBS-GRG-PL-010,Standard Lithuanian,lt-Latn-LT,Poland,5422,5422,5422,0,1356,5422,5422,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,332.920,0.000,5940.375,57.451,57.451,114,114,1,135,116,116,35,35,35,116,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,35,35,GRG-PL-010,GRG-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
64,EXP-009,Indonesia Acehnese Latin-script edition,ace-Latn-ID,Indonesia,2550055,2550055,2550055,0,1224026,2550055,2550055,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,300518.359,0.000,2793855.185,,,58,58,1,135,61,61,36,135,58,61,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,58,58,POP-ID-013,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
65,NAT-021,Brahui,brh-Arab-PK,Pakistan,2778670,2778670,2778670,0,817763,2778670,2778670,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,200774.162,0.000,3044327.117,,,64,64,1,135,58,58,36,135,58,64,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,58,58,POP-PK-009,PM-S003,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
66,NAT-079,Kirundi,rn-Latn-BI,Burundi,2261931,2261931,2261931,0,1130966,2261931,2261931,source_population_already_restricted_to_direct_literacy_access_stratum;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,277670.610,0.000,2478184.844,,,59,59,1,135,62,62,36,135,59,62,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,59,59,POP-BI-AFG-002,AFG-S011,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
67,EXP-010,Indonesia Betawi Latin-script edition,bew-Latn-ID,Indonesia,2244648,2244648,2244648,0,1077431,2244648,2244648,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,264526.894,0.000,2459249.488,,,62,62,1,135,63,63,36,135,62,63,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,63,63,POP-ID-014,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
68,NAT-023,Maithili Nepal profile,mai-Deva-NP,Nepal,3222389,3222389,3222389,0,1105279,2210559,2210559,direct_language_specific_literacy_rate;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,271364.032,0.000,2421901.380,,,60,60,1,135,64,64,36,135,60,64,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,60,60,POP-NP-002,PM-S004,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
69,EXP-023,South Africa siSwati Latin-script edition,ss-Latn-ZA,South Africa,1692719,1692719,1692719,0,771457,1692719,1692719,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,189405.283,0.000,1854552.845,,,65,65,1,135,65,65,36,135,65,65,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,65,65,ZA-SSW-2022,ZA-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
