exposure_position,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,named_output_profile_ids,population_source_ids,matched_matrix_row_ids,matched_interlanguage_intervention_ids,matched_mechanism_classes,matched_edge_roles,profile_match_basis,comprehension_evidence_statuses,rankable_matrix_rows,current_cross_language_demographic_reach_credit,demographic_reach_credit_basis,shared_core_compute_reuse,current_direct_component_completion_overlap,forward_component_deficit_D,forward_next_nonduplicative_actions,double_count_rules,exclusions,interlanguage_source_ids,matrix_confidence,crosswalk_note
31,NAT-040,natural_language,Malaysian Malay formal reasoning via Indonesian source reuse,ms-Latn-MY,Malaysia,GLB-054,ms-Latn-MY,SUP-041;SUPSRC-MY-DOSM-PHC-2020,EDGE-IDMS-002,IL-IDMS,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,IL-IDMS Indonesian–Malaysian Malay production architecture: reuse the completed Indonesian semantic/formula source for the 210-unit FR-2 Malaysian output. Locale-delta token savings are unmeasured. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Zero Indonesian credit pending directional technical-text audit; localized output claims Malaysian cell,Other Malayic and Indonesian languages,ACE-A011,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
32,NAT-121,existing_program_nonduplicative_extension,Bahasa Indonesia Evidence-to-Practice and Research Core,id-Latn-ID,Indonesia,GLB-039,id-Latn-ID,POP-ID-018;PM-S021,EDGE-IDMS-001,IL-IDMS,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Reuse the established terminology, build, QA and offline infrastructure; Malaysian Malay localization is a separate later output. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.","FWD-ID-OLP Open Logic complete target set: complete=722/722; residual=0 | FWD-ID-PROGRAM13 Nonpublic roles in the registered 40-course program: complete=27/40; residual=13 | FWD-ID-ACCESS Accessibility, offline-delivery, and maintenance residuals: scope unresolved",FWD-ID-OLP=0.000000 [exact_completed_corpus] | FWD-ID-PROGRAM13=unmeasured [unknown_heterogeneous_role_weights] | FWD-ID-ACCESS=unmeasured [unknown_until_exact_format_gap_is_registered],"FWD-ID-OLP: Do not retranslate; preserve and maintain the completed corpus. | FWD-ID-PROGRAM13: Select an exact role, work, version, and format; then measure its remaining source tokens. | FWD-ID-ACCESS: Audit each published role for semantic HTML/MathML, screen-reader, offline, and maintenance gaps.",Completed Indonesian Open Logic is excluded from forward reach; no Malaysian reach,Javanese Sundanese Madurese Minangkabau Acehnese and other languages,ACE-A011;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
33,NAT-049,natural_language,Tajik,tg-Cyrl-TJ,Tajikistan,,tg-Cyrl-TJ,ASSEC-TJ-TG-001;ASSEC-S006,EDGE-PDT-003,IL-PDT,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic reuse with script/locale deltas Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Zero fa-IR reach; named Tajik output only; transliteration is not additive,Pamiri Uzbek Russian and other languages,ACE-A009;ACE-A021,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
34,NAT-122,strong_supply_exact_forward_residual,Mainland Simplified Chinese accessibility and frontier residual,zh-Hans-CN,Mainland China,GLB-002,zh-Hans-CN,POP-CN-001;PM-S022,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,Very high standardized written Chinese/toolchain reuse; Taiwan/Hong Kong locale outputs remain separate. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,FWD-CN-OLP Open Logic complete target set: complete=722/722; residual=0 | FWD-CN-AT2E Algebra and Trigonometry 2e: complete=94/94; residual=0 | FWD-CN-CALC1 Calculus Volume 1: complete=30/55; residual=25 | FWD-CN-STEM6 Six further fixed STEM books: complete=unknown/6; residual=unknown | FWD-CN-ACCESS-FRONTIER Semantic accessibility and demonstrated advanced/research-frontier gaps: scope unresolved,FWD-CN-OLP=0.000000 [exact_completed_corpus] | FWD-CN-AT2E=0.000000 [exact_completed_corpus] | FWD-CN-CALC1=unmeasured [unknown_until_residual_source_tokens_are_measured] | FWD-CN-STEM6=unmeasured [unknown_work_weight] | FWD-CN-ACCESS-FRONTIER=unmeasured [unknown_until_exact_target_work_format_is_registered],"FWD-CN-OLP: Do not retranslate; commission only a separately demonstrated format or semantic-access derivative. | FWD-CN-AT2E: Do not retranslate; audit only accessibility, maintenance, or edition-version residuals. | FWD-CN-CALC1: Finish the exact residual after measuring residual source tokens; do not infer D from module count alone. | FWD-CN-STEM6: Audit exact titles, current unit coverage, source tokens, and local supply before ordering. | FWD-CN-ACCESS-FRONTIER: Define exact format or advanced corpus first; then measure its source and residual units.","Do not claim coverage of Wu, Yue vernacular, Xiang, Hakka, Taigi or minority-language communities; do not duplicate complete Open Logic or algebra.","Do not claim coverage of Wu, Yue vernacular, Xiang, Hakka, Taigi or minority-language communities; do not duplicate complete Open Logic or algebra.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
35,NAT-006,natural_language,Marathi,mr-Deva-IN,Maharashtra India,GLB-013,mr-Deva-IN,POP-IN-013;PM-S001;POP-IN-COMP-013,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Keep foundational rural assessment evidence separate from all Marathi speakers.,Keep foundational rural assessment evidence separate from all Marathi speakers.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
36,NAT-036,natural_language,Hiligaynon,hil-Latn-PH,Philippines,,hil-Latn-PH,ASSEC-PH-HIL-001;ASSEC-S008,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Keep distinct from Cebuano and generic Bisaya labels.,Keep distinct from Cebuano and generic Bisaya labels.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
37,NAT-123,natural_language,Japanese (Japan),ja-Jpan-JP,Japan,GLB-043,ja-Jpan-JP,POP-JP-001;PM-S023,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.","FWD-JA-FR2 FR-2 Formal Reasoning Core at D3: complete=unknown/210; residual=unknown | FWD-JA-STAGE Proof bridge, semantic accessibility, postgraduate, monograph, and research-frontier gaps: scope unresolved",FWD-JA-FR2=unmeasured [unknown_partial_or_missing_fraction] | FWD-JA-STAGE=unmeasured [unknown_until_exact_target_work_format_is_registered],FWD-JA-FR2: Audit exact local/open equivalents and any partial FR-2 units before deciding whether FR-2 itself is the next product. | FWD-JA-STAGE: Commission only the exact stage/corpus/format gap established by the needs audit; do not infer a generic school-algebra need.,Do not duplicate generic compulsory-school algebra or treat the 123.802M territory population as Japanese readers newly served; keep formalism-assisted foreign-language reading distinct from writing/oral-instruction access.,Do not duplicate generic compulsory-school algebra or treat the 123.802M territory population as Japanese readers newly served; keep formalism-assisted foreign-language reading distinct from writing/oral-instruction access.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
38,NAT-045,natural_language,Baikeno,bkx-Latn-TL,Timor-Leste,,bkx-Latn-TL,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Own-community cell only.,Own-community cell only.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
39,NAT-063,natural_language,Tanzanian Swahili,sw-Latn-TZ,Tanzania,GLB-036,sw-Latn-TZ,SUP-022;SUPSRC-TZ-CENSUS-2022,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High standard-core reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Global headline is not a deduplicated written-reader count; DRC Congo Swahili is distinct.,Global headline is not a deduplicated written-reader count; DRC Congo Swahili is distinct.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
40,EXP-005,natural_language,Indonesia Madurese Latin-script edition,mad-Latn-ID,Indonesia,,mad-Latn-ID,POP-ID-005;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
41,NAT-072,natural_language,Nigerian Pidgin,pcm-Latn-NG,Nigeria,GLB-038,pcm-Latn-NG,SUP-028;SUPSRC-YAKPO-PCM-2024,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Nigeria territory and oral users do not establish standardized written readership.,Nigeria territory and oral users do not establish standardized written readership.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
42,NAT-034,natural_language,Cebuano,ceb-Latn-PH,Philippines,,ceb-Latn-PH,ASSEC-PH-CEB-001;ASSEC-S008,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Do not merge Cebuano and Bisaya household labels without source-defined mapping.,Do not merge Cebuano and Bisaya household labels without source-defined mapping.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
43,NAT-005,natural_language,Sri Lankan Tamil,ta-Taml-LK,Sri Lanka,,ta-Taml-LK,ASSEC-LK-TA-001;ASSEC-S006,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Shared formula, layout and QA only unless measured Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Keep separate from ta-Taml-IN and avoid double-counting diaspora residents.,Keep separate from ta-Taml-IN and avoid double-counting diaspora residents.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
44,NAT-029,natural_language,Thai,th-Thai-TH,Thailand,GLB-042,th-Thai-TH,TH-2010-003;TH-S001,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Derived union assumptions and minority-language overlap must remain visible.,Derived union assumptions and minority-language overlap must remain visible.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
45,NAT-039,natural_language,Sundanese,su-Latn-ID,Indonesia,,su-Latn-ID,POP-ID-003;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Indonesian overlap and politeness-level design are explicit uncertainty terms.,Indonesian overlap and politeness-level design are explicit uncertainty terms.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
46,NAT-037,natural_language,Waray,war-Latn-PH,Philippines,,war-Latn-PH,ASSEC-PH-WAR-001;ASSEC-S008,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Own-language cell only.,Own-language cell only.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
47,NAT-015,natural_language,Western Punjabi,pnb-Arab-PK,Pakistan,GLB-019,pnb-Arab-PK,POP-PK-002;PM-S003,EDGE-PNJ-002,IL-PUNJABI,dual_script_register,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic and transliteration assistance Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Claims only resolved Shahmukhi population; no additive dual-script population,Saraiki Hindko and unresolved Punjabi census sublabels,ACE-E011;ACE-E012,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
48,NAT-102,natural_language,Inuinnaqtun Roman profile,ikt-Latn-CA,Canada exact region pending,,ikt-Latn-CA,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Keep distinct from syllabic Inuktitut and other Inuit varieties.,Keep distinct from syllabic Inuktitut and other Inuit varieties.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
49,NAT-056,natural_language,Kurmanji Kurdish,kmr-Latn-TR,Turkey Syria and separately modeled diaspora,,kmr-Latn-TR,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Do not merge with Sorani Zazaki or Turkish; diaspora cells must be residence-deduplicated.,Do not merge with Sorani Zazaki or Turkish; diaspora cells must be residence-deduplicated.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
50,EXP-006,natural_language,Indonesia Minangkabau Latin-script edition,min-Latn-ID,Indonesia,,min-Latn-ID,POP-ID-006;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
51,NAT-001,natural_language,Bangladesh Bangla grades 2–5 mastery-recovery package,bn-Beng-BD,Bangladesh,GLB-010,bn-Beng-BD,SUP-039;SUPSRC-BD-BBS-PHC2022-SEDS2023,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High same-script semantic reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","One owner for bn-Beng-BD grades 2–5 recovery: NAT-001. SHC-BN caregiver/ECE and Indian Bengali TVET are distinct components, not another copy of this work. Population ceilings and attainment deficits are not counted as measured causal benefits.","One owner for bn-Beng-BD grades 2–5 recovery: NAT-001. SHC-BN caregiver/ECE and Indian Bengali TVET are distinct components, not another copy of this work. Population ceilings and attainment deficits are not counted as measured causal benefits.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
52,NAT-033,natural_language_locale_output,Filipino–English STEM–Kabuhayan package,fil-Latn-PH with replaceable home-language audio/glossary tracks,Philippines,GLB-046,fil-Latn-PH,SUP-030;SUPSRC-PH-CENSUS-2020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,Reuse semantic sources and STARBOOKS-style offline packaging; home-language tracks are separate outputs. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Filipino is not every learner's first language; do not count replaceable home-language tracks as one Filipino audience.,Filipino is not every learner's first language; do not count replaceable home-language tracks as one Filipino audience.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
53,NAT-032,natural_language,Lao,lo-Laoo-LA,Laos,,lo-Laoo-LA,ASSEC-LA-LO-001;ASSEC-S006,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",No Thai cross-language credit without directional comprehension evidence.,No Thai cross-language credit without directional comprehension evidence.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
54,NAT-018,natural_language,Sindhi,sd-Arab-PK,Pakistan,GLB-023,sd-Arab-PK,POP-PK-003;PM-S003,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Shared RTL tooling is not intelligibility.,Shared RTL tooling is not intelligibility.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
55,NAT-069,natural_language,Hausa,ha-Latn-NG,Nigeria and separately tagged cross-border cells,GLB-037,ha-Latn-NG,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,Strong shared-source potential Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",60M and 94M source universes differ; optional Ajami has separate unknown readership.,60M and 94M source universes differ; optional Ajami has separate unknown readership.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
56,EXP-007,natural_language,Indonesia Banjar Latin-script edition,bjn-Latn-ID,Indonesia,,bjn-Latn-ID,POP-ID-007;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
57,IL-HU,dual_script_pluricentric_shared_core,Hindi–Urdu shared-core architecture: two Urdu residual outputs,ur-Aran-IN; ur-Aran-PK,Indian and Pakistani Urdu cohorts; Hindi is a separately owned source-reuse component,GLB-008;GLB-009,ur-Aran-IN;ur-Aran-PK,POP-PK-001;PM-S003;POP-IN-022;PM-S001;POP-IN-COMP-022,EDGE-HU-001;EDGE-HU-002;EDGE-HU-003,IL-HU,dual_script_register,coverage_candidate,exact_intervention_id,baseline_only;architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"High semantic, formula, exercise and terminology-graph reuse; separate scripts, render QA and locale registers. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Existing Hindi coverage is baseline and not added to Urdu adaptation reach; C-17 language knowledge is not academic comfort | Hindi gives zero Urdu credit; named Urdu output claims exact Pakistan cell | Keep Indian Urdu separate from Pakistan Urdu; apply disclosed nonoverlap sensitivity 0.543607303/0.771803651/0.908721461 rather than categorical Hindi coverage,Urdu and Hindi census umbrella sublanguages | Punjabi Sindhi Saraiki Pashto and other languages | Other Indian mother tongues,ACE-E011;ACE-E019;ACE-A007;ACE-E012;ACE-A007,medium;low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
58,NAT-103,natural_language,Greenlandic,kl-Latn-GL,Greenland,,kl-Latn-GL,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",No Inuktut bridge credit and no Danish comfort assumption.,No Inuktut bridge credit and no Danish comfort assumption.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
59,NAT-019,natural_language,Saraiki,skr-Arab-PK,Pakistan,GLB-021,skr-Arab-PK,POP-PK-007;PM-S003,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Overlaps Punjabi, Saraiki, Hindko and classification conventions.","Overlaps Punjabi, Saraiki, Hindko and classification conventions.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
60,NAT-050,natural_language,Mongolian,mn-Cyrl-MN,Mongolia,,mn-Cyrl-MN,ASSEC-MN-MN-001;ASSEC-S006,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Keep Cyrillic Mongolia distinct from traditional-script communities.,Keep Cyrillic Mongolia distinct from traditional-script communities.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
61,NAT-070,natural_language,Yoruba,yo-Latn-NG,Nigeria and diaspora,GLB-050,yo-Latn-NG,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Nigeria territory and unjoined literacy percentages cannot be multiplied without matching strata.,Nigeria territory and unjoined literacy percentages cannot be multiplied without matching strata.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
62,NAT-002,natural_language,Indian Bengali,bn-Beng-IN,India,GLB-011,bn-Beng-IN,POP-IN-002;PM-S001;POP-IN-COMP-002,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High same-script semantic reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Do not use one locale-neutral Bangla edition.,Do not use one locale-neutral Bangla edition.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
