portfolio_position,top100,intervention_id,intervention_name,target_profiles,territory_or_scope,portfolio_lane,region,subregion,observation_id,observation_language_label,observation_edition_profile,observation_territory,modality,script_or_profile,learner_stratum,population_measure,count_unit,population_low,population_base,population_high,source_reported_low,source_reported_high,population_interval_status,reference_date_or_year,source_id,source_locator,source_observation_transcribed_exactly,source_title,source_authority,source_type,source_tier,source_confidence,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,source_limitations,local_witness_sha256,target_mapping_status,overlap_group_id,alternative_measure_role,existing_edition_overlap_status,access_factor_status,evidence_caveat,observation_caveats,aggregation_rule
76,true,OBS-GRG-US-025,Standard Haitian Creole,ht-Latn-HT,United States,regional_depth,Americas,North America (Caribbean diaspora),GRG-US-025,Haitian,exact ACS child language row; script not reported by source,United States,written_text_candidate,not asserted by population source,direct_language_sample_estimate,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,estimated_persons,852440,867500,882560,852440,882560,source_interval_or_exact_bounds,2017-2021,GRG-S001,Nation worksheet row 11,true,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,1,high,0,216875,882560,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",724E415C533B268820367A85739F76F4EC4CCC881A19C9C52C908E447D1C2533,source_named_language_observation,US-ACS-2017-2021-HOME-LANGUAGE,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",published point estimate; low and high are estimate minus and plus published 90 percent margin of error This is the indented child Haitian row and must not be summed with the bold Haitian parent aggregate at row 9 United States diaspora observation; sample estimate for persons age 5 plus and language spoken at home; source reports no script or orthography.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
77,true,EXP-011,Indonesia Nias Latin-script edition,nia-Latn-ID,Indonesia,regional_depth,Asia,Southeast Asia,POP-ID-017,Nias,BPS source label Nias,Indonesia,written_text_candidate,Latin,regional_home_language,daily_language_at_home_age5plus_persons,persons,747168,747168,747168,747168,747168,source_interval_or_exact_bounds,2010,PM-S005,"Table L4.1, printed p. 47",true,"Kewarganegaraan, Suku Bangsa, Agama, dan Bahasa Sehari-hari Penduduk Indonesia: Hasil Sensus Penduduk 2010",BPS-Statistics Indonesia,official census publication,1,high,0,358641,747168,"Home-use counts are not L1 totals. Several rows are broad language groups, including Batak and regional clusters; only individually named cells are retained here.",,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Count is 2010 and not a current estimate.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
78,true,NAT-026,Avadhi Nepal profile,awa-Deva-NP,Nepal,regional_depth,Asia,South Asia,POP-NP-007,Avadhi,Nepal 2021 source label Avadhi,Nepal,written_text_candidate,Devanagari,regional_language_population,census_mother_tongue_persons,persons,864276,864276,864276,864276,864276,source_interval_or_exact_bounds,2021,PM-S004,"Annex 1, printed p. 123",true,Languages in Nepal: National Population and Housing Census 2021 Thematic Report,"National Statistics Office, Nepal",official census thematic report,1,high,0,276568,553137,Some census labels aggregate varieties; the Sign Language entry is a census mother-tongue response category rather than a full sign-language-use census.,1E41F6C52A47B93A88907007C13D2C38FDCA4303EAC203F8A5C5CF09C64086AF,source_named_language_observation,,standalone_observation,pending_central_coverage_join,direct_language_specific_literacy_rate;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Cross-border educational standard needs evidence.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
79,true,EXP-030,Zimbabwe Ndau Latin-script edition,ndc-Latn-ZW,Zimbabwe,regional_depth,Africa,Southern Africa,POP-ZW-006,Ndau,ZIMSTAT source label Ndau,Zimbabwe,written_text_candidate,Latin,regional_language_population,census_mother_tongue_persons,persons,372607,372607,372607,372607,372607,source_interval_or_exact_bounds,2022,PM-S011,"Table 2.17, printed p. 123",true,"Zimbabwe 2022 Population and Housing Census Report, Volume 1",Zimbabwe National Statistics Agency (ZIMSTAT),official census report,1,high,0,173691,372607,"Census labels do not resolve every dialect or orthographic choice. Sign Language is a census mother-tongue category, not a complete sign-language-use measure.",BDEBD23BE87E1AA5C1EC73874EFF733A524A93BAD6FCCF7DA7E9C854666BB1ED,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Exact census category.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
80,true,OBS-GRG-PL-002,Silesian in ślabikŏrzowy szrajbōnek,szl-Latn-PL,Poland,regional_depth,Europe,Central Europe,GRG-PL-002,Silesian,exact bilingual census language row; script not reported by source,Poland,written_text_candidate,not asserted by population source,direct_language_census_count,census_languages_used_at_home_multiple_response_persons,persons,467145,467145,467145,467145,467145,source_interval_or_exact_bounds,2021-03-31,GRG-S006,Table 7.5 printed page 120 PDF page 122; śląski Silesian row,true,Size and demographic-social structure in the light of the 2021 Census results,Statistics Poland,official national census publication,1,high,0,116786,467145,"Multiple language responses were allowed, so rows overlap and must not be summed. The table measures language used at home, not L1 or academic-language comfort. Official bilingual labels are retained exactly. The population source does not report scripts or orthographies.",F410C5BDB49B71C3F4A0785F750D4944537F822B3CC679C4B38A181CE2713CBC,source_named_language_observation,PL-CENSUS-2021-HOME-LANG-MR,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",published total persons using the language at home; no interval supplied; low equals base equals high Multiple responses were allowed; language rows overlap and must not be summed Census language used at home is not an L1 count or educational-access measure; source reports no script or orthography.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
81,true,NAT-041,Tetum Prasa,tet-Latn-TL,Timor-Leste,regional_depth,Asia,Southeast Asia,ALG-TL-L001,Tetun Prasa,national mother-tongue variety,Timor-Leste,written_text_candidate,,direct_language_population,census_mother_tongue_persons,persons,361027,361027,361027,361027,361027,source_interval_or_exact_bounds,2015,ALG-S014,"Sheet 2.12, Table 12",true,Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables,General Directorate of Statistics Timor-Leste,official national census workbook,1,high,0,125276,361027,The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.,6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2,source_named_language_observation,TL-MT-2015,direct_language_population_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mutually exclusive mother-tongue category Tetun Prasa remains separate from Tetun Terik despite sharing ISO 639-3 tet.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
82,true,OBS-POP-SN-AFG-005,"Senegal Mandinka (Màndienka), official Latin profile",mnk-Latn-SN,Senegal,regional_depth,Africa,Western Africa,POP-SN-AFG-005,Màndienka,Màndienka principal-language census category,Senegal,written_text_candidate,not asserted by population source,resident_population_age_3_plus,census_principal_language_commonly_spoken_persons_age_3_plus,persons,465052,465052,465052,465052,465052,source_interval_or_exact_bounds,2023,AFG-S009,"Tableau I-32, printed p.57, Ensemble effectif for Màndienka",true,"RGPH-5 2023 definitive report, Theme I: Etat et structure, urbanisation et caractéristiques socioculturelles de la population","Agence Nationale de la Statistique et de la Démographie (ANSD), Senegal",official census report,1,high,0,117100,465052,"Principal-language categories are mutually exclusive and do not measure all languages spoken, literacy, or academic reading ability. Joola is not a single exact variety. ISO mappings are editorial and not supplied by the census table.",5DCA370935549249A1883522A7E6CDDBD6282140571A7F1B874AC9EAB2BF16B2,exact_source_language_label_editorial_iso_mapping_pending_central_review,SEN_RGPH5_PRINCIPAL_LANGUAGE_EXCLUSIVE,mutually_exclusive_principal_language_category,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Exact principal-language category for residents age 3+, not all speakers, literacy, or academic reading comfort. The categories in Tableau I-32 are mutually exclusive and must not be combined with another measure as if independent. ISO mapping is editorial; script and orthography are not established by this table.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
83,true,OBS-GRG-US-030,YIVO Standard Yiddish edition for the explicitly named YIVO-reading audience,ydd-Hebr-US,United States,regional_depth,Americas,North America (European nonterritorial diaspora),GRG-US-030,Eastern Yiddish,exact ACS language row; script not reported by source,United States,written_text_candidate,not asserted by population source,direct_language_sample_estimate,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,estimated_persons,189401,194800,200199,189401,200199,source_interval_or_exact_bounds,2017-2021,GRG-S001,Nation worksheet row 24,true,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,1,high,0,48700,200199,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",724E415C533B268820367A85739F76F4EC4CCC881A19C9C52C908E447D1C2533,source_named_language_observation,US-ACS-2017-2021-HOME-LANGUAGE,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Yiddish does not identify YIVO versus Hasidic orthographic audience; the interval is an upper ceiling for this edition Caveat: Exact edition is reproducible but its audience share inside the pooled ACS observation is unknown.",published point estimate; low and high are estimate minus and plus published 90 percent margin of error Selected child language categories are mutually exclusive in the source hierarchy; do not combine with parent West Germanic totals United States diaspora observation; sample estimate for persons age 5 plus and language spoken at home; source reports no script or orthography.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
84,true,OBS-GRG-US-029,English-oriented Pennsylvania German spelling used by Vitt Du Deitsh Shvetza / Di Heilich Shrift / Ich Kann PA Deitsh Shreiva,pdc-Latn-US,United States,regional_depth,Americas,North America (European nonterritorial diaspora),GRG-US-029,Pennsylvania German,exact ACS language row; script not reported by source,United States,written_text_candidate,not asserted by population source,direct_language_sample_estimate,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,estimated_persons,179920,185200,190480,179920,190480,source_interval_or_exact_bounds,2017-2021,GRG-S001,Nation worksheet row 22,true,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,1,high,0,46300,190480,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",724E415C533B268820367A85739F76F4EC4CCC881A19C9C52C908E447D1C2533,source_named_language_observation,US-ACS-2017-2021-HOME-LANGUAGE,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Pennsylvania German does not identify spelling-system competence; interval is an edition ceiling Caveat: The alternative German-oriented system is not claimed covered.",published point estimate; low and high are estimate minus and plus published 90 percent margin of error Selected child language categories are mutually exclusive in the source hierarchy; do not combine with parent West Germanic totals United States diaspora observation; sample estimate for persons age 5 plus and language spoken at home; source reports no script or orthography.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
85,true,EXP-031,Timor-Leste Makasai Latin-script edition,mkz-Latn-TL,Timor-Leste,regional_depth,Asia,Southeast Asia,ALG-TL-L003,Makasai,national mother-tongue variety,Timor-Leste,written_text_candidate,,direct_language_population,census_mother_tongue_persons,persons,123840,123840,123840,123840,123840,source_interval_or_exact_bounds,2015,ALG-S014,"Sheet 2.12, Table 12",true,Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables,General Directorate of Statistics Timor-Leste,official national census workbook,1,high,0,42972,123840,The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.,6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2,source_named_language_observation,TL-MT-2015,direct_language_population_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mutually exclusive mother-tongue category Direct national census mother-tongue count.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
86,true,OBS-GRG-US-003,Diné Bizaad in Navajo Nation school orthography,nv-Latn-US,United States,regional_depth,Americas,North America,GRG-US-003,Navajo,exact ACS language row; script not reported by source,United States,written_text_candidate,not asserted by population source,direct_language_sample_estimate,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,estimated_persons,158202,161200,164198,158202,164198,source_interval_or_exact_bounds,2017-2021,GRG-S001,Nation worksheet row 488,true,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,1,high,0,40300,164198,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",724E415C533B268820367A85739F76F4EC4CCC881A19C9C52C908E447D1C2533,source_named_language_observation,US-ACS-2017-2021-HOME-LANGUAGE,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",published point estimate; low and high are estimate minus and plus published 90 percent margin of error Selected child language categories are mutually exclusive in the source hierarchy; do not combine with parent family totals Sample estimate for persons age 5 plus and language spoken at home; not an L1 count; source reports no script or orthography.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
87,true,EXP-026,Peru Ashaninka Latin-script edition,cni-Latn-PE,Peru,small_population_prestige_domain_screen,Americas,South America,POP-PE-003,Ashaninka,INEI source label Ashaninka,Peru,written_text_candidate,Latin,Indigenous_language_population,census_language_learned_in_childhood_age3plus_persons,persons,73567,73567,73567,73567,73567,source_interval_or_exact_bounds,2017,PM-S007,"Cuadro 4, printed p. 618",true,"Peru: Perfil Sociodemográfico, Censos Nacionales 2017",Instituto Nacional de Estadística e Informática (INEI),official census report,1,high,0,34451,73567,Quechua and Aimara are aggregate census labels spanning varieties. The total column is used from a health-insurance cross-tabulation; it remains the national count for the stated age and language universe.,899D64794B9CE1596F4CBB779B293C2D4D094E0368FABC6D9A14CC53CDCFBF53,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Language learned in childhood, not current proficiency.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
88,true,EXP-036,New Zealand Samoan Latin-script edition,sm-Latn-NZ,New Zealand,regional_depth,Oceania,Polynesia,POP-NZ-003,Samoan,Stats NZ source label Samoan,New Zealand,written_text_candidate,Latin,Pacific_diaspora_language_population,census_languages_spoken_multiple_response_persons,persons,110539,110541,110543,110539,110543,source_interval_or_exact_bounds,2023,PM-S014,"Total New Zealand population, 2023 column",true,Place and ethnic group summaries: Total New Zealand population language comparator,Stats NZ,official census summary table,1,high,0,27635,110543,"Multiple responses are permitted and figures use fixed random rounding; rows are not L1 counts and must not be summed. Northern Chinese is a census category, not a single unqualified language target.",,source_named_language_observation,,standalone_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Range allows fixed random rounding; multiple responses.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
89,true,EXP-027,Peru Awajun Latin-script edition,agr-Latn-PE,Peru,small_population_prestige_domain_screen,Americas,South America,POP-PE-004,Awajun,INEI source label Awajún / Aguaruna,Peru,written_text_candidate,Latin,Indigenous_language_population,census_language_learned_in_childhood_age3plus_persons,persons,56584,56584,56584,56584,56584,source_interval_or_exact_bounds,2017,PM-S007,"Cuadro 4, printed p. 618",true,"Peru: Perfil Sociodemográfico, Censos Nacionales 2017",Instituto Nacional de Estadística e Informática (INEI),official census report,1,high,0,26498,56584,Quechua and Aimara are aggregate census labels spanning varieties. The total column is used from a health-insurance cross-tabulation; it remains the national count for the stated age and language universe.,899D64794B9CE1596F4CBB779B293C2D4D094E0368FABC6D9A14CC53CDCFBF53,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Language learned in childhood, not current proficiency.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
90,true,OBS-GRG-PL-004,School-standard Kashubian,csb-Latn-PL,Poland,small_population_prestige_domain_screen,Europe,Central Europe,GRG-PL-004,Kashubian,exact bilingual census language row; script not reported by source,Poland,written_text_candidate,not asserted by population source,direct_language_census_count,census_languages_used_at_home_multiple_response_persons,persons,89198,89198,89198,89198,89198,source_interval_or_exact_bounds,2021-03-31,GRG-S006,Table 7.5 printed page 120 PDF page 122; kaszubski Kashubian row,true,Size and demographic-social structure in the light of the 2021 Census results,Statistics Poland,official national census publication,1,high,0,22300,89198,"Multiple language responses were allowed, so rows overlap and must not be summed. The table measures language used at home, not L1 or academic-language comfort. Official bilingual labels are retained exactly. The population source does not report scripts or orthographies.",F410C5BDB49B71C3F4A0785F750D4944537F822B3CC679C4B38A181CE2713CBC,source_named_language_observation,PL-CENSUS-2021-HOME-LANG-MR,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",published total persons using the language at home; no interval supplied; low equals base equals high Multiple responses were allowed; language rows overlap and must not be summed Census language used at home is not an L1 count or educational-access measure; source reports no script or orthography.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
91,true,EXP-032,Timor-Leste Kemak Latin-script edition,kem-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,Asia,Southeast Asia,ALG-TL-L006,Kemak,national mother-tongue variety,Timor-Leste,written_text_candidate,,direct_language_population,census_mother_tongue_persons,persons,68995,68995,68995,68995,68995,source_interval_or_exact_bounds,2015,ALG-S014,"Sheet 2.12, Table 12",true,Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables,General Directorate of Statistics Timor-Leste,official national census workbook,1,high,0,23941,68995,The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.,6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2,source_named_language_observation,TL-MT-2015,direct_language_population_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mutually exclusive mother-tongue category Direct national census mother-tongue count.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
92,true,OBS-GRG-US-026,Jamaican Creole in Cassidy/JLU orthography,jam-Latn-JM,United States,small_population_prestige_domain_screen,Americas,North America (Caribbean diaspora),GRG-US-026,Jamaican Creole English,exact ACS language row; script not reported by source,United States,written_text_candidate,not asserted by population source,direct_language_sample_estimate,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,estimated_persons,68605,72000,75395,68605,75395,source_interval_or_exact_bounds,2017-2021,GRG-S001,Nation worksheet row 255,true,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,1,high,0,18000,75395,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",724E415C533B268820367A85739F76F4EC4CCC881A19C9C52C908E447D1C2533,source_named_language_observation,US-ACS-2017-2021-HOME-LANGUAGE,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",published point estimate; low and high are estimate minus and plus published 90 percent margin of error Selected child language categories are mutually exclusive in the source hierarchy; do not combine with parent Creole totals United States diaspora observation; sample estimate for persons age 5 plus and language spoken at home; source reports no script or orthography.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
93,true,EXP-033,Timor-Leste Bunak Latin-script edition,bfn-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,Asia,Southeast Asia,ALG-TL-L007,Bunak,national mother-tongue variety,Timor-Leste,written_text_candidate,,direct_language_population,census_mother_tongue_persons,persons,64686,64686,64686,64686,64686,source_interval_or_exact_bounds,2015,ALG-S014,"Sheet 2.12, Table 12",true,Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables,General Directorate of Statistics Timor-Leste,official national census workbook,1,high,0,22446,64686,The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.,6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2,source_named_language_observation,TL-MT-2015,direct_language_population_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mutually exclusive mother-tongue category Direct national census mother-tongue count.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
94,true,EXP-034,Timor-Leste Tokodede Latin-script edition,tkd-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,Asia,Southeast Asia,ALG-TL-L008,Tokodede,national mother-tongue variety,Timor-Leste,written_text_candidate,,direct_language_population,census_mother_tongue_persons,persons,46784,46784,46784,46784,46784,source_interval_or_exact_bounds,2015,ALG-S014,"Sheet 2.12, Table 12",true,Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables,General Directorate of Statistics Timor-Leste,official national census workbook,1,high,0,16234,46784,The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.,6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2,source_named_language_observation,TL-MT-2015,direct_language_population_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mutually exclusive mother-tongue category Direct national census mother-tongue count.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
