portfolio_position,intervention_id,intervention_name,target_profiles,territory_or_scope,portfolio_lane,first_product_id,first_product,first_product_depth,first_product_gross_tokens_low,first_product_gross_tokens_base,first_product_gross_tokens_high,first_product_source_ids,next_portfolio_id,next_portfolio_name,next_portfolio_exact_content,next_depth_id,next_depth_name,next_gross_tokens_low,next_gross_tokens_base,next_gross_tokens_high,next_portfolio_source_ids,population_source_ids,profile_authority_source_ids,mapping_caveat
58,NAT-037,Waray,war-Latn-PH,Philippines,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S008,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
59,EXP-015,Ethiopia Sidama Latin-script edition,sid-Latn-ET,Ethiopia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S020,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
60,OBS-GRG-PL-007,Official-standard Belarusian,be-Cyrl-BY,Poland,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
61,EXP-008,Indonesia Sasak Latin-script edition,sas-Latn-ID,Indonesia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
62,EXP-022,South Africa Xitsonga Latin-script edition,ts-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
63,OBS-GRG-PL-010,Standard Lithuanian,lt-Latn-LT,Poland,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
64,EXP-009,Indonesia Acehnese Latin-script edition,ace-Latn-ID,Indonesia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
65,NAT-021,Brahui,brh-Arab-PK,Pakistan,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S003,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
66,NAT-079,Kirundi,rn-Latn-BI,Burundi,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,AFG-S011,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
67,EXP-010,Indonesia Betawi Latin-script edition,bew-Latn-ID,Indonesia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
68,NAT-023,Maithili Nepal profile,mai-Deva-NP,Nepal,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S004,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
69,EXP-023,South Africa siSwati Latin-script edition,ss-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
70,NAT-076,Zimbabwean Ndebele,nd-Latn-ZW,Zimbabwe,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S011,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
71,EXP-016,Ethiopia Wolaytta Latin-script edition,wal-Latn-ET,Ethiopia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S020,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
72,EXP-024,South Africa Tshivenda Latin-script edition,ve-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
73,NAT-024,Bhojpuri Nepal profile,bho-Deva-NP,Nepal,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S004,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
74,EXP-029,Mauritius Mauritian Creole Latin-script edition,mfe-Latn-MU,Mauritius,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S013,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
75,EXP-017,Ethiopia Hadiyya Latin-script edition,hdy-Latn-ET,Ethiopia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S020,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
76,EXP-025,South Africa isiNdebele Latin-script edition,nr-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
77,OBS-GRG-US-025,Standard Haitian Creole,ht-Latn-HT,United States,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
78,EXP-011,Indonesia Nias Latin-script edition,nia-Latn-ID,Indonesia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
79,NAT-026,Avadhi Nepal profile,awa-Deva-NP,Nepal,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S004,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
80,EXP-030,Zimbabwe Ndau Latin-script edition,ndc-Latn-ZW,Zimbabwe,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S011,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
81,OBS-GRG-PL-002,Silesian in ślabikŏrzowy szrajbōnek,szl-Latn-PL,Poland,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
82,NAT-041,Tetum Prasa,tet-Latn-TL,Timor-Leste,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ALG-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
83,OBS-POP-SN-AFG-005,"Senegal Mandinka (Màndienka), official Latin profile",mnk-Latn-SN,Senegal,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,AFG-S009,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
84,OBS-GRG-US-030,YIVO Standard Yiddish edition for the explicitly named YIVO-reading audience,ydd-Hebr-US,United States,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S001,S-ACS;S-IANA;S-YIVO,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
85,OBS-GRG-US-029,English-oriented Pennsylvania German spelling used by Vitt Du Deitsh Shvetza / Di Heilich Shrift / Ich Kann PA Deitsh Shreiva,pdc-Latn-US,United States,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S001,S-ACS;S-IANA;S-PDC,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
86,EXP-031,Timor-Leste Makasai Latin-script edition,mkz-Latn-TL,Timor-Leste,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ALG-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
87,OBS-GRG-US-003,Diné Bizaad in Navajo Nation school orthography,nv-Latn-US,United States,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
88,EXP-026,Peru Ashaninka Latin-script edition,cni-Latn-PE,Peru,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S007,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
89,EXP-036,New Zealand Samoan Latin-script edition,sm-Latn-NZ,New Zealand,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
90,EXP-027,Peru Awajun Latin-script edition,agr-Latn-PE,Peru,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S007,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
91,OBS-GRG-PL-004,School-standard Kashubian,csb-Latn-PL,Poland,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
92,EXP-032,Timor-Leste Kemak Latin-script edition,kem-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ALG-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
93,OBS-GRG-US-026,Jamaican Creole in Cassidy/JLU orthography,jam-Latn-JM,United States,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
94,EXP-033,Timor-Leste Bunak Latin-script edition,bfn-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ALG-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
95,EXP-034,Timor-Leste Tokodede Latin-script edition,tkd-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ALG-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
96,EXP-028,Peru Shipibo-Konibo Latin-script edition,shp-Latn-PE,Peru,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S007,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
97,NAT-044,Fataluku,ddg-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ALG-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
98,OBS-GRG-US-023,Standard ʻŌlelo Hawaiʻi with ʻokina and kahakō,haw-Latn-US,United States,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
99,OBS-GRG-US-017,Standard Marshallese under the 2010 Orthography Act,mh-Latn-MH,United States,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,GRG-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
100,EXP-035,Timor-Leste Waima'a Latin-script edition,wmh-Latn-TL,Timor-Leste,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ALG-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
