census_language_category,census_language_code,total_speakers,speaking_any_subsidiary_language,speaking_english_as_first_or_second_subsidiary,speaking_hindi_as_first_or_second_subsidiary,speaking_english_or_hindi_union,not_reporting_english_or_hindi,english_or_hindi_overlap_share,nonoverlap_low,nonoverlap_base,nonoverlap_high,reference_year,source_id,source_sha256,source_locator,limitations
Paite,096000,79507,44466,18528,6111,20696,58811,0.260304124,0.739695876,0.869847938,0.947939175,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Sangtam,105000,76000,44380,20751,6249,23753,52247,0.312539474,0.687460526,0.843730263,0.937492105,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Chang,036000,66852,35539,15135,4271,17385,49467,0.260052055,0.739947945,0.869973972,0.947989589,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Rengma,104000,65328,42790,21674,5118,24494,40834,0.374938771,0.625061229,0.812530615,0.925012246,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Zeliang,121000,63529,36930,24056,5844,26132,37397,0.411339703,0.588660297,0.794330148,0.917732059,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Khiemnungan,057000,61983,28610,9119,1973,10115,51868,0.163189907,0.836810093,0.918405047,0.967362019,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Konda,065000,60699,42936,725,325,1004,59695,0.016540635,0.983459365,0.991729683,0.996691873,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Wancho,119000,59154,21565,6433,18521,18896,40258,0.319437401,0.680562599,0.840281300,0.936112520,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Arabic/Arbi,028000,54947,35748,3024,25170,26929,28018,0.490090451,0.509909549,0.754954775,0.901981910,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Phom,100000,54416,32298,15885,3477,17563,36853,0.322754337,0.677245663,0.838622832,0.935449133,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Parji,097000,52349,33301,96,14039,14091,38258,0.269174196,0.730825804,0.865412902,0.946165161,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Zemi,122000,50925,27890,11490,10406,18598,32327,0.365203731,0.634796269,0.817398135,0.926959254,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Liangmei,079000,49811,31188,15879,3165,17489,32322,0.351107185,0.648892815,0.824446407,0.929778563,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Lepcha,078000,47331,38326,9475,10444,16938,30393,0.357862712,0.642137288,0.821068644,0.928427458,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Koda/Kora,062000,47268,36919,501,1724,2173,45095,0.045971905,0.954028095,0.977014048,0.990805619,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Mishmi,088000,44100,30258,8538,27722,28341,15759,0.642653061,0.357346939,0.678673469,0.871469388,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Vaiphei,118000,42748,27870,8715,3031,10560,32188,0.247029101,0.752970899,0.876485450,0.950594180,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Lakher,076000,42429,25430,4152,970,4892,37537,0.115298499,0.884701501,0.942350751,0.976940300,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Khezha,056000,41625,26044,14607,2341,15551,26074,0.373597598,0.626402402,0.813201201,0.925280480,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Gadaba,041000,40976,27224,1020,637,1541,39435,0.037607380,0.962392620,0.981196310,0.992478524,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Limbu,080000,40835,32971,5992,8595,12607,28228,0.308730256,0.691269744,0.845634872,0.938253949,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Halam,046000,38915,27886,3097,7853,9870,29045,0.253629706,0.746370294,0.873185147,0.949274059,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Tangsa,113000,38624,24619,6946,18608,19271,19353,0.498938484,0.501061516,0.750530758,0.900212303,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Mogh,089000,36665,27045,661,1007,1538,35127,0.041947361,0.958052639,0.979026319,0.991610528,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Koch,061000,36434,23174,1339,3651,4550,31884,0.124883351,0.875116649,0.937558325,0.975023330,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Lalung,077000,33921,23684,1049,2193,3048,30873,0.089855842,0.910144158,0.955072079,0.982028832,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Maram,085000,32460,17211,9922,2821,11961,20499,0.368484288,0.631515712,0.815757856,0.926303142,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Deori,038000,32376,26358,3028,6846,8419,23957,0.260038300,0.739961700,0.869980850,0.947992340,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Shina,109000,32247,19114,3296,159,3440,28807,0.106676590,0.893323410,0.946661705,0.978664682,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Nocte,095000,30839,20741,6493,17477,18049,12790,0.585265411,0.414734589,0.707367295,0.882946918,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Juang,050000,30378,24077,404,60,441,29937,0.014517085,0.985482915,0.992741458,0.997096583,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Nicobarese,093000,29099,18369,3562,18152,18326,10773,0.629781092,0.370218908,0.685109454,0.874043782,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Pawi,098000,28639,21795,2303,362,2631,26008,0.091867733,0.908132267,0.954066134,0.981626453,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Korwa,068000,28453,16237,329,14335,14400,14053,0.506097775,0.493902225,0.746951112,0.898780445,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Bhumij,032000,27506,20097,863,7466,8055,19451,0.292845197,0.707154803,0.853577401,0.941430961,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Anal,025000,27217,21800,8797,2576,10320,16897,0.379174780,0.620825220,0.810412610,0.924165044,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Zou,123000,26545,16695,4737,1538,5571,20974,0.209870032,0.790129968,0.895064984,0.958025994,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Maring,086000,25814,20385,6420,1134,7051,18763,0.273146355,0.726853645,0.863426823,0.945370729,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Sanskrit,017000,24821,19712,5143,14488,16411,8410,0.661174006,0.338825994,0.669412997,0.867765199,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Afghani/Kabuli/Pashto,024000,21677,11147,1584,3529,4474,17203,0.206393874,0.793606126,0.896803063,0.958721225,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Pochury,101000,21654,12415,5625,1375,6331,15323,0.292370925,0.707629075,0.853814538,0.941525815,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Tamang,111000,20154,16630,2434,7392,8928,11226,0.442988985,0.557011015,0.778505508,0.911402203,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Jatapu,049000,20028,13342,205,32,219,19809,0.010934691,0.989065309,0.994532654,0.997813062,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Chakhesang,034000,19846,13493,8602,2917,9651,10195,0.486294467,0.513705533,0.756852766,0.902741107,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Gangte,042000,16542,10076,3628,1247,4192,12350,0.253415548,0.746584452,0.873292226,0.949316890,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Sherpa,108000,16012,13351,2322,4536,6053,9959,0.378028978,0.621971022,0.810985511,0.924394204,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Rai,103000,15644,11720,1603,4930,5955,9689,0.380657121,0.619342879,0.809671440,0.923868576,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kom,064000,15108,11191,3848,992,4331,10777,0.286669314,0.713330686,0.856665343,0.942666137,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Ladakhi,073000,14952,12010,4070,5607,7645,7307,0.511302836,0.488697164,0.744348582,0.897739433,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Balti,029000,13774,7680,2028,993,2896,10878,0.210251198,0.789748802,0.894874401,0.957949760,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Monpa,090000,13703,9873,2962,9276,9553,4150,0.697146610,0.302853390,0.651426695,0.860570678,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Lahauli,074000,11574,10216,4708,10140,10184,1390,0.879903231,0.120096769,0.560048384,0.824019354,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Sema,107000,10802,8370,5078,3092,6467,4335,0.598685429,0.401314571,0.700657286,0.880262914,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
