gross_screen_order_descriptive,intervention_id,intervention_name,target_profile,territory,source_year,population_measure_class,source_population_measure,learner_or_age_stratum,source_population_ceiling,source_population_low,source_population_high,population_source_id,population_source_locator,FR2_D3_base_gross_tokens,gross_ceiling_per_million_base_tokens,within_measure_class_rank_low,within_measure_class_rank_high,cross_measure_rank_status,interpretation
64,EXP-009,Indonesia Acehnese Latin-script edition,ace-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2550055,2550055,2550055,PM-S005,"Table L4.1, printed p. 47",4073049,626080.118,15,15,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
65,NAT-079,Kirundi,rn-Latn-BI,Burundi,2008,direct_literacy_or_access_stratum,derived_census_any_kirundi_read_and_written_persons_age_10_plus,population_age_10_plus,2261931,2261931,2261931,AFG-S011,"Tableau 3.2, PDF p.62; sum of the 16 Ensemble Total rows containing Kirundi",4073049,555340.974,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
66,EXP-010,Indonesia Betawi Latin-script edition,bew-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2244648,2244648,2244648,PM-S005,"Table L4.1, printed p. 47",4073049,551097.716,16,16,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
67,NAT-024,Bhojpuri Nepal profile,bho-Deva-NP,Nepal,2021,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,1820795,1820795,1820795,PM-S004,"Annex 1, printed p. 123",4073049,447034.887,19,19,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
68,EXP-023,South Africa siSwati Latin-script edition,ss-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,1692719,1692719,1692719,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,415590.139,17,17,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
69,EXP-016,Ethiopia Wolaytta Latin-script edition,wal-Latn-ET,Ethiopia,2007,mother_tongue_or_first_language,census_mother_tongue_persons,regional_mother_tongue,1627955,1627955,1627955,PM-S020,"Table 3.2, printed pp. 91-93",4073049,399689.520,20,20,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
70,NAT-076,Zimbabwean Ndebele,nd-Latn-ZW,Zimbabwe,2022,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,1599324,1599324,1599324,PM-S011,"Table 2.17, printed p. 123",4073049,392660.142,21,21,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
71,EXP-024,South Africa Tshivenda Latin-script edition,ve-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,1480565,1480565,1480565,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,363502.870,18,18,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
72,EXP-017,Ethiopia Hadiyya Latin-script edition,hdy-Latn-ET,Ethiopia,2007,mother_tongue_or_first_language,census_mother_tongue_persons,regional_mother_tongue,1253894,1253894,1253894,PM-S020,"Table 3.2, printed pp. 91-93",4073049,307851.440,22,22,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
73,EXP-029,Mauritius Mauritian Creole Latin-script edition,mfe-Latn-MU,Mauritius,2022,home_or_usual_language_use,language_usually_spoken_at_home_persons,creole_home_language,1045558,1045558,1045558,PM-S013,"Table D9, printed p. 165",4073049,256701.552,19,19,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
74,EXP-025,South Africa isiNdebele Latin-script edition,nr-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,1044377,1044377,1044377,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,256411.597,20,20,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
75,OBS-GRG-US-025,Standard Haitian Creole,ht-Latn-HT,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,867500,852440,882560,GRG-S001,Nation worksheet row 11,4073049,212985.407,21,21,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
76,NAT-026,Avadhi Nepal profile,awa-Deva-NP,Nepal,2021,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,864276,864276,864276,PM-S004,"Annex 1, printed p. 123",4073049,212193.863,23,23,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
77,EXP-011,Indonesia Nias Latin-script edition,nia-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,747168,747168,747168,PM-S005,"Table L4.1, printed p. 47",4073049,183441.937,22,22,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
78,OBS-GRG-PL-002,Silesian in ślabikŏrzowy szrajbōnek,szl-Latn-PL,Poland,2021-03-31,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,467145,467145,467145,GRG-S006,Table 7.5 printed page 120 PDF page 122; śląski Silesian row,4073049,114691.721,23,23,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
79,OBS-POP-SN-AFG-005,"Senegal Mandinka (Màndienka), official Latin profile",mnk-Latn-SN,Senegal,2023,home_or_usual_language_use,census_principal_language_commonly_spoken_persons_age_3_plus,resident_population_age_3_plus,465052,465052,465052,AFG-S009,"Tableau I-32, printed p.57, Ensemble effectif for Màndienka",4073049,114177.855,24,24,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
80,EXP-030,Zimbabwe Ndau Latin-script edition,ndc-Latn-ZW,Zimbabwe,2022,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,372607,372607,372607,PM-S011,"Table 2.17, printed p. 123",4073049,91481.099,24,24,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
81,NAT-041,Tetum Prasa,tet-Latn-TL,Timor-Leste,2015,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,361027,361027,361027,ALG-S014,"Sheet 2.12, Table 12",4073049,88638.020,25,25,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
82,NAT-105,Maori,mi-Latn-NZ,New Zealand,2023,multiple_response_language_ability,census_languages_spoken_multiple_response_persons,Indigenous_language_population,213849,213847,213851,PM-S014,"Total New Zealand population, 2023 column",4073049,52503.419,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
83,OBS-GRG-US-030,YIVO Standard Yiddish edition for the explicitly named YIVO-reading audience,ydd-Hebr-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,194800,189401,200199,GRG-S001,Nation worksheet row 24,4073049,47826.579,25,25,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
84,OBS-GRG-US-029,English-oriented Pennsylvania German spelling used by Vitt Du Deitsh Shvetza / Di Heilich Shrift / Ich Kann PA Deitsh Shreiva,pdc-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,185200,179920,190480,GRG-S001,Nation worksheet row 22,4073049,45469.622,26,26,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
85,OBS-GRG-US-003,Diné Bizaad in Navajo Nation school orthography,nv-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,161200,158202,164198,GRG-S001,Nation worksheet row 488,4073049,39577.231,27,27,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
86,EXP-031,Timor-Leste Makasai Latin-script edition,mkz-Latn-TL,Timor-Leste,2015,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,123840,123840,123840,ALG-S014,"Sheet 2.12, Table 12",4073049,30404.741,26,26,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
87,EXP-036,New Zealand Samoan Latin-script edition,sm-Latn-NZ,New Zealand,2023,multiple_response_language_ability,census_languages_spoken_multiple_response_persons,Pacific_diaspora_language_population,110541,110539,110543,PM-S014,"Total New Zealand population, 2023 column",4073049,27139.619,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
88,OBS-GRG-PL-004,School-standard Kashubian,csb-Latn-PL,Poland,2021-03-31,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,89198,89198,89198,GRG-S006,Table 7.5 printed page 120 PDF page 122; kaszubski Kashubian row,4073049,21899.565,28,28,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
89,EXP-026,Peru Ashaninka Latin-script edition,cni-Latn-PE,Peru,2017,mother_tongue_or_first_language,census_language_learned_in_childhood_age3plus_persons,Indigenous_language_population,73567,73567,73567,PM-S007,"Cuadro 4, printed p. 618",4073049,18061.899,27,27,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
90,OBS-GRG-US-026,Jamaican Creole in Cassidy/JLU orthography,jam-Latn-JM,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,72000,68605,75395,GRG-S001,Nation worksheet row 255,4073049,17677.175,29,29,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
91,EXP-037,Ireland Irish Latin-script daily-use edition,ga-Latn-IE,Ireland,2022,home_or_usual_language_use,self_reported_daily_use_outside_education_persons,minoritized_language_daily_use,71968,71968,71968,PM-S016,Figure 6.4 and release text,4073049,17669.318,30,30,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
92,EXP-032,Timor-Leste Kemak Latin-script edition,kem-Latn-TL,Timor-Leste,2015,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,68995,68995,68995,ALG-S014,"Sheet 2.12, Table 12",4073049,16939.398,28,28,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
93,EXP-033,Timor-Leste Bunak Latin-script edition,bfn-Latn-TL,Timor-Leste,2015,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,64686,64686,64686,ALG-S014,"Sheet 2.12, Table 12",4073049,15881.469,29,29,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
94,EXP-027,Peru Awajun Latin-script edition,agr-Latn-PE,Peru,2017,mother_tongue_or_first_language,census_language_learned_in_childhood_age3plus_persons,Indigenous_language_population,56584,56584,56584,PM-S007,"Cuadro 4, printed p. 618",4073049,13892.295,30,30,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
95,EXP-034,Timor-Leste Tokodede Latin-script edition,tkd-Latn-TL,Timor-Leste,2015,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,46784,46784,46784,ALG-S014,"Sheet 2.12, Table 12",4073049,11486.235,31,31,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
96,NAT-044,Fataluku,ddg-Latn-TL,Timor-Leste,2015,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,41500,41500,41500,ALG-S014,"Sheet 2.12, Table 12",4073049,10188.927,32,32,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
97,EXP-028,Peru Shipibo-Konibo Latin-script edition,shp-Latn-PE,Peru,2017,mother_tongue_or_first_language,census_language_learned_in_childhood_age3plus_persons,Indigenous_language_population,34152,34152,34152,PM-S007,"Cuadro 4, printed p. 618",4073049,8384.873,33,33,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
98,OBS-GRG-US-023,Standard ʻŌlelo Hawaiʻi with ʻokina and kahakō,haw-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,32730,30623,34837,GRG-S001,Nation worksheet row 246,4073049,8035.749,31,31,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
99,OBS-GRG-US-017,Standard Marshallese under the 2010 Orthography Act,mh-Latn-MH,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,27160,25198,29122,GRG-S001,Nation worksheet row 234,4073049,6668.223,32,32,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
100,EXP-035,Timor-Leste Waima'a Latin-script edition,wmh-Latn-TL,Timor-Leste,2015,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,21227,21227,21227,ALG-S014,"Sheet 2.12, Table 12",4073049,5211.575,34,34,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
101,OBS-GRG-PL-007,Official-standard Belarusian,be-Cyrl-BY,Poland,2021-03-31,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,17325,17325,17325,GRG-S006,Table 7.5 printed page 120 PDF page 122; białoruski Byelorussian row,4073049,4253.570,33,33,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
102,OBS-GRG-US-001,Standard Central Alaskan Yup'ik,esu-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,16120,15337,16903,GRG-S001,Nation worksheet row 462,4073049,3957.723,34,34,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
103,OBS-GRG-US-018,Chuuk State standard Chuukese,chk-Latn-FM,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,14700,12612,16788,GRG-S001,Nation worksheet row 239,4073049,3609.090,35,35,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
104,OBS-GRG-US-002,Dilzhe'e Apache dictionary spelling profile with its documented tone and consonant adaptations,apw-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,12730,11767,13693,GRG-S001,Nation worksheet row 487,4073049,3125.423,36,36,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
105,OBS-GRG-US-016,Central Southwestern Ojibwe/Chippewa edition in the Ojibwe People's Dictionary Double-Vowel system,ciw-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,10750,9867,11633,GRG-S001,Nation worksheet row 473,4073049,2639.300,37,37,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
106,OBS-GRG-US-005,Lakota Language Consortium consistent phonemic teaching orthography edition,lkt-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,10590,9835,11345,GRG-S001,Nation worksheet row 511,4073049,2600.018,38,38,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
107,OBS-GRG-US-007,Cherokee syllabary edition,chr-Cher-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,10440,9552,11328,GRG-S001,Nation worksheet row 527,4073049,2563.190,39,39,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
108,OBS-GRG-US-021,Two-output CHamoru/Chamorro bundle: Guam 2024 official orthography plus CNMI 2010 official orthography,ch-Latn-GU|ch-Latn-MP,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,19690,18173,21207,GRG-S001,Nation worksheet row 231,8146098,2417.108,40,40,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
109,OBS-GRG-US-008,Zuni/Shiwi school-literacy profile,zun-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,8109,7229,8989,GRG-S001,Nation worksheet row 529,4073049,1990.892,41,41,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
110,OBS-GRG-AU-001,Australian Kriol practical written standard,rop-Latn-AU,Australia,2021,home_or_usual_language_use,census_language_used_at_home_persons,direct_language_census_count,7478,7478,7478,GRG-S002,"Language used at home, top responses other than English; Australia column; Kriol row",4073049,1835.971,42,42,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
111,OBS-GRG-US-019,Pohnpei State standard Pohnpeian,pon-Latn-FM,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,7412,6198,8626,GRG-S001,Nation worksheet row 238,4073049,1819.767,43,43,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
112,OBS-GRG-US-009,Third Mesa Hopi edition using the Hopi Dictionary Project / Learn Hopi orthography,hop-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,7105,6344,7866,GRG-S001,Nation worksheet row 535,4073049,1744.393,44,44,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
113,OBS-GRG-US-010,Tohono O'odham in official Alvarez-Hale orthography,ood-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,6343,5672,7014,GRG-S001,Nation worksheet row 538,4073049,1557.310,45,45,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
114,OBS-GRG-US-024,Standard Fijian / Vosa Vakaviti school register,fj-Latn-FJ,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,6229,5194,7264,GRG-S001,Nation worksheet row 247,4073049,1529.321,46,46,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
115,OBS-GRG-US-011,North Slope / North Alaskan Inupiatun edition using the accepted UAF/ANLA orthography and definitive North Slope lexicon,esi-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,5819,5302,6336,GRG-S001,Nation worksheet row 458,4073049,1428.659,47,47,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
116,OBS-GRG-PL-010,Standard Lithuanian,lt-Latn-LT,Poland,2021-03-31,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,5422,5422,5422,GRG-S006,Table 7.5 printed page 120 PDF page 122; litewski Lithuanian row,4073049,1331.189,48,48,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
117,OBS-GRG-US-031,Mam in ALMG normative orthography,mam-Latn-GT,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,5062,3947,6177,GRG-S001,Nation worksheet row 547,4073049,1242.804,49,49,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
118,OBS-GRG-US-013,Odawa edition using the Nishnaabemwin Odawa and Eastern Ojibwe dictionary's documented Double-Vowel profile,otw-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,4888,4099,5677,GRG-S001,Nation worksheet row 474,4073049,1200.084,50,50,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
119,OBS-GRG-US-020,Palauan national school-literacy register,pau-Latn-PW,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,4670,4023,5317,GRG-S001,Nation worksheet row 237,4073049,1146.561,51,51,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
120,OBS-GRG-AU-002,Djambarrpuyŋu written educational profile,djr-Latn-AU,Australia,2021,home_or_usual_language_use,census_language_used_at_home_persons,direct_language_census_count,3870,3870,3870,GRG-S002,"Language used at home, top responses other than English; Australia column; Djambarrpuyngu row",4073049,950.148,52,52,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
121,OBS-GRG-US-032,K'iche' in ALMG normative orthography,quc-Latn-GT,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,3787,2944,4630,GRG-S001,Nation worksheet row 548,4073049,929.770,53,53,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
122,OBS-GRG-US-014,Apsáalooke community curriculum profile,cro-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,3650,3194,4106,GRG-S001,Nation worksheet row 508,4073049,896.135,54,54,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
123,OBS-GRG-US-006,Two-output Choctaw bundle: Choctaw Nation of Oklahoma instructional alphabet plus Mississippi Band modern Byington-variant alphabet,cho-Latn-US|cho-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,7260,6523,7997,GRG-S001,Nation worksheet row 520,8146098,891.224,55,55,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
124,OBS-GRG-AU-006,Pitjantjatjara Aṉangu school profile,pjt-Latn-AU,Australia,2021,home_or_usual_language_use,census_language_used_at_home_persons,direct_language_census_count,3458,3458,3458,GRG-S003,"Language used at home, top responses other than English; Australia column; Pitjantjatjara row",4073049,848.995,56,56,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
125,OBS-GRG-US-035,Honduras SECAPPH Garifuna educational edition using its published Garifuna alphabet,cab-Latn-HN,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,3080,2422,3738,GRG-S001,Nation worksheet row 564,4073049,756.190,57,57,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
126,OBS-GRG-AU-003,Warlpiri practical school orthography,wbp-Latn-AU,Australia,2021,home_or_usual_language_use,census_language_used_at_home_persons,direct_language_census_count,2624,2624,2624,GRG-S002,"Language used at home, top responses other than English; Australia column; Warlpiri row",4073049,644.235,58,58,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
127,OBS-GRG-US-015,Sisseton-Wahpeton / Eastern Dakota edition in the tribal-college documented University of Minnesota orthography,dak-Latn-US,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2611,2222,3000,GRG-S001,Nation worksheet row 510,4073049,641.043,59,59,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
128,OBS-GRG-US-033,Q'anjob'al in ALMG normative orthography,kjb-Latn-GT,United States,2017-2021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2253,1532,2974,GRG-S001,Nation worksheet row 552,4073049,553.148,60,60,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
129,OBS-GRG-AU-004,Murrinh-Patha community dictionary/school profile,mwf-Latn-AU,Australia,2021,home_or_usual_language_use,census_language_used_at_home_persons,direct_language_census_count,2081,2081,2081,GRG-S002,"Language used at home, top responses other than English; Australia column; Murrinh Patha row",4073049,510.919,61,61,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
